file_name,tumor_type,seed_index,n_pool,overall,tp,n_tp,q0,q1,q2,q3,top100,top1000,q0_minus_q3
460.tiff,canine soft tissue sarcoma,4,23730,0.4829751369574378,0.8857142857142857,35,0.9098263947412776,0.7210047201618341,0.2523175459295466,0.04871881321645313,0.99,0.978,0.8611075815248245
529.tiff,human melanoma,0,23167,0.3965122803988432,1.0,19,0.8801795580110497,0.556975138121547,0.11757596685082873,0.031255396304610605,1.0,0.984,0.8489241617064391
529.tiff,human melanoma,1,22979,0.516602114974542,1.0,19,0.9718015665796345,0.8012184508268059,0.25726718885987815,0.03603760445682451,1.0,0.996,0.93576396212281
529.tiff,human melanoma,2,23466,0.3965311514531663,0.8947368421052632,19,0.8418271689108573,0.5496079099897716,0.1547639338673939,0.039890896692806,0.93,0.892,0.8019362722180513
529.tiff,human melanoma,3,20405,0.3360940945846606,0.631578947368421,19,0.7561740493923952,0.48892374044305037,0.08508135659674573,0.014114879435404822,0.84,0.798,0.7420591699569904
529.tiff,human melanoma,4,23167,0.3965122803988432,1.0,19,0.8801795580110497,0.556975138121547,0.11757596685082873,0.031255396304610605,1.0,0.984,0.8489241617064391
548.tiff,human melanoma,0,29162,0.4946848638639325,0.9621848739495799,238,0.8709367713619531,0.7089163237311386,0.32985872994102317,0.06899862825788752,1.0,0.966,0.8019381431040656
548.tiff,human melanoma,1,25403,0.531787584143605,0.9789915966386554,238,0.9130845536136042,0.771532042198079,0.3904896866635176,0.05196850393700787,1.0,0.987,0.8611160496765963
548.tiff,human melanoma,2,27120,0.45896017699115044,0.9117647058823529,238,0.8337758112094396,0.6564896755162242,0.3025073746312684,0.043067846607669616,1.0,0.947,0.79070796460177
548.tiff,human melanoma,3,26956,0.5310876984715833,0.9705882352941176,238,0.9029529603798783,0.7499629025077905,0.3972399465796112,0.07419498441905327,1.0,0.978,0.828757975960825
548.tiff,human melanoma,4,29408,0.5354665397170838,0.9327731092436975,238,0.91879760609358,0.7857725788900979,0.3853373231773667,0.051958650707290534,1.0,0.973,0.8668389553862894
