file_name,tumor_type,seed_index,n_mit,n_pool,frac_on_nucleus,arm,lo_um,hi_um,retention_nominal,n_kept,n_tp,recall,depth_90,depth_95,depth_100
094.tiff,human breast cancer,2,81,33056,0.4570728460793804,insample@1.00,4.141571521759033,26.216699600219727,1.0,30286,81,1.0,1015.0,1660.0,3756.0
094.tiff,human breast cancer,2,81,33056,0.4570728460793804,lodo@1.00,0.49505379796028137,99.84673309326172,1.0,33031,81,1.0,1046.0,1743.0,4088.0
094.tiff,human breast cancer,2,81,33056,0.4570728460793804,insample@0.99,4.295415997505188,24.935091495513937,0.99,29971,81,1.0,1417.0,2267.0,8565.0
094.tiff,human breast cancer,2,81,33056,0.4570728460793804,lodo@0.99,2.763861386775974,23.32760238647461,0.99,30500,81,1.0,1292.0,1720.0,8826.0
094.tiff,human breast cancer,2,81,33056,0.4570728460793804,insample@0.98,4.449260473251343,23.653483390808095,0.98,29558,81,1.0,1376.0,2207.0,8366.0
094.tiff,human breast cancer,2,81,33056,0.4570728460793804,lodo@0.98,3.535104742050173,20.54703712463379,0.98,29150,81,1.0,1586.0,3472.0,12513.0
094.tiff,human breast cancer,2,81,33056,0.4570728460793804,insample@0.95,4.768721580505371,22.339990615844727,0.95,28905,80,0.9876543209876543,1388.0,3173.0,
094.tiff,human breast cancer,2,81,33056,0.4570728460793804,lodo@0.95,3.919527816772462,15.04659652709961,0.95,26532,81,1.0,1596.0,3309.0,10645.0
094.tiff,human breast cancer,3,81,27735,0.4603569497025419,baseline,-inf,inf,,27735,81,1.0,872.0,1050.0,4808.0
094.tiff,human breast cancer,3,81,27735,0.4603569497025419,apriori,4.0,18.0,,23511,78,0.9629629629629629,1000.0,4117.0,
094.tiff,human breast cancer,3,81,27735,0.4603569497025419,insample@1.00,4.581127166748047,26.216699600219727,1.0,25261,81,1.0,830.0,999.0,4398.0
094.tiff,human breast cancer,3,81,27735,0.4603569497025419,lodo@1.00,0.49505379796028137,99.84673309326172,1.0,27704,81,1.0,872.0,1050.0,4806.0
094.tiff,human breast cancer,3,81,27735,0.4603569497025419,insample@0.99,4.747260372638703,24.916782808303818,0.99,24936,80,0.9876543209876543,802.0,1010.0,
094.tiff,human breast cancer,3,81,27735,0.4603569497025419,lodo@0.99,2.763861386775974,23.32760238647461,0.99,25638,80,0.9876543209876543,858.0,1076.0,
094.tiff,human breast cancer,3,81,27735,0.4603569497025419,insample@0.98,4.913393578529358,23.616866016387963,0.98,24567,80,0.9876543209876543,779.0,979.0,
094.tiff,human breast cancer,3,81,27735,0.4603569497025419,lodo@0.98,3.535104742050173,20.54703712463379,0.98,24557,79,0.9753086419753086,987.0,2279.0,
094.tiff,human breast cancer,3,81,27735,0.4603569497025419,insample@0.95,5.069703352451325,22.332824897766113,0.95,24079,79,0.9753086419753086,866.0,2026.0,
094.tiff,human breast cancer,3,81,27735,0.4603569497025419,lodo@0.95,3.919527816772462,15.04659652709961,0.95,22415,77,0.9506172839506173,1035.0,21778.0,
094.tiff,human breast cancer,4,81,33056,0.4570728460793804,baseline,-inf,inf,,33056,81,1.0,1046.0,1743.0,4088.0
094.tiff,human breast cancer,4,81,33056,0.4570728460793804,apriori,4.0,18.0,,27832,81,1.0,1613.0,3475.0,11602.0
094.tiff,human breast cancer,4,81,33056,0.4570728460793804,insample@1.00,4.141571521759033,26.216699600219727,1.0,30286,81,1.0,1015.0,1660.0,3756.0
094.tiff,human breast cancer,4,81,33056,0.4570728460793804,lodo@1.00,0.49505379796028137,99.84673309326172,1.0,33031,81,1.0,1046.0,1743.0,4088.0
094.tiff,human breast cancer,4,81,33056,0.4570728460793804,insample@0.99,4.295415997505188,24.935091495513937,0.99,29971,81,1.0,1417.0,2267.0,8565.0
094.tiff,human breast cancer,4,81,33056,0.4570728460793804,lodo@0.99,2.763861386775974,23.32760238647461,0.99,30500,81,1.0,1292.0,1720.0,8826.0
094.tiff,human breast cancer,4,81,33056,0.4570728460793804,insample@0.98,4.449260473251343,23.653483390808095,0.98,29558,81,1.0,1376.0,2207.0,8366.0
094.tiff,human breast cancer,4,81,33056,0.4570728460793804,lodo@0.98,3.535104742050173,20.54703712463379,0.98,29150,81,1.0,1586.0,3472.0,12513.0
094.tiff,human breast cancer,4,81,33056,0.4570728460793804,insample@0.95,4.768721580505371,22.339990615844727,0.95,28905,80,0.9876543209876543,1388.0,3173.0,
094.tiff,human breast cancer,4,81,33056,0.4570728460793804,lodo@0.95,3.919527816772462,15.04659652709961,0.95,26532,81,1.0,1596.0,3309.0,10645.0
201.tiff,canine lung cancer,0,17,22631,0.5938756572842561,baseline,-inf,inf,,22631,17,1.0,275.0,665.0,665.0
201.tiff,canine lung cancer,0,17,22631,0.5938756572842561,apriori,4.0,18.0,,19901,15,0.8823529411764706,,,
201.tiff,canine lung cancer,0,17,22631,0.5938756572842561,insample@1.00,6.064333915710449,20.107271194458008,1.0,18654,17,1.0,242.0,602.0,602.0
201.tiff,canine lung cancer,0,17,22631,0.5938756572842561,lodo@1.00,0.49505379796028137,99.84673309326172,1.0,22574,17,1.0,275.0,665.0,665.0
201.tiff,canine lung cancer,0,17,22631,0.5938756572842561,insample@0.99,6.0701158285140995,20.011201333999633,0.99,18630,16,0.9411764705882353,12723.0,,
201.tiff,canine lung cancer,0,17,22631,0.5938756572842561,lodo@0.99,2.823413163423538,24.682384529113353,0.99,21469,17,1.0,270.0,654.0,654.0
201.tiff,canine lung cancer,0,17,22631,0.5938756572842561,insample@0.98,6.075897741317749,19.91513147354126,0.98,18607,16,0.9411764705882353,12701.0,,
201.tiff,canine lung cancer,0,17,22631,0.5938756572842561,lodo@0.98,3.6195910692214968,21.30833625793457,0.98,20807,17,1.0,267.0,644.0,644.0
201.tiff,canine lung cancer,0,17,22631,0.5938756572842561,insample@0.95,6.093243479728699,19.626921892166138,0.95,18550,16,0.9411764705882353,12652.0,,
201.tiff,canine lung cancer,0,17,22631,0.5938756572842561,lodo@0.95,3.963262927532197,15.015493750572142,0.95,19116,14,0.8235294117647058,,,
201.tiff,canine lung cancer,1,17,22631,0.5938756572842561,baseline,-inf,inf,,22631,17,1.0,275.0,665.0,665.0
201.tiff,canine lung cancer,1,17,22631,0.5938756572842561,apriori,4.0,18.0,,19901,15,0.8823529411764706,,,
201.tiff,canine lung cancer,1,17,22631,0.5938756572842561,insample@1.00,6.064333915710449,20.107271194458008,1.0,18654,17,1.0,242.0,602.0,602.0
201.tiff,canine lung cancer,1,17,22631,0.5938756572842561,lodo@1.00,0.49505379796028137,99.84673309326172,1.0,22574,17,1.0,275.0,665.0,665.0
201.tiff,canine lung cancer,1,17,22631,0.5938756572842561,insample@0.99,6.0701158285140995,20.011201333999633,0.99,18630,16,0.9411764705882353,12723.0,,
201.tiff,canine lung cancer,1,17,22631,0.5938756572842561,lodo@0.99,2.823413163423538,24.682384529113353,0.99,21469,17,1.0,270.0,654.0,654.0
