file_name,seed_index,tumor_type,seed_ann_id,n_retries,base_size,n_pool,n_gt_mitotic,deep_recall,map_median,mad_scale,z_max,tp_score_min,n_at_current_z,n_at_z_max,pct_pool_cut,tumor_type_r50,seed_ann_id_r50,n_retries_r50,base_size_r50,n_pool_r50,n_gt_mitotic_r50,deep_recall_r50,map_median_r50,mad_scale_r50,z_max_r50,tp_score_min_r50,n_at_current_z_r50,n_at_z_max_r50,pct_pool_cut_r50,pct_extra_pool_at_r50,pct_extra_at_z1_at_r50
094.tiff,0,human breast cancer,2512,0,25,18410,81,1.0,-0.003239314304664731,0.0505320100620389,4.767851829528809,0.2376898229122162,15369,3305,78.5,human breast cancer,2512,0,25,34573,81,1.0,-0.0032393143046647,0.0505320100620389,4.767851829528809,0.2376898229122162,26147,4052,84.5,87.79467680608366,70.12818010280435
094.tiff,1,human breast cancer,2534,0,37,18450,81,1.0,-0.009720981121063232,0.11340501276701688,3.6053645610809326,0.3991454243659973,14621,4441,69.63,human breast cancer,2534,0,37,28700,81,1.0,-0.0097209811210632,0.1134050127670168,3.6053645610809326,0.3991454243659973,19923,4922,75.29,55.55555555555556,36.26290951371316
094.tiff,2,human breast cancer,2494,0,35,18809,81,1.0,-0.00320444256067276,0.07754829588532447,3.995893955230713,0.30667033791542053,15399,3454,77.57,human breast cancer,2494,0,35,33056,81,1.0,-0.0032044425606727,0.0775482958853244,3.995893955230713,0.3066703379154205,24752,4088,83.48,75.74565367643149,60.737710240924734
094.tiff,3,human breast cancer,2612,0,37,18524,81,1.0,-0.008004341274499893,0.10703577818423508,3.4876599311828613,0.3653000593185425,14362,4420,69.22,human breast cancer,2612,0,37,27735,81,1.0,-0.0080043412744998,0.107035778184235,3.4876599311828613,0.3653000593185425,18765,4808,74.38,49.72468149427769,30.65729007102076
094.tiff,4,human breast cancer,2494,0,35,18809,81,1.0,-0.00320444256067276,0.07754829588532447,3.995893955230713,0.30667033791542053,15399,3454,77.57,human breast cancer,2494,0,35,33056,81,1.0,-0.0032044425606727,0.0775482958853244,3.995893955230713,0.3066703379154205,24752,4088,83.48,75.74565367643149,60.737710240924734
548.tiff,0,human melanoma,25804,0,29,17413,238,1.0,-0.05509126931428909,0.6139303312182426,0.43783292174339294,0.21370764076709747,14484,16532,-14.14,human melanoma,25804,0,29,29162,238,1.0,-0.055091269314289,0.6139303312182426,2.915358304977417,1.7347357273101809,20810,7949,61.8,67.47257795899615,43.67578017122342
548.tiff,1,human melanoma,25712,0,37,17659,238,1.0,-0.07451345026493073,0.6772858111917972,1.199796438217163,0.7380916476249695,14348,13655,4.83,human melanoma,25712,0,37,25403,238,1.0,-0.0745134502649307,0.6772858111917972,2.31184458732605,1.4912660121917725,18187,10101,44.46,43.85299280819979,26.756342347365482
548.tiff,2,human melanoma,25735,0,33,17652,238,1.0,-0.09509076923131943,0.7429956406116485,2.3363265991210938,1.6407897472381592,14594,10055,31.1,human melanoma,25735,0,33,27120,238,1.0,-0.0950907692313194,0.7429956406116485,2.5212721824646,1.7782034873962402,19544,10512,46.21,53.63698164513937,33.91804851308757
548.tiff,3,human melanoma,25802,0,33,17456,238,0.9958,-0.08206693828105927,0.8118129514932632,2.292304039001465,1.7788550853729248,14472,9580,33.8,human melanoma,25802,0,33,26956,238,1.0,-0.0820669382810592,0.8118129514932632,2.292304039001465,1.7788550853729248,19568,11155,42.99,54.42254812098992,35.21282476506358
548.tiff,4,human melanoma,25719,0,33,17980,238,1.0,-0.04526914283633232,0.47655768186450004,3.0326178073883057,1.3999481201171875,15212,6503,57.25,human melanoma,25719,0,33,29408,238,1.0,-0.0452691428363323,0.4765576818645,3.0685532093048096,1.4170734882354736,21824,7129,67.33,63.559510567297,43.465684985537735
402.tiff,0,human neuroendocrine tumor,20254,0,29,17337,104,1.0,-0.05574367940425873,0.9205197040557861,3.1865651607513428,2.8775522708892822,15912,4592,71.14,human neuroendocrine tumor,20254,0,29,32553,104,1.0,-0.0557436794042587,0.920519704055786,3.1865651607513428,2.8775522708892822,27280,5457,80.0,87.76604948953106,71.44293614881849
402.tiff,1,human neuroendocrine tumor,20258,0,51,15879,104,1.0,-0.1100701093673706,2.2206543522834776,1.825117588043213,3.942885160446167,13768,9066,34.15,human neuroendocrine tumor,20258,0,51,21387,104,1.0,-0.1100701093673706,2.2206543522834776,1.825117588043213,3.942885160446167,17234,10127,41.24,34.68732287927452,25.174317257408486
402.tiff,2,human neuroendocrine tumor,20245,0,51,16304,104,1.0,0.011568618938326836,0.9436282421350478,1.918854832649231,1.8222543001174927,13652,7567,44.57,human neuroendocrine tumor,20245,0,51,29723,104,1.0,0.0115686189383268,0.9436282421350478,1.918854832649231,1.822254300117493,22098,10028,54.62,82.3049558390579,61.86639320246117
402.tiff,3,human neuroendocrine tumor,20183,0,31,17057,104,1.0,-0.044723816215991974,0.9165974967956543,2.626025438308716,2.3622846603393555,15445,6354,58.86,human neuroendocrine tumor,20183,0,31,31042,104,1.0,-0.0447238162159919,0.9165974967956544,2.626025438308716,2.3622846603393555,25248,7683,69.57,81.98979890953862,63.47037876335384
402.tiff,4,human neuroendocrine tumor,20182,0,27,18068,104,1.0,0.005528690759092569,0.23520434351563452,2.4882559776306152,0.5907772779464722,16699,8375,49.85,human neuroendocrine tumor,20182,0,27,33966,104,1.0,0.0055286907590925,0.2352043435156345,2.4882559776306152,0.5907772779464722,29103,10907,62.52,87.98981624972326,74.27989699982034
