file_name,tumor_type,arm_tag,arm,axis,budget,n_seeds,mean,sd,min,max,range,seed_pool_size,n_gt_mitotic,granularity_1_over_n
403.tiff,human neuroendocrine tumor,pad_on,chromatin_od@pad_on,chromatin_od,50,5,0.3961538461538462,0.05014771080925113,0.3076923076923077,0.4230769230769231,0.11538461538461536,36,52,0.019230769230769232
403.tiff,human neuroendocrine tumor,pad_on,chromatin_od@pad_on,chromatin_od,100,5,0.5884615384615385,0.039877771833322535,0.5192307692307693,0.6153846153846154,0.09615384615384615,36,52,0.019230769230769232
403.tiff,human neuroendocrine tumor,pad_on,chromatin_od@pad_on,chromatin_od,250,5,0.8076923076923077,0.06799103665255266,0.6923076923076923,0.8653846153846154,0.17307692307692313,36,52,0.019230769230769232
403.tiff,human neuroendocrine tumor,pad_on,chromatin_od@pad_on,chromatin_od,500,5,0.9307692307692308,0.01720052290384452,0.9038461538461539,0.9423076923076923,0.038461538461538436,36,52,0.019230769230769232
403.tiff,human neuroendocrine tumor,pad_on,chromatin_od@pad_on,chromatin_od,1000,5,0.9692307692307691,0.010533126105868542,0.9615384615384616,0.9807692307692307,0.019230769230769162,36,52,0.019230769230769232
403.tiff,human neuroendocrine tumor,pad_on,tm_score@pad_on,tm_score,50,5,0.27692307692307694,0.05540330881110743,0.19230769230769232,0.34615384615384615,0.15384615384615383,36,52,0.019230769230769232
403.tiff,human neuroendocrine tumor,pad_on,tm_score@pad_on,tm_score,100,5,0.3884615384615385,0.08854511102477954,0.25,0.4807692307692308,0.23076923076923078,36,52,0.019230769230769232
403.tiff,human neuroendocrine tumor,pad_on,tm_score@pad_on,tm_score,250,5,0.5653846153846154,0.08664523327745237,0.46153846153846156,0.6346153846153846,0.17307692307692302,36,52,0.019230769230769232
403.tiff,human neuroendocrine tumor,pad_on,tm_score@pad_on,tm_score,500,5,0.7153846153846153,0.05336321894427543,0.6346153846153846,0.7692307692307693,0.1346153846153847,36,52,0.019230769230769232
403.tiff,human neuroendocrine tumor,pad_on,tm_score@pad_on,tm_score,1000,5,0.85,0.04977761194440305,0.7884615384615384,0.9230769230769231,0.1346153846153847,36,52,0.019230769230769232
403.tiff,human neuroendocrine tumor,pad_on_dropband,chromatin_od@pad_on_dropband,chromatin_od,50,5,0.3961538461538462,0.05014771080925113,0.3076923076923077,0.4230769230769231,0.11538461538461536,36,52,0.019230769230769232
403.tiff,human neuroendocrine tumor,pad_on_dropband,chromatin_od@pad_on_dropband,chromatin_od,100,5,0.5923076923076923,0.04385290096535144,0.5192307692307693,0.6346153846153846,0.11538461538461531,36,52,0.019230769230769232
403.tiff,human neuroendocrine tumor,pad_on_dropband,chromatin_od@pad_on_dropband,chromatin_od,250,5,0.8153846153846154,0.060201830163455865,0.7115384615384616,0.8653846153846154,0.15384615384615385,36,52,0.019230769230769232
403.tiff,human neuroendocrine tumor,pad_on_dropband,chromatin_od@pad_on_dropband,chromatin_od,500,5,0.9307692307692308,0.01720052290384452,0.9038461538461539,0.9423076923076923,0.038461538461538436,36,52,0.019230769230769232
403.tiff,human neuroendocrine tumor,pad_on_dropband,chromatin_od@pad_on_dropband,chromatin_od,1000,5,0.9653846153846153,0.008600261451922237,0.9615384615384616,0.9807692307692307,0.019230769230769162,36,52,0.019230769230769232
403.tiff,human neuroendocrine tumor,pad_on_dropband,tm_score@pad_on_dropband,tm_score,50,5,0.27692307692307694,0.05540330881110743,0.19230769230769232,0.34615384615384615,0.15384615384615383,36,52,0.019230769230769232
403.tiff,human neuroendocrine tumor,pad_on_dropband,tm_score@pad_on_dropband,tm_score,100,5,0.3884615384615385,0.08854511102477954,0.25,0.4807692307692308,0.23076923076923078,36,52,0.019230769230769232
403.tiff,human neuroendocrine tumor,pad_on_dropband,tm_score@pad_on_dropband,tm_score,250,5,0.5653846153846154,0.08664523327745237,0.46153846153846156,0.6346153846153846,0.17307692307692302,36,52,0.019230769230769232
403.tiff,human neuroendocrine tumor,pad_on_dropband,tm_score@pad_on_dropband,tm_score,500,5,0.7153846153846153,0.05336321894427543,0.6346153846153846,0.7692307692307693,0.1346153846153847,36,52,0.019230769230769232
403.tiff,human neuroendocrine tumor,pad_on_dropband,tm_score@pad_on_dropband,tm_score,1000,5,0.85,0.04977761194440305,0.7884615384615384,0.9230769230769231,0.1346153846153847,36,52,0.019230769230769232
459.tiff,canine soft tissue sarcoma,pad_off,chromatin_od@pad_off,chromatin_od,50,5,0.31846153846153846,0.008770580193070287,0.3076923076923077,0.33076923076923076,0.02307692307692305,121,130,0.007692307692307693
459.tiff,canine soft tissue sarcoma,pad_off,chromatin_od@pad_off,chromatin_od,100,5,0.47846153846153844,0.003440104580768895,0.47692307692307695,0.4846153846153846,0.007692307692307665,121,130,0.007692307692307693
459.tiff,canine soft tissue sarcoma,pad_off,chromatin_od@pad_off,chromatin_od,250,5,0.6599999999999999,0.003440104580768895,0.6538461538461539,0.6615384615384615,0.007692307692307665,121,130,0.007692307692307693
459.tiff,canine soft tissue sarcoma,pad_off,chromatin_od@pad_off,chromatin_od,500,5,0.7523076923076923,0.010029542161850194,0.7384615384615385,0.7615384615384615,0.023076923076922995,121,130,0.007692307692307693
459.tiff,canine soft tissue sarcoma,pad_off,chromatin_od@pad_off,chromatin_od,1000,5,0.8107692307692307,0.008770580193070261,0.8,0.823076923076923,0.023076923076922995,121,130,0.007692307692307693
459.tiff,canine soft tissue sarcoma,pad_off,tm_score@pad_off,tm_score,50,5,0.30923076923076925,0.008426500884694862,0.3,0.3153846153846154,0.015384615384615385,121,130,0.007692307692307693
459.tiff,canine soft tissue sarcoma,pad_off,tm_score@pad_off,tm_score,100,5,0.43538461538461537,0.02345838566457986,0.4076923076923077,0.46153846153846156,0.05384615384615388,121,130,0.007692307692307693
459.tiff,canine soft tissue sarcoma,pad_off,tm_score@pad_off,tm_score,250,5,0.5815384615384616,0.024080732065382363,0.5615384615384615,0.6230769230769231,0.06153846153846154,121,130,0.007692307692307693
459.tiff,canine soft tissue sarcoma,pad_off,tm_score@pad_off,tm_score,500,5,0.6846153846153846,0.022426738057097315,0.6692307692307692,0.7230769230769231,0.05384615384615388,121,130,0.007692307692307693
