subset,file_name,domain,image_id,seed_index,condition,seed_ann_id,click_cx,click_cy,base_size,tpl_cx,tpl_cy,tpl_offset_px,tpl_sha1,n_agreement_pool,n_after_border,n_joint_valid,n_seed_pool,n_retries,refused_draws,contested_seed_tier,n_gt_mitotic,nearest_other_ann_px,n_peaks,max_peaks_binding,n_detections,n_blanked_px,n_near_click,near_click_detail,od_nan,od_descending,match_radius_px,mpp,t_pipeline_s,tp_at_10,tp_at_20,tp_at_30,precision_at_10,precision_at_20,precision_at_30
testing_35,343.tiff,canine cutaneous mast cell tumor,343,0,default_51,17382,5675.0,4651.0,51,5675.0,4651.0,0.0,b774afe99b8c4f96ce18b56d8dea55e11395d6f6,28,28,20,28,0,,False,36,103.71,100,True,96,2601,0,,0,True,29.609055118110238,0.2533008895448562,5.1,6,9,9,0.6,0.45,0.3
testing_35,343.tiff,canine cutaneous mast cell tumor,343,0,gray_bbox,17382,5675.0,4651.0,43,5673.5,4654.0,3.354,b6515e47c7b881880cc4e36c12584e22610dee3d,28,28,20,28,0,,False,36,103.71,100,True,94,1849,0,,0,True,29.609055118110238,0.2533008895448562,4.9,5,8,8,0.5,0.4,0.26666666666666666
testing_35,343.tiff,canine cutaneous mast cell tumor,343,0,hem_bbox,17382,5675.0,4651.0,21,5666.5,4653.5,8.86,8a20c1fc767f427abe546103f204dad38054b07f,28,28,20,28,0,,False,36,103.71,100,True,98,441,0,,0,True,29.609055118110238,0.2533008895448562,4.3,5,6,6,0.5,0.3,0.2
testing_35,343.tiff,canine cutaneous mast cell tumor,343,1,default_51,17363,489.0,4565.0,51,489.0,4565.0,0.0,6ece88324204eb4bf947a1e6e2d193312caddd58,28,28,20,27,0,,False,36,498.66,100,True,100,2601,0,,0,True,29.609055118110238,0.2533008895448562,4.3,7,8,11,0.7,0.4,0.36666666666666664
testing_35,343.tiff,canine cutaneous mast cell tumor,343,1,gray_bbox,17363,489.0,4565.0,47,493.5,4565.0,4.5,4801612f95ec79940ad3c868cd8cdb17d6feebfc,28,28,20,27,0,,False,36,498.66,100,True,99,2209,0,,0,True,29.609055118110238,0.2533008895448562,3.9,7,8,12,0.7,0.4,0.4
testing_35,343.tiff,canine cutaneous mast cell tumor,343,1,hem_bbox,17363,489.0,4565.0,19,488.5,4567.5,2.55,4989acda9dcdcc7ef44b3af0f5c78a140920fd5e,28,28,20,27,0,,False,36,498.66,100,True,98,361,0,,0,True,29.609055118110238,0.2533008895448562,3.4,5,5,8,0.5,0.25,0.26666666666666666
testing_35,343.tiff,canine cutaneous mast cell tumor,343,2,default_51,17368,2083.0,2749.0,51,2083.0,2749.0,0.0,74ac1062665f7ba02c13de668f7facc9a3d70f60,28,28,20,26,0,,False,36,314.01,100,True,100,2601,0,,0,True,29.609055118110238,0.2533008895448562,3.4,8,9,12,0.8,0.45,0.4
testing_35,343.tiff,canine cutaneous mast cell tumor,343,2,gray_bbox,17368,2083.0,2749.0,27,2084.5,2749.0,1.5,96c0f89280d0465195154cdfc51c22d47564f7bd,28,28,20,26,0,,False,36,314.01,100,True,98,729,0,,0,True,29.609055118110238,0.2533008895448562,3.1,6,6,7,0.6,0.3,0.23333333333333334
testing_35,343.tiff,canine cutaneous mast cell tumor,343,2,hem_bbox,17368,2083.0,2749.0,23,2084.5,2748.0,1.803,7117131e82cb95b1ee4a87e2a0552cdd1c7b59b5,28,28,20,26,0,,False,36,314.01,100,True,99,529,0,,0,True,29.609055118110238,0.2533008895448562,3.0,5,5,5,0.5,0.25,0.16666666666666666
testing_35,344.tiff,canine cutaneous mast cell tumor,344,0,default_51,17457,1797.0,3481.0,51,1797.0,3481.0,0.0,8a5236e8821278f3c63e7cfc2a07b82597ed3e28,30,30,27,30,0,,False,43,186.94,100,True,100,2601,0,,0,True,29.609055118110238,0.2533008895448562,3.6,6,12,19,0.6,0.6,0.6333333333333333
testing_35,344.tiff,canine cutaneous mast cell tumor,344,0,gray_bbox,17457,1797.0,3481.0,23,1796.5,3483.5,2.55,7b7f24becbff436d5a43d95c060a13cc2f999e1e,30,30,27,30,0,,False,43,186.94,100,True,100,529,0,,0,True,29.609055118110238,0.2533008895448562,3.4,8,14,18,0.8,0.7,0.6
testing_35,344.tiff,canine cutaneous mast cell tumor,344,0,hem_bbox,17457,1797.0,3481.0,19,1797.0,3483.0,2.0,12d42b7fe4bca254d830a4f694fa854152b80908,30,30,27,30,0,,False,43,186.94,100,True,99,361,0,,0,True,29.609055118110238,0.2533008895448562,4.0,7,11,12,0.7,0.55,0.4
testing_35,344.tiff,canine cutaneous mast cell tumor,344,1,default_51,17469,4351.0,1782.0,51,4351.0,1782.0,0.0,90f14f7f33a951d6bb335b2f8cf871a54ded930e,30,30,27,29,0,,False,43,237.17,100,True,99,2601,0,,0,True,29.609055118110238,0.2533008895448562,4.3,6,15,20,0.6,0.75,0.6666666666666666
testing_35,344.tiff,canine cutaneous mast cell tumor,344,1,gray_bbox,17469,4351.0,1782.0,39,4353.0,1785.0,3.606,3ba96268563bb07075bea89925f8d8ce3029a5d3,30,30,27,29,0,,False,43,237.17,100,True,98,1521,0,,0,True,29.609055118110238,0.2533008895448562,4.1,6,14,20,0.6,0.7,0.6666666666666666
testing_35,344.tiff,canine cutaneous mast cell tumor,344,1,hem_bbox,17469,4351.0,1782.0,21,4349.5,1781.5,1.581,07c080c4445c284c37ea3ef0f8c7db2456acf1ce,30,30,27,29,0,,False,43,237.17,100,True,99,441,0,,0,True,29.609055118110238,0.2533008895448562,3.8,6,11,12,0.6,0.55,0.4
testing_35,344.tiff,canine cutaneous mast cell tumor,344,2,default_51,17460,2486.0,4123.0,51,2486.0,4123.0,0.0,44e5c3f4a0cbdac0ce2bcf54b904482c38e0091c,30,30,27,28,0,,False,43,228.0,100,True,99,2601,0,,0,True,29.609055118110238,0.2533008895448562,4.3,6,14,20,0.6,0.7,0.6666666666666666
