file_name,tumor_type,image_id,seed_index,seed_ann_id,n_retries,contested_seed_tier,base_size,mpp,roi_h,roi_w,match_radius_px,nms_radius_px,pad_px,map_median,mad_scale,n_pre_nms_z1,n_post_nms_z1,n_at_current_z,n_gt_mitotic_eval,null_hit_frac,deep_recall_z1,precision_z1,coverage_z1,shortcut_ok,harness_full_list_recall,r5_n_detections,r5_tp,r5_precision,r5_recall,r5_fp_dup_on_mitotic
460.tiff,canine soft tissue sarcoma,460,0,22577,0,False,47,0.24816562612969095,4933,6577,30.221751968503938,30.221751968503938,23,-0.18101437389850616,1.0637353234648703,14450,11381,11380,35,0.0030398718069563576,1.0,0.0030755711775043936,0.7866041411380275,True,0.4857142857142857,48,17,0.3541666666666667,0.4857142857142857,0
460.tiff,canine soft tissue sarcoma,460,1,22538,0,False,39,0.24816562612969095,4933,6577,30.221751968503938,30.221751968503938,19,-0.10429548472166061,0.47671210817098614,20895,13923,13922,35,0.0030398718069563576,1.0,0.0025140066082459415,0.8713042385396047,True,0.2857142857142857,48,10,0.20833333333333334,0.2857142857142857,0
460.tiff,canine soft tissue sarcoma,460,2,22552,0,False,51,0.24816562612969095,4933,6577,30.221751968503938,30.221751968503938,25,-0.2603927552700043,1.1587515543222426,13472,11128,11127,35,0.003024161875137462,1.0,0.003145501932236901,0.7790633738649574,True,0.5428571428571428,48,19,0.3958333333333333,0.5428571428571428,0
460.tiff,canine soft tissue sarcoma,460,3,22537,0,False,39,0.24816562612969095,4933,6577,30.221751968503938,30.221751968503938,19,-0.10290718078613281,0.611220204770565,18043,12959,12958,35,0.00303201684104691,1.0,0.0027010341102021917,0.8415024978791592,True,0.42857142857142855,48,15,0.3125,0.42857142857142855,0
460.tiff,canine soft tissue sarcoma,460,4,22568,0,False,37,0.24816562612969095,4933,6577,30.221751968503938,30.221751968503938,18,-0.09154248237609863,0.5852721226036548,19117,12983,12982,35,0.003016306909228014,1.0,0.002696040671699276,0.8408191158450372,True,0.34285714285714286,48,12,0.25,0.34285714285714286,0
529.tiff,human melanoma,529,0,24918,0,False,37,0.2268329263261596,5412,7215,33.0639829123214,33.0639829123214,18,-0.044372234493494034,0.3332954031765461,18436,11513,11512,19,0.001641713923173021,1.0,0.00165045170257123,0.7770016155511514,True,0.3157894736842105,48,6,0.125,0.3157894736842105,0
529.tiff,human melanoma,529,1,24937,0,False,41,0.2268329263261596,5412,7215,33.0639829123214,33.0639829123214,20,-0.03966563567519188,0.24819643414020537,18321,11702,11701,19,0.0016286325373310049,1.0,0.0016237928382189556,0.7849943423006234,True,0.631578947368421,47,12,0.2553191489361702,0.631578947368421,0
529.tiff,human melanoma,529,2,24911,1,False,39,0.2268329263261596,5412,7215,33.0639829123214,33.0639829123214,19,-0.034886665642261505,0.35766751959621906,19668,11159,11158,19,0.0016286325373310049,1.0,0.0017028141243950528,0.7594333143653239,True,0.2631578947368421,47,5,0.10638297872340426,0.2631578947368421,0
529.tiff,human melanoma,529,3,24909,0,False,43,0.2268329263261596,5412,7215,33.0639829123214,33.0639829123214,21,-0.07930514216423035,0.5359591856181621,16133,10635,10634,19,0.001635173230252013,1.0,0.001786721835621591,0.7445074531195834,True,0.42105263157894735,47,8,0.1702127659574468,0.42105263157894735,0
529.tiff,human melanoma,529,4,24918,0,False,37,0.2268329263261596,5412,7215,33.0639829123214,33.0639829123214,18,-0.044372234493494034,0.3332954031765461,18436,11513,11512,19,0.001641713923173021,1.0,0.00165045170257123,0.7770016155511514,True,0.3157894736842105,48,6,0.125,0.3157894736842105,0
548.tiff,human melanoma,548,0,25804,0,False,29,0.22744294261267478,5412,7215,32.975303229224245,32.975303229224245,14,-0.05509126931428909,0.6139303312182426,27375,14485,14484,238,0.02050507230736024,0.9957983193277311,0.01636288318144159,0.877329304266494,True,0.12605042016806722,48,30,0.625,0.12605042016806722,0
548.tiff,human melanoma,548,1,25712,0,False,37,0.22744294261267478,5412,7215,32.975303229224245,32.975303229224245,18,-0.07451345026493073,0.6772858111917972,22545,14349,14348,238,0.02050507230736024,1.0,0.016587677725118485,0.868420880508081,True,0.1638655462184874,48,39,0.8125,0.1638655462184874,0
548.tiff,human melanoma,548,2,25735,0,False,33,0.22744294261267478,5412,7215,32.975303229224245,32.975303229224245,16,-0.09509076923131943,0.7429956406116485,26521,14595,14594,238,0.02050507230736024,1.0,0.016308071810333013,0.8791149134339292,True,0.13445378151260504,48,32,0.6666666666666666,0.13445378151260504,0
548.tiff,human melanoma,548,3,25802,0,False,33,0.22744294261267478,5412,7215,32.975303229224245,32.975303229224245,16,-0.08206693828105927,0.8118129514932632,25367,14473,14472,238,0.02050507230736024,0.9957983193277311,0.016376451077943614,0.8746672422476437,True,0.13865546218487396,47,33,0.7021276595744681,0.13865546218487396,0
548.tiff,human melanoma,548,4,25719,0,False,33,0.22744294261267478,5412,7215,32.975303229224245,32.975303229224245,16,-0.04526914283633232,0.47655768186450004,33596,15213,15212,238,0.02051161300028125,1.0,0.01564554299237444,0.8975923709357769,True,0.15126050420168066,48,36,0.75,0.15126050420168066,0
