file_name,arm,K,n_topk_shared,topk_identical,n_hem,n_gray,tp_counts_tie
300.tiff,od_contrast,50,0,False,,,
300.tiff/hem_bbox,chromatin_od_vs_tm_within,10,3,False,,,
300.tiff/hem_bbox,od_contrast_vs_tm_within,10,4,False,,,
300.tiff/gray_bbox,chromatin_od_vs_tm_within,10,3,False,,,
300.tiff/gray_bbox,od_contrast_vs_tm_within,10,4,False,,,
301.tiff,tm_score_GT_hit_sets,10,5,False,9.0,9.0,True
301.tiff,tm_score_GT_hit_sets,20,11,False,18.0,18.0,True
301.tiff,tm_score_GT_hit_sets,30,18,False,26.0,24.0,False
301.tiff,tm_score_GT_hit_sets,50,27,False,41.0,37.0,False
301.tiff,chromatin_od_GT_hit_sets,10,5,False,8.0,8.0,True
301.tiff,chromatin_od_GT_hit_sets,20,12,False,17.0,18.0,False
301.tiff,chromatin_od_GT_hit_sets,30,21,False,26.0,27.0,False
301.tiff,chromatin_od_GT_hit_sets,50,30,False,41.0,41.0,True
301.tiff,od_contrast_GT_hit_sets,10,5,False,7.0,8.0,False
301.tiff,od_contrast_GT_hit_sets,20,14,False,16.0,18.0,False
301.tiff,od_contrast_GT_hit_sets,30,21,False,25.0,27.0,False
301.tiff,od_contrast_GT_hit_sets,50,33,False,42.0,41.0,False
301.tiff,tm_score,10,0,False,,,
301.tiff,tm_score,20,0,False,,,
301.tiff,tm_score,30,0,False,,,
301.tiff,tm_score,50,0,False,,,
301.tiff,chromatin_od,10,0,False,,,
301.tiff,chromatin_od,20,0,False,,,
301.tiff,chromatin_od,30,0,False,,,
301.tiff,chromatin_od,50,0,False,,,
301.tiff,od_contrast,10,0,False,,,
301.tiff,od_contrast,20,0,False,,,
301.tiff,od_contrast,30,0,False,,,
301.tiff,od_contrast,50,0,False,,,
301.tiff/hem_bbox,chromatin_od_vs_tm_within,10,2,False,,,
301.tiff/hem_bbox,od_contrast_vs_tm_within,10,4,False,,,
301.tiff/gray_bbox,chromatin_od_vs_tm_within,10,5,False,,,
301.tiff/gray_bbox,od_contrast_vs_tm_within,10,4,False,,,
402.tiff,tm_score_GT_hit_sets,10,3,False,3.0,4.0,False
402.tiff,tm_score_GT_hit_sets,20,4,False,7.0,9.0,False
402.tiff,tm_score_GT_hit_sets,30,7,False,9.0,14.0,False
402.tiff,tm_score_GT_hit_sets,50,15,False,18.0,22.0,False
402.tiff,chromatin_od_GT_hit_sets,10,6,False,7.0,7.0,True
402.tiff,chromatin_od_GT_hit_sets,20,9,False,11.0,12.0,False
402.tiff,chromatin_od_GT_hit_sets,30,13,False,15.0,15.0,True
402.tiff,chromatin_od_GT_hit_sets,50,22,False,27.0,25.0,False
402.tiff,od_contrast_GT_hit_sets,10,4,True,4.0,4.0,True
402.tiff,od_contrast_GT_hit_sets,20,8,False,11.0,9.0,False
402.tiff,od_contrast_GT_hit_sets,30,14,False,17.0,16.0,False
402.tiff,od_contrast_GT_hit_sets,50,23,False,26.0,26.0,True
402.tiff,tm_score,10,0,False,,,
402.tiff,tm_score,20,0,False,,,
402.tiff,tm_score,30,0,False,,,
402.tiff,tm_score,50,0,False,,,
402.tiff,chromatin_od,10,0,False,,,
402.tiff,chromatin_od,20,0,False,,,
402.tiff,chromatin_od,30,0,False,,,
402.tiff,chromatin_od,50,0,False,,,
402.tiff,od_contrast,10,0,False,,,
402.tiff,od_contrast,20,1,False,,,
402.tiff,od_contrast,30,1,False,,,
402.tiff,od_contrast,50,1,False,,,
402.tiff/hem_bbox,chromatin_od_vs_tm_within,10,3,False,,,
402.tiff/hem_bbox,od_contrast_vs_tm_within,10,3,False,,,
402.tiff/gray_bbox,chromatin_od_vs_tm_within,10,3,False,,,
402.tiff/gray_bbox,od_contrast_vs_tm_within,10,4,False,,,
403.tiff,tm_score_GT_hit_sets,10,3,False,4.0,5.0,False
403.tiff,tm_score_GT_hit_sets,20,3,False,5.0,7.0,False
403.tiff,tm_score_GT_hit_sets,30,4,False,8.0,8.0,True
403.tiff,tm_score_GT_hit_sets,50,8,False,14.0,15.0,False
403.tiff,chromatin_od_GT_hit_sets,10,3,False,4.0,5.0,False
403.tiff,chromatin_od_GT_hit_sets,20,5,False,7.0,10.0,False
403.tiff,chromatin_od_GT_hit_sets,30,8,False,10.0,14.0,False
403.tiff,chromatin_od_GT_hit_sets,50,9,False,13.0,17.0,False
403.tiff,od_contrast_GT_hit_sets,10,3,False,6.0,6.0,True
403.tiff,od_contrast_GT_hit_sets,20,7,False,9.0,12.0,False
403.tiff,od_contrast_GT_hit_sets,30,8,False,11.0,14.0,False
403.tiff,od_contrast_GT_hit_sets,50,10,False,12.0,18.0,False
403.tiff,tm_score,10,0,False,,,
403.tiff,tm_score,20,0,False,,,
403.tiff,tm_score,30,0,False,,,
403.tiff,tm_score,50,0,False,,,
403.tiff,chromatin_od,10,0,False,,,
403.tiff,chromatin_od,20,0,False,,,
403.tiff,chromatin_od,30,0,False,,,
403.tiff,chromatin_od,50,0,False,,,
403.tiff,od_contrast,10,0,False,,,
403.tiff,od_contrast,20,0,False,,,
403.tiff,od_contrast,30,0,False,,,
403.tiff,od_contrast,50,0,False,,,
403.tiff/hem_bbox,chromatin_od_vs_tm_within,10,6,False,,,
403.tiff/hem_bbox,od_contrast_vs_tm_within,10,4,False,,,
403.tiff/gray_bbox,chromatin_od_vs_tm_within,10,7,False,,,
403.tiff/gray_bbox,od_contrast_vs_tm_within,10,6,False,,,
459.tiff,tm_score_GT_hit_sets,10,3,False,4.0,6.0,False
459.tiff,tm_score_GT_hit_sets,20,8,False,9.0,11.0,False
459.tiff,tm_score_GT_hit_sets,30,14,False,15.0,19.0,False
459.tiff,tm_score_GT_hit_sets,50,23,False,23.0,26.0,False
459.tiff,chromatin_od_GT_hit_sets,10,8,False,9.0,9.0,True
459.tiff,chromatin_od_GT_hit_sets,20,15,False,17.0,17.0,True
459.tiff,chromatin_od_GT_hit_sets,30,21,False,25.0,25.0,True
459.tiff,chromatin_od_GT_hit_sets,50,29,False,31.0,35.0,False
459.tiff,od_contrast_GT_hit_sets,10,6,False,7.0,7.0,True
459.tiff,od_contrast_GT_hit_sets,20,14,False,15.0,15.0,True
459.tiff,od_contrast_GT_hit_sets,30,18,False,21.0,20.0,False
459.tiff,od_contrast_GT_hit_sets,50,29,False,31.0,34.0,False
459.tiff,tm_score,10,0,False,,,
459.tiff,tm_score,20,2,False,,,
459.tiff,tm_score,30,3,False,,,
459.tiff,tm_score,50,4,False,,,
459.tiff,chromatin_od,10,0,False,,,
459.tiff,chromatin_od,20,0,False,,,
459.tiff,chromatin_od,30,1,False,,,
459.tiff,chromatin_od,50,5,False,,,
459.tiff,od_contrast,10,0,False,,,
459.tiff,od_contrast,20,0,False,,,
459.tiff,od_contrast,30,1,False,,,
459.tiff,od_contrast,50,4,False,,,
459.tiff/hem_bbox,chromatin_od_vs_tm_within,10,3,False,,,
459.tiff/hem_bbox,od_contrast_vs_tm_within,10,3,False,,,
459.tiff/gray_bbox,chromatin_od_vs_tm_within,10,4,False,,,
459.tiff/gray_bbox,od_contrast_vs_tm_within,10,4,False,,,
460.tiff,tm_score_GT_hit_sets,10,7,True,7.0,7.0,True
460.tiff,tm_score_GT_hit_sets,20,9,False,9.0,10.0,False
460.tiff,tm_score_GT_hit_sets,30,10,False,11.0,12.0,False
460.tiff,tm_score_GT_hit_sets,50,12,False,13.0,15.0,False
460.tiff,chromatin_od_GT_hit_sets,10,6,False,7.0,7.0,True
460.tiff,chromatin_od_GT_hit_sets,20,13,False,14.0,16.0,False
460.tiff,chromatin_od_GT_hit_sets,30,14,False,15.0,17.0,False
460.tiff,chromatin_od_GT_hit_sets,50,16,False,16.0,20.0,False
460.tiff,od_contrast_GT_hit_sets,10,8,False,8.0,10.0,False
460.tiff,od_contrast_GT_hit_sets,20,11,False,11.0,13.0,False
460.tiff,od_contrast_GT_hit_sets,30,13,False,14.0,17.0,False
460.tiff,od_contrast_GT_hit_sets,50,15,False,16.0,19.0,False
460.tiff,tm_score,10,0,False,,,
460.tiff,tm_score,20,0,False,,,
460.tiff,tm_score,30,0,False,,,
460.tiff,tm_score,50,0,False,,,
460.tiff,chromatin_od,10,0,False,,,
460.tiff,chromatin_od,20,0,False,,,
460.tiff,chromatin_od,30,0,False,,,
460.tiff,chromatin_od,50,0,False,,,
460.tiff,od_contrast,10,0,False,,,
460.tiff,od_contrast,20,0,False,,,
460.tiff,od_contrast,30,0,False,,,
460.tiff,od_contrast,50,0,False,,,
460.tiff/hem_bbox,chromatin_od_vs_tm_within,10,4,False,,,
460.tiff/hem_bbox,od_contrast_vs_tm_within,10,4,False,,,
460.tiff/gray_bbox,chromatin_od_vs_tm_within,10,4,False,,,
460.tiff/gray_bbox,od_contrast_vs_tm_within,10,5,False,,,
529.tiff,tm_score_GT_hit_sets,10,2,False,2.0,3.0,False
529.tiff,tm_score_GT_hit_sets,20,3,False,4.0,4.0,True
529.tiff,tm_score_GT_hit_sets,30,4,False,5.0,4.0,False
529.tiff,tm_score_GT_hit_sets,50,5,False,6.0,6.0,True
529.tiff,chromatin_od_GT_hit_sets,10,5,False,6.0,6.0,True
529.tiff,chromatin_od_GT_hit_sets,20,7,False,8.0,7.0,False
529.tiff,chromatin_od_GT_hit_sets,30,7,False,8.0,7.0,False
529.tiff,chromatin_od_GT_hit_sets,50,7,False,8.0,7.0,False
529.tiff,od_contrast_GT_hit_sets,10,6,True,6.0,6.0,True
