file_name,tumor_type,z,arm,n_r50,n_r75,rec_r50,rec_r75,cov_r50,cov_r75,pct_extra_at_r50,d_recall_r50_minus_r75
301.tiff,canine cutaneous mast cell tumor,1.5,tm_score,19656,15530,1.0,1.0,0.9446,0.9043,26.56793303283966,0.0
301.tiff,canine cutaneous mast cell tumor,2.0,tm_score,15836,13347,0.9953917050691244,0.9953917050691244,0.8682,0.8305,18.64838540495992,0.0
301.tiff,canine cutaneous mast cell tumor,2.5,tm_score,10861,9855,0.9631336405529954,0.9631336405529954,0.6993,0.6756,10.208016235413497,0.0
301.tiff,canine cutaneous mast cell tumor,3.0,tm_score,6142,5879,0.912442396313364,0.9124423963133641,0.4524,0.4438,4.473549923456366,-1.1102230246251565e-16
402.tiff,human neuroendocrine tumor,-1.0,chromatin_od,32550,17337,1.0,1.0,0.999,0.9587,87.74874545769164,0.0
402.tiff,human neuroendocrine tumor,-0.5,chromatin_od,32528,17333,1.0,1.0,0.999,0.9586,87.6651474066809,0.0
402.tiff,human neuroendocrine tumor,0.0,chromatin_od,32110,17248,1.0,1.0,0.9987,0.9571,86.16651205936921,0.0
402.tiff,human neuroendocrine tumor,0.5,chromatin_od,30129,16729,1.0,1.0,0.9941,0.9461,80.10042441269651,0.0
402.tiff,human neuroendocrine tumor,1.0,chromatin_od,27280,15912,1.0,1.0,0.9824,0.9252,71.44293614881849,0.0
402.tiff,human neuroendocrine tumor,1.5,chromatin_od,22878,14461,1.0,1.0,0.9514,0.8841,58.20482677546504,0.0
402.tiff,human neuroendocrine tumor,2.0,chromatin_od,16994,11850,1.0,1.0,0.8559,0.7829,43.40928270042195,0.0
402.tiff,human neuroendocrine tumor,2.5,chromatin_od,11083,8478,1.0,1.0,0.6636,0.6084,30.72658645907054,0.0
402.tiff,human neuroendocrine tumor,3.0,chromatin_od,6732,5543,1.0,1.0,0.4537,0.4218,21.450478080461856,0.0
402.tiff,human neuroendocrine tumor,-1.0,tm_score,32550,17337,1.0,1.0,0.999,0.9587,87.74874545769164,0.0
402.tiff,human neuroendocrine tumor,-0.5,tm_score,32528,17333,1.0,1.0,0.999,0.9586,87.6651474066809,0.0
402.tiff,human neuroendocrine tumor,0.0,tm_score,32110,17248,1.0,1.0,0.9987,0.9571,86.16651205936921,0.0
402.tiff,human neuroendocrine tumor,0.5,tm_score,30129,16729,1.0,1.0,0.9941,0.9461,80.10042441269651,0.0
402.tiff,human neuroendocrine tumor,1.0,tm_score,27280,15912,1.0,1.0,0.9824,0.9252,71.44293614881849,0.0
402.tiff,human neuroendocrine tumor,1.5,tm_score,22878,14461,1.0,1.0,0.9514,0.8841,58.20482677546504,0.0
402.tiff,human neuroendocrine tumor,2.0,tm_score,16994,11850,1.0,1.0,0.8559,0.7829,43.40928270042195,0.0
402.tiff,human neuroendocrine tumor,2.5,tm_score,11083,8478,1.0,1.0,0.6636,0.6084,30.72658645907054,0.0
402.tiff,human neuroendocrine tumor,3.0,tm_score,6732,5543,1.0,1.0,0.4537,0.4218,21.450478080461856,0.0
459.tiff,canine soft tissue sarcoma,-1.0,chromatin_od,26152,17994,1.0,1.0,0.9954,0.9647,45.33733466711125,0.0
459.tiff,canine soft tissue sarcoma,-0.5,chromatin_od,26135,17988,1.0,1.0,0.9954,0.9646,45.29130531465422,0.0
459.tiff,canine soft tissue sarcoma,0.0,chromatin_od,25835,17907,1.0,1.0,0.9949,0.9634,44.273189255598375,0.0
459.tiff,canine soft tissue sarcoma,0.5,chromatin_od,23998,17234,1.0,1.0,0.9888,0.9528,39.2479981432053,0.0
459.tiff,canine soft tissue sarcoma,1.0,chromatin_od,20892,15834,1.0,1.0,0.9649,0.9214,31.9439181508147,0.0
459.tiff,canine soft tissue sarcoma,1.5,chromatin_od,17917,14284,1.0,1.0,0.9214,0.876,25.434052086250357,0.0
459.tiff,canine soft tissue sarcoma,2.0,chromatin_od,14755,12399,0.9923076923076924,0.9923076923076923,0.8479,0.807,19.00153238164368,1.1102230246251565e-16
