subset,domain,file_name,pair,K,delta_tp_s0,delta_tp_s1,delta_tp_s2,delta_tp_sum
testing_35,canine lung cancer,230.tiff,fill_alpha_2 - fill_alpha_0,20,-3,-1,-1,-5
testing_35,canine lung cancer,230.tiff,fill_alpha_2 - fill_alpha_0,30,-4,0,-1,-5
testing_35,canine lung cancer,235.tiff,fill_alpha_2 - fill_alpha_0,10,1,0,1,2
testing_35,canine lung cancer,235.tiff,fill_alpha_2 - fill_alpha_0,20,1,3,2,6
testing_35,canine lung cancer,235.tiff,fill_alpha_2 - fill_alpha_0,30,2,3,3,8
testing_35,canine lung cancer,242.tiff,fill_alpha_2 - fill_alpha_0,10,0,-1,0,-1
testing_35,canine lung cancer,242.tiff,fill_alpha_2 - fill_alpha_0,20,1,-1,0,0
testing_35,canine lung cancer,242.tiff,fill_alpha_2 - fill_alpha_0,30,1,-1,0,0
original_14,canine lymphosarcoma,245.tiff,fill_alpha_2 - fill_alpha_0,10,0,0,1,1
original_14,canine lymphosarcoma,245.tiff,fill_alpha_2 - fill_alpha_0,20,0,-2,3,1
original_14,canine lymphosarcoma,245.tiff,fill_alpha_2 - fill_alpha_0,30,-2,-2,4,0
original_14,canine lymphosarcoma,246.tiff,fill_alpha_2 - fill_alpha_0,10,0,2,0,2
original_14,canine lymphosarcoma,246.tiff,fill_alpha_2 - fill_alpha_0,20,1,6,3,10
original_14,canine lymphosarcoma,246.tiff,fill_alpha_2 - fill_alpha_0,30,2,8,5,15
testing_35,canine lymphosarcoma,249.tiff,fill_alpha_2 - fill_alpha_0,10,1,-1,1,1
testing_35,canine lymphosarcoma,249.tiff,fill_alpha_2 - fill_alpha_0,20,0,-1,2,1
testing_35,canine lymphosarcoma,249.tiff,fill_alpha_2 - fill_alpha_0,30,2,-1,3,4
testing_35,canine lymphosarcoma,284.tiff,fill_alpha_2 - fill_alpha_0,10,1,1,1,3
testing_35,canine lymphosarcoma,284.tiff,fill_alpha_2 - fill_alpha_0,20,5,3,0,8
testing_35,canine lymphosarcoma,284.tiff,fill_alpha_2 - fill_alpha_0,30,6,3,-1,8
testing_35,canine lymphosarcoma,289.tiff,fill_alpha_2 - fill_alpha_0,10,0,1,-1,0
testing_35,canine lymphosarcoma,289.tiff,fill_alpha_2 - fill_alpha_0,20,1,4,-1,4
testing_35,canine lymphosarcoma,289.tiff,fill_alpha_2 - fill_alpha_0,30,1,1,-1,1
testing_35,canine lymphosarcoma,291.tiff,fill_alpha_2 - fill_alpha_0,10,-2,1,0,-1
testing_35,canine lymphosarcoma,291.tiff,fill_alpha_2 - fill_alpha_0,20,3,5,3,11
testing_35,canine lymphosarcoma,291.tiff,fill_alpha_2 - fill_alpha_0,30,6,9,5,20
testing_35,canine lymphosarcoma,293.tiff,fill_alpha_2 - fill_alpha_0,10,-6,-7,-6,-19
testing_35,canine lymphosarcoma,293.tiff,fill_alpha_2 - fill_alpha_0,20,-4,-11,-5,-20
testing_35,canine lymphosarcoma,293.tiff,fill_alpha_2 - fill_alpha_0,30,-2,-8,-5,-15
original_14,canine soft tissue sarcoma,459.tiff,fill_alpha_2 - fill_alpha_0,10,0,0,0,0
original_14,canine soft tissue sarcoma,459.tiff,fill_alpha_2 - fill_alpha_0,20,2,0,1,3
original_14,canine soft tissue sarcoma,459.tiff,fill_alpha_2 - fill_alpha_0,30,3,2,7,12
original_14,canine soft tissue sarcoma,460.tiff,fill_alpha_2 - fill_alpha_0,10,-1,6,4,9
original_14,canine soft tissue sarcoma,460.tiff,fill_alpha_2 - fill_alpha_0,20,4,11,12,27
original_14,canine soft tissue sarcoma,460.tiff,fill_alpha_2 - fill_alpha_0,30,4,12,13,29
testing_35,canine soft tissue sarcoma,410.tiff,fill_alpha_2 - fill_alpha_0,10,1,1,0,2
testing_35,canine soft tissue sarcoma,410.tiff,fill_alpha_2 - fill_alpha_0,20,3,3,3,9
testing_35,canine soft tissue sarcoma,410.tiff,fill_alpha_2 - fill_alpha_0,30,3,3,3,9
testing_35,canine soft tissue sarcoma,425.tiff,fill_alpha_2 - fill_alpha_0,10,0,0,-1,-1
testing_35,canine soft tissue sarcoma,425.tiff,fill_alpha_2 - fill_alpha_0,20,0,-1,1,0
testing_35,canine soft tissue sarcoma,425.tiff,fill_alpha_2 - fill_alpha_0,30,-1,-1,2,0
testing_35,canine soft tissue sarcoma,435.tiff,fill_alpha_2 - fill_alpha_0,10,1,1,2,4
testing_35,canine soft tissue sarcoma,435.tiff,fill_alpha_2 - fill_alpha_0,20,4,2,4,10
testing_35,canine soft tissue sarcoma,435.tiff,fill_alpha_2 - fill_alpha_0,30,4,3,2,9
testing_35,canine soft tissue sarcoma,462.tiff,fill_alpha_2 - fill_alpha_0,10,0,-1,0,-1
testing_35,canine soft tissue sarcoma,462.tiff,fill_alpha_2 - fill_alpha_0,20,0,0,2,2
testing_35,canine soft tissue sarcoma,462.tiff,fill_alpha_2 - fill_alpha_0,30,0,1,1,2
testing_35,canine soft tissue sarcoma,499.tiff,fill_alpha_2 - fill_alpha_0,10,-1,0,0,-1
testing_35,canine soft tissue sarcoma,499.tiff,fill_alpha_2 - fill_alpha_0,20,0,2,0,2
testing_35,canine soft tissue sarcoma,499.tiff,fill_alpha_2 - fill_alpha_0,30,-2,1,0,-1
original_14,human breast cancer,013.tiff,fill_alpha_2 - fill_alpha_0,10,0,1,0,1
original_14,human breast cancer,013.tiff,fill_alpha_2 - fill_alpha_0,20,-1,3,0,2
original_14,human breast cancer,013.tiff,fill_alpha_2 - fill_alpha_0,30,-1,2,-1,0
