file_name,image_id,tumor_type,decision_grade,seed_index,provenance,seed_ann_id,seed_cx,seed_cy,base_size,map_median,mad_scale,extract_floor,n_pool,channel,arm,rank_key,seeded,z,z_dependent,floor_limited,n_gt_mitotic,n_gt_lookalike,n_detections,coverage_frac,n_lookalike_in_list,largest_tie_block,nan_rate,full_list_recall,match_radius_px,read_50,read_80,read_100,z_cut,budget,budget_delivered,tp_at_budget,lookalike_at_budget,recall_at_budget
246.tiff,246,canine lymphosarcoma,True,0,c_random_blob,-1,4221.7,1082.6,51,-0.00072,0.09458,0.04657,16769,rgb,pipeline,od,True,2.0,True,False,115,122,9483,0.6802,84,2,0.0,0.7391304347826086,30.222,136.0,,,0.18844,2000,2000,83,64,0.7217391304347827
246.tiff,246,canine lymphosarcoma,True,0,c_random_blob,-1,4221.7,1082.6,51,-0.00072,0.09458,0.04657,16769,rgb,pipeline,od,True,2.0,True,False,115,122,9483,0.6802,84,2,0.0,0.7391304347826086,30.222,136.0,,,0.18844,5000,5000,84,78,0.7304347826086957
246.tiff,246,canine lymphosarcoma,True,1,a_mitotic,6599,5650.0,3720.0,51,-0.0022,0.09973,0.04767,16819,rgb,pipeline,od,True,2.0,True,False,115,122,9757,0.6907,98,2,0.0,0.9217391304347826,30.222,121.0,721.0,,0.19727,500,500,86,48,0.7478260869565218
246.tiff,246,canine lymphosarcoma,True,1,a_mitotic,6599,5650.0,3720.0,51,-0.0022,0.09973,0.04767,16819,rgb,pipeline,od,True,2.0,True,False,115,122,9757,0.6907,98,2,0.0,0.9217391304347826,30.222,121.0,721.0,,0.19727,1000,1000,97,62,0.8434782608695652
246.tiff,246,canine lymphosarcoma,True,1,a_mitotic,6599,5650.0,3720.0,51,-0.0022,0.09973,0.04767,16819,rgb,pipeline,od,True,2.0,True,False,115,122,9757,0.6907,98,2,0.0,0.9217391304347826,30.222,121.0,721.0,,0.19727,2000,2000,103,81,0.8956521739130435
246.tiff,246,canine lymphosarcoma,True,1,a_mitotic,6599,5650.0,3720.0,51,-0.0022,0.09973,0.04767,16819,rgb,pipeline,od,True,2.0,True,False,115,122,9757,0.6907,98,2,0.0,0.9217391304347826,30.222,121.0,721.0,,0.19727,5000,5000,106,95,0.9217391304347826
246.tiff,246,canine lymphosarcoma,True,1,b_lookalike,6614,2493.0,4674.0,51,0.00019,0.10451,0.05244,16843,rgb,pipeline,od,True,2.0,True,False,115,122,8620,0.6318,91,3,0.0,0.8260869565217391,30.222,111.0,1858.0,,0.20921,500,500,79,43,0.6869565217391305
246.tiff,246,canine lymphosarcoma,True,1,b_lookalike,6614,2493.0,4674.0,51,0.00019,0.10451,0.05244,16843,rgb,pipeline,od,True,2.0,True,False,115,122,8620,0.6318,91,3,0.0,0.8260869565217391,30.222,111.0,1858.0,,0.20921,1000,1000,84,59,0.7304347826086957
246.tiff,246,canine lymphosarcoma,True,1,b_lookalike,6614,2493.0,4674.0,51,0.00019,0.10451,0.05244,16843,rgb,pipeline,od,True,2.0,True,False,115,122,8620,0.6318,91,3,0.0,0.8260869565217391,30.222,111.0,1858.0,,0.20921,2000,2000,92,73,0.8
246.tiff,246,canine lymphosarcoma,True,1,b_lookalike,6614,2493.0,4674.0,51,0.00019,0.10451,0.05244,16843,rgb,pipeline,od,True,2.0,True,False,115,122,8620,0.6318,91,3,0.0,0.8260869565217391,30.222,111.0,1858.0,,0.20921,5000,5000,94,86,0.8173913043478261
246.tiff,246,canine lymphosarcoma,True,1,c_random_blob,-1,6121.0,3448.6,51,-0.00097,0.11167,0.05486,15119,rgb,pipeline,od,True,2.0,True,False,115,122,6637,0.5196,58,2,0.0,0.6086956521739131,30.222,400.0,,,0.22236,500,500,58,27,0.5043478260869565
246.tiff,246,canine lymphosarcoma,True,1,c_random_blob,-1,6121.0,3448.6,51,-0.00097,0.11167,0.05486,15119,rgb,pipeline,od,True,2.0,True,False,115,122,6637,0.5196,58,2,0.0,0.6086956521739131,30.222,400.0,,,0.22236,1000,1000,63,41,0.5478260869565217
246.tiff,246,canine lymphosarcoma,True,1,c_random_blob,-1,6121.0,3448.6,51,-0.00097,0.11167,0.05486,15119,rgb,pipeline,od,True,2.0,True,False,115,122,6637,0.5196,58,2,0.0,0.6086956521739131,30.222,400.0,,,0.22236,2000,2000,68,50,0.591304347826087
246.tiff,246,canine lymphosarcoma,True,1,c_random_blob,-1,6121.0,3448.6,51,-0.00097,0.11167,0.05486,15119,rgb,pipeline,od,True,2.0,True,False,115,122,6637,0.5196,58,2,0.0,0.6086956521739131,30.222,400.0,,,0.22236,5000,5000,70,58,0.6086956521739131
246.tiff,246,canine lymphosarcoma,True,2,a_mitotic,6485,5241.0,1445.0,39,0.00249,0.11446,0.05972,17504,rgb,pipeline,od,True,2.0,True,False,115,122,11159,0.7602,115,2,0.007796,0.8869565217391304,30.222,121.0,731.0,,0.23142,500,500,85,48,0.7391304347826086
