file_name,tumor_type,image_id,z,score_cut,n_peaks_pre_nms,n_retained,n_returned_at_k,tp_at_k,lookalike_at_k,unannotated_at_k,precision_at_k,tp_full,lookalike_full,unannotated_full,precision_full,n_gt_mitotic,recall_full,t_z_s
548.tiff,human melanoma,548,4.0,2.4006300555586813,3154,2865,20,12,4,4,0.6,233,99,2533,0.08132635253054102,238,0.9789915966386554,0.34
548.tiff,human melanoma,548,5.0,3.0145603867769237,1247,1169,20,12,4,4,0.6,220,80,869,0.1881950384944397,238,0.9243697478991597,0.31
548.tiff,human melanoma,548,6.0,3.6284907179951666,655,626,20,12,4,4,0.6,197,69,360,0.3146964856230032,238,0.8277310924369747,0.36
548.tiff,human melanoma,548,8.0,4.856351380431652,278,269,20,12,4,4,0.6,144,39,86,0.5353159851301115,238,0.6050420168067226,0.32
548.tiff,human melanoma,548,10.0,6.0842120428681365,102,100,20,12,4,4,0.6,66,16,18,0.66,238,0.2773109243697479,0.34
548.tiff,human melanoma,548,12.0,7.312072705304622,38,37,20,12,4,4,0.6,22,6,9,0.5945945945945946,238,0.09243697478991597,0.32
548.tiff,human melanoma,548,15.0,9.15386369895935,1,0,0,0,0,0,,0,0,0,,238,0.0,0.32
548.tiff,human melanoma,548,18.0,10.995654692614078,0,0,0,0,0,0,,0,0,0,,238,0.0,0.31
548.tiff,human melanoma,548,22.0,13.451376017487048,0,0,0,0,0,0,,0,0,0,,238,0.0,0.3
548.tiff,human melanoma,548,26.0,15.907097342360018,0,0,0,0,0,0,,0,0,0,,238,0.0,0.3
