file_name,tumor_type,seed_index,nms_radius_um,nms_radius_px,axis,z,n_detections,n_gt_mitotic,n_found,gained_vs_control,lost_vs_control,gt_claim_change,n_within_match_radius,n_dup_fp,dup_fp_frac,topk_churn,gap_n,gap_median_px,gap_p05_px,gap_p95_px
233.tiff,canine lung cancer,4,5.9,23.774,tm_score,1.0,16158,17,17,-1,-1,-1,61,22,0.00136,0.015873015873015928,0,,,
233.tiff,canine lung cancer,4,5.9,23.774,chromatin_od,1.0,16158,17,17,0,0,10,61,22,0.00136,0.34983498349834985,0,,,
233.tiff,canine lung cancer,4,5.0,20.148,tm_score,1.0,17188,17,17,-1,-1,-1,62,23,0.00134,0.015873015873015928,0,,,
233.tiff,canine lung cancer,4,5.0,20.148,chromatin_od,1.0,17188,17,17,0,0,11,62,23,0.00134,0.432601880877743,0,,,
245.tiff,canine lymphosarcoma,0,7.5,30.222,tm_score,1.0,16990,89,86,-1,-1,-1,236,81,0.00477,,48,22.42,16.2,29.31
245.tiff,canine lymphosarcoma,0,7.5,30.222,chromatin_od,1.0,16990,89,86,-1,-1,-1,236,81,0.00477,,48,22.42,16.2,29.31
245.tiff,canine lymphosarcoma,0,5.9,23.774,tm_score,1.0,25393,89,89,-1,-1,-1,348,189,0.00744,0.03149606299212604,39,21.21,14.26,23.71
245.tiff,canine lymphosarcoma,0,5.9,23.774,chromatin_od,1.0,25393,89,89,3,0,89,348,189,0.00744,0.46153846153846156,39,21.21,14.26,23.71
245.tiff,canine lymphosarcoma,0,5.0,20.148,tm_score,1.0,36495,89,89,-1,-1,-1,510,351,0.00962,0.12030075187969924,17,17.09,12.68,19.66
245.tiff,canine lymphosarcoma,0,5.0,20.148,chromatin_od,1.0,36495,89,89,3,0,89,510,351,0.00962,0.6737400530503979,17,17.09,12.68,19.66
245.tiff,canine lymphosarcoma,1,7.5,30.222,tm_score,1.0,16546,89,89,-1,-1,-1,251,93,0.00562,,63,24.04,15.18,27.69
245.tiff,canine lymphosarcoma,1,7.5,30.222,chromatin_od,1.0,16546,89,89,-1,-1,-1,251,93,0.00562,,63,24.04,15.18,27.69
245.tiff,canine lymphosarcoma,1,5.9,23.774,tm_score,1.0,27045,89,89,-1,-1,-1,421,262,0.00969,0.02371541501976282,42,20.25,14.59,23.35
245.tiff,canine lymphosarcoma,1,5.9,23.774,chromatin_od,1.0,27045,89,89,0,0,89,421,262,0.00969,0.5795454545454546,42,20.25,14.59,23.35
245.tiff,canine lymphosarcoma,1,5.0,20.148,tm_score,1.0,38876,89,89,-1,-1,-1,586,428,0.01101,0.06949806949806947,28,18.21,14.24,20.08
245.tiff,canine lymphosarcoma,1,5.0,20.148,chromatin_od,1.0,38876,89,89,0,0,89,586,428,0.01101,0.7244897959183674,28,18.21,14.24,20.08
245.tiff,canine lymphosarcoma,2,7.5,30.222,tm_score,1.0,16700,89,89,-1,-1,-1,239,81,0.00485,,49,24.41,19.36,29.04
245.tiff,canine lymphosarcoma,2,7.5,30.222,chromatin_od,1.0,16700,89,89,-1,-1,-1,239,81,0.00485,,49,24.41,19.36,29.04
245.tiff,canine lymphosarcoma,2,5.9,23.774,tm_score,1.0,26913,89,89,-1,-1,-1,401,242,0.00899,0.03149606299212604,32,21.0,14.23,23.35
245.tiff,canine lymphosarcoma,2,5.9,23.774,chromatin_od,1.0,26913,89,89,0,0,89,401,242,0.00899,0.5835694050991501,32,21.0,14.23,23.35
245.tiff,canine lymphosarcoma,2,5.0,20.148,tm_score,1.0,39241,89,89,-1,-1,-1,608,449,0.01144,0.07692307692307687,12,17.61,11.41,19.93
245.tiff,canine lymphosarcoma,2,5.0,20.148,chromatin_od,1.0,39241,89,89,0,0,89,608,449,0.01144,0.7405541561712846,12,17.61,11.41,19.93
245.tiff,canine lymphosarcoma,3,7.5,30.222,tm_score,1.0,16736,89,88,-1,-1,-1,216,64,0.00382,,30,23.91,13.97,29.59
245.tiff,canine lymphosarcoma,3,7.5,30.222,chromatin_od,1.0,16736,89,88,-1,-1,-1,216,64,0.00382,,30,23.91,13.97,29.59
245.tiff,canine lymphosarcoma,3,5.9,23.774,tm_score,1.0,27786,89,89,-1,-1,-1,415,256,0.00921,0.06201550387596899,22,19.68,12.4,23.77
245.tiff,canine lymphosarcoma,3,5.9,23.774,chromatin_od,1.0,27786,89,89,1,0,89,415,256,0.00921,0.607242339832869,22,19.68,12.4,23.77
245.tiff,canine lymphosarcoma,3,5.0,20.148,tm_score,1.0,37230,89,89,-1,-1,-1,570,411,0.01104,0.07692307692307687,16,17.58,12.18,19.94
245.tiff,canine lymphosarcoma,3,5.0,20.148,chromatin_od,1.0,37230,89,89,1,0,89,570,411,0.01104,0.7437185929648241,16,17.58,12.18,19.94
245.tiff,canine lymphosarcoma,4,7.5,30.222,tm_score,1.0,17680,89,86,-1,-1,-1,240,86,0.00486,,40,23.79,17.4,29.83
245.tiff,canine lymphosarcoma,4,7.5,30.222,chromatin_od,1.0,17680,89,86,-1,-1,-1,240,86,0.00486,,40,23.79,17.4,29.83
245.tiff,canine lymphosarcoma,4,5.9,23.774,tm_score,1.0,26812,89,89,-1,-1,-1,376,217,0.00809,0.054474708171206254,27,20.12,13.63,23.66
245.tiff,canine lymphosarcoma,4,5.9,23.774,chromatin_od,1.0,26812,89,89,3,0,89,376,217,0.00809,0.5507246376811594,27,20.12,13.63,23.66
245.tiff,canine lymphosarcoma,4,5.0,20.148,tm_score,1.0,35994,89,89,-1,-1,-1,535,376,0.01045,0.07692307692307687,18,18.69,13.39,20.12
245.tiff,canine lymphosarcoma,4,5.0,20.148,chromatin_od,1.0,35994,89,89,3,0,89,535,376,0.01045,0.7012987012987013,18,18.69,13.39,20.12
246.tiff,canine lymphosarcoma,0,7.5,30.222,tm_score,1.0,16529,115,115,-1,-1,-1,294,58,0.00351,,6,24.4,12.03,27.52
246.tiff,canine lymphosarcoma,0,7.5,30.222,chromatin_od,1.0,16529,115,115,-1,-1,-1,294,58,0.00351,,6,24.4,12.03,27.52
246.tiff,canine lymphosarcoma,0,5.9,23.774,tm_score,1.0,22931,115,115,-1,-1,-1,472,234,0.0102,0.06949806949806947,3,19.65,10.5,22.27
246.tiff,canine lymphosarcoma,0,5.9,23.774,chromatin_od,1.0,22931,115,115,0,0,107,472,234,0.0102,0.5163204747774481,3,19.65,10.5,22.27
246.tiff,canine lymphosarcoma,0,5.0,20.148,tm_score,1.0,25786,115,115,-1,-1,-1,516,278,0.01078,0.08429118773946365,2,14.57,9.99,19.14
246.tiff,canine lymphosarcoma,0,5.0,20.148,chromatin_od,1.0,25786,115,115,0,0,108,516,278,0.01078,0.5835694050991501,2,14.57,9.99,19.14
246.tiff,canine lymphosarcoma,1,7.5,30.222,tm_score,1.0,16653,115,115,-1,-1,-1,311,73,0.00438,,16,14.32,8.93,26.01
246.tiff,canine lymphosarcoma,1,7.5,30.222,chromatin_od,1.0,16653,115,115,-1,-1,-1,311,73,0.00438,,16,14.32,8.93,26.01
246.tiff,canine lymphosarcoma,1,5.9,23.774,tm_score,1.0,23255,115,115,-1,-1,-1,492,254,0.01092,0.054474708171206254,13,13.04,8.85,21.49
246.tiff,canine lymphosarcoma,1,5.9,23.774,chromatin_od,1.0,23255,115,115,0,0,96,492,254,0.01092,0.4662576687116564,13,13.04,8.85,21.49
246.tiff,canine lymphosarcoma,1,5.0,20.148,tm_score,1.0,27677,115,115,-1,-1,-1,598,360,0.01301,0.07692307692307687,11,12.17,8.8,17.82
246.tiff,canine lymphosarcoma,1,5.0,20.148,chromatin_od,1.0,27677,115,115,0,0,101,598,360,0.01301,0.6033519553072626,11,12.17,8.8,17.82
246.tiff,canine lymphosarcoma,2,7.5,30.222,tm_score,1.0,16665,115,115,-1,-1,-1,298,61,0.00366,,14,23.02,11.04,29.26
246.tiff,canine lymphosarcoma,2,7.5,30.222,chromatin_od,1.0,16665,115,115,-1,-1,-1,298,61,0.00366,,14,23.02,11.04,29.26
246.tiff,canine lymphosarcoma,2,5.9,23.774,tm_score,1.0,21590,115,115,-1,-1,-1,377,139,0.00644,0.03149606299212604,8,13.89,10.91,20.61
246.tiff,canine lymphosarcoma,2,5.9,23.774,chromatin_od,1.0,21590,115,115,0,0,101,377,139,0.00644,0.28767123287671237,8,13.89,10.91,20.61
246.tiff,canine lymphosarcoma,2,5.0,20.148,tm_score,1.0,24113,115,115,-1,-1,-1,414,176,0.0073,0.039215686274509776,9,13.04,10.93,18.68
246.tiff,canine lymphosarcoma,2,5.0,20.148,chromatin_od,1.0,24113,115,115,0,0,113,414,176,0.0073,0.37133550488599354,9,13.04,10.93,18.68
246.tiff,canine lymphosarcoma,3,7.5,30.222,tm_score,1.0,17393,115,114,-1,-1,-1,294,59,0.00339,,9,23.85,12.79,29.25
246.tiff,canine lymphosarcoma,3,7.5,30.222,chromatin_od,1.0,17393,115,114,-1,-1,-1,294,59,0.00339,,9,23.85,12.79,29.25
246.tiff,canine lymphosarcoma,3,5.9,23.774,tm_score,1.0,22799,115,115,-1,-1,-1,400,162,0.00711,0.0,4,15.27,12.53,21.29
246.tiff,canine lymphosarcoma,3,5.9,23.774,chromatin_od,1.0,22799,115,115,1,0,110,400,162,0.00711,0.33333333333333337,4,15.27,12.53,21.29
246.tiff,canine lymphosarcoma,3,5.0,20.148,tm_score,1.0,24755,115,115,-1,-1,-1,426,188,0.00759,0.0,4,15.27,12.53,18.81
246.tiff,canine lymphosarcoma,3,5.0,20.148,chromatin_od,1.0,24755,115,115,1,0,110,426,188,0.00759,0.402555910543131,4,15.27,12.53,18.81
246.tiff,canine lymphosarcoma,4,7.5,30.222,tm_score,1.0,16898,115,115,-1,-1,-1,320,82,0.00485,,13,24.84,12.16,29.18
246.tiff,canine lymphosarcoma,4,7.5,30.222,chromatin_od,1.0,16898,115,115,-1,-1,-1,320,82,0.00485,,13,24.84,12.16,29.18
246.tiff,canine lymphosarcoma,4,5.9,23.774,tm_score,1.0,24199,115,115,-1,-1,-1,488,250,0.01033,0.06201550387596899,6,12.84,12.11,19.56
246.tiff,canine lymphosarcoma,4,5.9,23.774,chromatin_od,1.0,24199,115,115,0,0,101,488,250,0.01033,0.4662576687116564,6,12.84,12.11,19.56
