figure,key,notebook,audit,agrees
fig2_domain_bars,canine soft tissue sarcoma/tm_score/K20,-0.075,-0.075,True
fig2_domain_bars,canine soft tissue sarcoma/tm_score/K30,-0.0834,-0.0834,True
fig2_domain_bars,canine soft tissue sarcoma/tm_score/K50,-0.05,-0.05,True
fig2_domain_bars,human breast cancer/chromatin_od/K10,0.0,0.0,True
fig2_domain_bars,human breast cancer/chromatin_od/K20,-0.025,-0.025,True
fig2_domain_bars,human breast cancer/chromatin_od/K30,-0.0333,-0.0333,True
fig2_domain_bars,human breast cancer/chromatin_od/K50,0.0,0.0,True
fig2_domain_bars,human breast cancer/tm_score/K10,0.2,0.2,True
fig2_domain_bars,human breast cancer/tm_score/K20,0.025,0.025,True
fig2_domain_bars,human breast cancer/tm_score/K30,0.0,0.0,True
fig2_domain_bars,human breast cancer/tm_score/K50,0.0,0.0,True
fig2_domain_bars,human melanoma/chromatin_od/K10,0.0,0.0,True
fig2_domain_bars,human melanoma/chromatin_od/K20,0.0,0.0,True
fig2_domain_bars,human melanoma/chromatin_od/K30,0.0,0.0,True
fig2_domain_bars,human melanoma/chromatin_od/K50,0.0,0.0,True
fig2_domain_bars,human melanoma/tm_score/K10,-0.1,-0.1,True
fig2_domain_bars,human melanoma/tm_score/K20,-0.025,-0.025,True
fig2_domain_bars,human melanoma/tm_score/K30,0.0,0.0,True
fig2_domain_bars,human melanoma/tm_score/K50,0.02,0.02,True
fig2_domain_bars,human neuroendocrine tumor/chromatin_od/K10,-0.05,-0.05,True
fig2_domain_bars,human neuroendocrine tumor/chromatin_od/K20,-0.05,-0.05,True
fig2_domain_bars,human neuroendocrine tumor/chromatin_od/K30,-0.0167,-0.0167,True
fig2_domain_bars,human neuroendocrine tumor/chromatin_od/K50,0.0,0.0,True
fig2_domain_bars,human neuroendocrine tumor/tm_score/K10,-0.1,-0.1,True
fig2_domain_bars,human neuroendocrine tumor/tm_score/K20,-0.1,-0.1,True
fig2_domain_bars,human neuroendocrine tumor/tm_score/K30,-0.0834,-0.0834,True
fig2_domain_bars,human neuroendocrine tumor/tm_score/K50,-0.05,-0.05,True
