file_name,seed_index,condition,my_mpp,nb_mpp,my_radius,nb_radius,my_tp_10,my_tp_20,my_tp_30,nb_tp_10,nb_tp_20,nb_tp_30,my_contested_10,my_contested_20,my_contested_30,my_n_gt_mitotic,nb_n_gt_mitotic,my_nearest_other,nb_nearest_other,seed_is_mitotic,seed_is_unanimous,seed_click_matches,seed_border_ok,tpl_patch_readable,my_offset,nb_offset,od_descending,od_nan,base_odd,base_le_51
128.tiff,1,default_51,0.2533008895448562,0.2533008895448562,29.609055118110238,29.609055118110238,8,12,12,8,12,12,0,1,1,29,29,358.28,358.28,True,True,True,True,True,0.0,0.0,True,0,True,True
128.tiff,1,gray_bbox,0.2533008895448562,0.2533008895448562,29.609055118110238,29.609055118110238,8,11,11,8,11,11,0,1,1,29,29,358.28,358.28,True,True,True,True,True,2.915,2.915,True,0,True,True
128.tiff,1,hem_bbox,0.2533008895448562,0.2533008895448562,29.609055118110238,29.609055118110238,6,8,8,6,8,8,0,0,0,29,29,358.28,358.28,True,True,True,True,True,4.924,4.924,True,0,True,True
128.tiff,2,default_51,0.2533008895448562,0.2533008895448562,29.609055118110238,29.609055118110238,7,12,12,7,12,12,0,1,1,29,29,195.62,195.62,True,True,True,True,True,0.0,0.0,True,0,True,True
128.tiff,2,gray_bbox,0.2533008895448562,0.2533008895448562,29.609055118110238,29.609055118110238,7,10,10,7,10,10,0,1,1,29,29,195.62,195.62,True,True,True,True,True,6.103,6.103,True,0,True,True
128.tiff,2,hem_bbox,0.2533008895448562,0.2533008895448562,29.609055118110238,29.609055118110238,7,8,8,7,8,8,1,1,1,29,29,195.62,195.62,True,True,True,True,True,3.905,3.905,True,0,True,True
201.tiff,0,default_51,0.24816562612969095,0.24816562612969095,30.221751968503938,30.221751968503938,4,8,9,4,8,9,3,5,5,17,17,526.11,526.11,True,True,True,True,True,0.0,0.0,True,0,True,True
201.tiff,0,gray_bbox,0.24816562612969095,0.24816562612969095,30.221751968503938,30.221751968503938,4,8,9,4,8,9,3,5,5,17,17,526.11,526.11,True,True,True,True,True,0.5,0.5,True,0,True,True
201.tiff,0,hem_bbox,0.24816562612969095,0.24816562612969095,30.221751968503938,30.221751968503938,4,6,7,4,6,7,2,3,4,17,17,526.11,526.11,True,True,True,True,True,5.0,5.0,True,0,True,True
201.tiff,1,default_51,0.24816562612969095,0.24816562612969095,30.221751968503938,30.221751968503938,4,8,10,4,8,10,3,6,6,17,17,176.98,176.98,True,True,True,True,True,0.0,0.0,True,0,True,True
