check,label,n,n_items,passed,note,max_abs_diff,n_seeds,n_distinct_ann,pool_size,n_distinct_streams,n_dropped,atol,caps,min_distance,radius,n_direct,n_filtered,used_radius,expected_radius,mpp,n_cells,n_rois,max_abs_recall_diff,max_abs_ndet_diff
nms_radius,013.tiff/tm_score@pad_on_dropband,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/chromatin_od@pad_on_dropband,,6715.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/chromatin_od@pad_on_dropband,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/tm_score@pad_on_dropband,,6092.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/tm_score@pad_on_dropband,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/chromatin_od@pad_on_dropband,,6092.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/chromatin_od@pad_on_dropband,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/tm_score@pad_on,,14240.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/tm_score@pad_on,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/chromatin_od@pad_on,,14240.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/chromatin_od@pad_on,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/tm_score@pad_on,,11187.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/tm_score@pad_on,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/chromatin_od@pad_on,,11187.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/chromatin_od@pad_on,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/tm_score@pad_on,,8878.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/tm_score@pad_on,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/chromatin_od@pad_on,,8878.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/chromatin_od@pad_on,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/tm_score@pad_on,,7612.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/tm_score@pad_on,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/chromatin_od@pad_on,,7612.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/chromatin_od@pad_on,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/tm_score@pad_on,,6861.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/tm_score@pad_on,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/chromatin_od@pad_on,,6861.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/chromatin_od@pad_on,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/tm_score@pad_on,,6218.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/tm_score@pad_on,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/chromatin_od@pad_on,,6218.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/chromatin_od@pad_on,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
gt_within_seed_hole,013.tiff/si2,,0.0,True,,,,,,,,,,,,,,,,,,,,
valid_geometry,013.tiff/si2/pad_off,38418730.0,38418730.0,True,,,,,,,,,,,,,,,,,,,,
valid_geometry,013.tiff/si2/pad_on,39047580.0,39047580.0,True,,,,,,,,,,,,,,,,,,,,
dropband_subset,013.tiff/si2,16357.0,15930.0,True,,,,,,,427.0,,,,,,,,,,,,,
od_nan,013.tiff/si2/pad_off,,0.0,True,,,,,,,,,,,,,,,,,,,,
no_cap,013.tiff/si2/pad_off/deep_pool,,31954.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
min_separation,013.tiff/si2/pad_off,16088.0,,True,,,,,,,,,,33.24154027718932,33.13877952755905,,,,,,,,,
od_nan,013.tiff/si2/pad_on_dropband,,0.0,True,,,,,,,,,,,,,,,,,,,,
no_cap,013.tiff/si2/pad_on_dropband/deep_pool,,32484.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
min_separation,013.tiff/si2/pad_on_dropband,15931.0,,True,,,,,,,,,,33.24154027718932,33.13877952755905,,,,,,,,,
od_nan,013.tiff/si2/pad_on,,0.0,True,,,,,,,,,,,,,,,,,,,,
no_cap,013.tiff/si2/pad_on/deep_pool,,32484.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
min_separation,013.tiff/si2/pad_on,16358.0,,True,,,,,,,,,,33.24154027718932,33.13877952755905,,,,,,,,,
no_cap,013.tiff/tm_score@pad_off,,13844.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/tm_score@pad_off,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/chromatin_od@pad_off,,13844.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/chromatin_od@pad_off,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/tm_score@pad_off,,11024.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/tm_score@pad_off,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/chromatin_od@pad_off,,11024.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/chromatin_od@pad_off,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/tm_score@pad_off,,9161.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/tm_score@pad_off,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/chromatin_od@pad_off,,9161.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/chromatin_od@pad_off,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/tm_score@pad_off,,7938.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/tm_score@pad_off,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/chromatin_od@pad_off,,7938.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/chromatin_od@pad_off,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/tm_score@pad_off,,7025.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/tm_score@pad_off,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/chromatin_od@pad_off,,7025.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/chromatin_od@pad_off,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/tm_score@pad_off,,6203.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/tm_score@pad_off,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
no_cap,013.tiff/chromatin_od@pad_off,,6203.0,True,,,,,,,,,"(2000000,)",,,,,,,,,,,
nms_radius,013.tiff/chromatin_od@pad_off,,,True,,,,,,,,,,,,,,33.13877952755905,33.13877952755905,0.22632094805310524,,,,
