subset,domain,file_name,condition,rank_key,n_clicks,tp_at_10,tp_at_20,tp_at_30,precision_at_10,precision_at_20,precision_at_30
testing_35,canine lung cancer,242.tiff,fill_alpha_0,chromatin_od,3,2,3,3,0.06666666666666667,0.05,0.03333333333333333
testing_35,canine lung cancer,242.tiff,fill_alpha_0,tm_score,3,1,2,4,0.03333333333333333,0.03333333333333333,0.044444444444444446
testing_35,canine lung cancer,242.tiff,mass_only,chromatin_od,3,1,2,2,0.03333333333333333,0.03333333333333333,0.022222222222222223
testing_35,canine lung cancer,242.tiff,mass_only,tm_score,3,1,2,2,0.03333333333333333,0.03333333333333333,0.022222222222222223
testing_35,canine lung cancer,242.tiff,fill_alpha_1,chromatin_od,3,1,3,3,0.03333333333333333,0.05,0.03333333333333333
testing_35,canine lung cancer,242.tiff,fill_alpha_1,tm_score,3,1,2,2,0.03333333333333333,0.03333333333333333,0.022222222222222223
original_14,canine lymphosarcoma,245.tiff,default_51,chromatin_od,3,2,5,9,0.06666666666666667,0.08333333333333333,0.1
original_14,canine lymphosarcoma,245.tiff,default_51,tm_score,3,1,3,4,0.03333333333333333,0.05,0.044444444444444446
original_14,canine lymphosarcoma,245.tiff,fill_alpha_0,chromatin_od,3,4,9,12,0.13333333333333333,0.15,0.13333333333333333
original_14,canine lymphosarcoma,245.tiff,fill_alpha_0,tm_score,3,4,8,12,0.13333333333333333,0.13333333333333333,0.13333333333333333
original_14,canine lymphosarcoma,245.tiff,mass_only,chromatin_od,3,3,5,7,0.1,0.08333333333333333,0.07777777777777778
original_14,canine lymphosarcoma,245.tiff,mass_only,tm_score,3,1,5,5,0.03333333333333333,0.08333333333333333,0.05555555555555555
original_14,canine lymphosarcoma,245.tiff,fill_alpha_1,chromatin_od,3,4,8,13,0.13333333333333333,0.13333333333333333,0.14444444444444443
original_14,canine lymphosarcoma,245.tiff,fill_alpha_1,tm_score,3,3,11,17,0.1,0.18333333333333332,0.18888888888888888
original_14,canine lymphosarcoma,246.tiff,default_51,chromatin_od,3,30,55,76,1.0,0.9166666666666666,0.8444444444444444
original_14,canine lymphosarcoma,246.tiff,default_51,tm_score,3,27,52,69,0.9,0.8666666666666667,0.7666666666666667
original_14,canine lymphosarcoma,246.tiff,fill_alpha_0,chromatin_od,3,28,46,59,0.9333333333333333,0.7666666666666667,0.6555555555555556
