roi,domain,prov,seed,z,rank_key,pool,ceiling,read_50,read_95,recall_at_250
202.tiff,canine lung cancer,lookalike,0,4.0,score,1483,0.9333,22.0,,0.9333333333333333
202.tiff,canine lung cancer,lookalike,0,4.0,od,1483,0.9333,13.0,,0.9333333333333333
245.tiff,canine lymphosarcoma,mitotic,0,0.5,score,18882,1.0,1833.0,11644.0,0.0898876404494382
245.tiff,canine lymphosarcoma,mitotic,0,0.5,od,18882,1.0,494.0,9808.0,0.3146067415730337
245.tiff,canine lymphosarcoma,mitotic,0,1.0,score,18305,1.0,1833.0,11644.0,0.0898876404494382
245.tiff,canine lymphosarcoma,mitotic,0,1.0,od,18305,1.0,494.0,9719.0,0.3146067415730337
245.tiff,canine lymphosarcoma,mitotic,0,1.5,score,16856,1.0,1833.0,11644.0,0.0898876404494382
245.tiff,canine lymphosarcoma,mitotic,0,1.5,od,16856,1.0,508.0,9417.0,0.3146067415730337
245.tiff,canine lymphosarcoma,mitotic,0,2.0,score,14109,0.9888,1833.0,11644.0,0.0898876404494382
245.tiff,canine lymphosarcoma,mitotic,0,2.0,od,14109,0.9888,500.0,8808.0,0.3146067415730337
245.tiff,canine lymphosarcoma,mitotic,0,2.5,score,10449,0.9326,1833.0,,0.0898876404494382
245.tiff,canine lymphosarcoma,mitotic,0,2.5,od,10449,0.9326,508.0,,0.3146067415730337
245.tiff,canine lymphosarcoma,mitotic,0,3.0,score,6760,0.8202,1833.0,,0.0898876404494382
245.tiff,canine lymphosarcoma,mitotic,0,3.0,od,6760,0.8202,503.0,,0.3258426966292135
245.tiff,canine lymphosarcoma,mitotic,0,4.0,score,1821,0.4831,,,0.0898876404494382
245.tiff,canine lymphosarcoma,mitotic,0,4.0,od,1821,0.4831,,,0.30337078651685395
245.tiff,canine lymphosarcoma,mitotic,1,0.5,score,17705,0.9888,2128.0,12331.0,0.0898876404494382
245.tiff,canine lymphosarcoma,mitotic,1,0.5,od,17705,0.9888,635.0,6846.0,0.29213483146067415
245.tiff,canine lymphosarcoma,mitotic,1,1.0,score,17266,0.9888,2128.0,12331.0,0.0898876404494382
245.tiff,canine lymphosarcoma,mitotic,1,1.0,od,17266,0.9888,635.0,6802.0,0.29213483146067415
245.tiff,canine lymphosarcoma,mitotic,1,1.5,score,15759,0.9888,2128.0,12331.0,0.0898876404494382
245.tiff,canine lymphosarcoma,mitotic,1,1.5,od,15759,0.9888,633.0,6645.0,0.29213483146067415
245.tiff,canine lymphosarcoma,mitotic,1,2.0,score,12799,0.9551,2128.0,12331.0,0.0898876404494382
245.tiff,canine lymphosarcoma,mitotic,1,2.0,od,12799,0.9551,620.0,10486.0,0.29213483146067415
245.tiff,canine lymphosarcoma,mitotic,1,2.5,score,8920,0.9326,2128.0,,0.0898876404494382
245.tiff,canine lymphosarcoma,mitotic,1,2.5,od,8920,0.9326,573.0,,0.29213483146067415
