analysis,subset,pair,K,n_units,delta_pts,wins,losses,ties,test,p,min_attainable_p,main_delta_pts,main_exact_p,main_holm_p,level_a,level_b,human_delta_pts,canine_delta_pts,holm_p
domain_as_unit,all_49,gray_bbox - default_51,20,7,-2.3469387755102042,1.0,5.0,1.0,exact_convolution,0.09375,0.03125,-2.3469387755102042,0.0024951234572654357,0.009980493829061743,,,,,0.375
species_split,all_49,gray_bbox - default_51,20,7,-4.087301587301588,,,,domain_label_permutation_35,0.05714285714285714,0.02857142857142857,-2.3469387755102042,0.0024951234572654357,0.009980493829061743,,,-4.682539682539683,-0.5952380952380952,
domain_as_unit,all_49,gray_bbox - default_51,30,7,-1.9501133786848073,1.0,5.0,1.0,exact_convolution,0.0625,0.03125,-1.9501133786848073,0.0013677925162483007,0.006838962581241503,,,,,0.3125
species_split,all_49,gray_bbox - default_51,30,7,-3.716931216931217,,,,domain_label_permutation_35,0.02857142857142857,0.02857142857142857,-1.9501133786848073,0.0013677925162483007,0.006838962581241503,,,-4.074074074074074,-0.35714285714285715,
domain_as_unit,all_49,hem_bbox - default_51,10,7,-2.993197278911565,2.0,5.0,0.0,exact_convolution,0.140625,0.015625,-2.9931972789115644,0.05212451936677098,0.10424903873354197,,,,,0.421875
species_split,all_49,hem_bbox - default_51,10,7,-3.9285714285714284,,,,domain_label_permutation_35,0.3142857142857143,0.02857142857142857,-2.9931972789115644,0.05212451936677098,0.10424903873354197,,,-5.238095238095238,-1.3095238095238095,
domain_as_unit,all_49,hem_bbox - default_51,20,7,-5.64625850340136,1.0,6.0,0.0,exact_convolution,0.03125,0.015625,-5.646258503401361,5.506071431682358e-06,3.8542500021776505e-05,,,,,0.21875
species_split,all_49,hem_bbox - default_51,20,7,-2.341269841269841,,,,domain_label_permutation_35,0.5142857142857142,0.02857142857142857,-5.646258503401361,5.506071431682358e-06,3.8542500021776505e-05,,,-6.984126984126984,-4.642857142857143,
domain_as_unit,all_49,hem_bbox - default_51,30,7,-5.328798185941043,0.0,7.0,0.0,exact_convolution,0.015625,0.015625,-5.328798185941043,4.965095286024734e-07,4.468585757422261e-06,,,,,0.140625
species_split,all_49,hem_bbox - default_51,30,7,-1.507936507936507,,,,domain_label_permutation_35,0.5428571428571428,0.02857142857142857,-5.328798185941043,4.965095286024734e-07,4.468585757422261e-06,,,-6.190476190476191,-4.682539682539683,
domain_as_unit,all_49,hem_bbox - gray_bbox,10,7,-2.17687074829932,2.0,4.0,1.0,exact_convolution,0.1875,0.03125,-2.1768707482993195,0.03398502245545387,0.10195506736636162,,,,,0.421875
species_split,all_49,hem_bbox - gray_bbox,10,7,1.0317460317460319,,,,domain_label_permutation_35,0.7428571428571429,0.02857142857142857,-2.1768707482993195,0.03398502245545387,0.10195506736636162,,,-1.5873015873015872,-2.619047619047619,
domain_as_unit,all_49,hem_bbox - gray_bbox,20,7,-3.2993197278911564,1.0,6.0,0.0,exact_convolution,0.046875,0.015625,-3.2993197278911564,5.137519838172011e-05,0.00030825119029032066,,,,,0.28125
species_split,all_49,hem_bbox - gray_bbox,20,7,1.7460317460317456,,,,domain_label_permutation_35,0.4857142857142857,0.02857142857142857,-3.2993197278911564,5.137519838172011e-05,0.00030825119029032066,,,-2.3015873015873014,-4.0476190476190474,
domain_as_unit,all_49,hem_bbox - gray_bbox,30,7,-3.378684807256236,0.0,7.0,0.0,exact_convolution,0.015625,0.015625,-3.378684807256236,2.1723462850786746e-06,1.7378770280629396e-05,,,,,0.140625
species_split,all_49,hem_bbox - gray_bbox,30,7,2.2089947089947097,,,,domain_label_permutation_35,0.4,0.02857142857142857,-3.378684807256236,2.1723462850786746e-06,1.7378770280629396e-05,,,-2.1164021164021163,-4.325396825396825,
