file_name,seed_index,tumor_type,z,recall,mitoses_lost,n_kept,coverage_frac,cut_vs_z1_pct
013.tiff,1,human breast cancer,12.4,1.0,0,414,0.03547017771062667,97.49440174302487
013.tiff,1,human breast cancer,12.5,1.0,0,399,0.03418166120518808,97.58518428856745
013.tiff,1,human breast cancer,12.6,1.0,0,383,0.03278195292009235,97.68201900381287
013.tiff,1,human breast cancer,12.7,1.0,0,372,0.03189241868283526,97.74859287054409
013.tiff,1,human breast cancer,12.8,1.0,0,362,0.031042128603104215,97.80911456757248
013.tiff,1,human breast cancer,12.9,0.9411764705882353,1,351,0.030132972287084094,97.8756884343037
013.tiff,1,human breast cancer,13.0,0.9411764705882353,1,344,0.0295704726958774,97.91805362222357
013.tiff,1,human breast cancer,13.1,0.9411764705882353,1,329,0.028242712032912766,98.00883616776615
013.tiff,1,human breast cancer,13.2,0.9411764705882353,1,317,0.027202741858472487,98.08146220420021
013.tiff,1,human breast cancer,13.3,0.9411764705882353,1,307,0.02638515524334648,98.14198390122858
013.tiff,1,human breast cancer,13.4,0.9411764705882353,1,298,0.025632975557430555,98.19645342855414
013.tiff,1,human breast cancer,13.5,0.9411764705882353,1,289,0.024854633099830596,98.25092295587969
013.tiff,1,human breast cancer,13.6,0.9411764705882353,1,279,0.023991261634257532,98.31144465290807
013.tiff,1,human breast cancer,13.7,0.9411764705882353,1,267,0.022951291459817252,98.38407068934212
013.tiff,1,human breast cancer,13.8,0.9411764705882353,1,257,0.022114082765928224,98.44459238637052
013.tiff,1,human breast cancer,13.9,0.9411764705882353,1,247,0.02138806585169633,98.50511408339891
013.tiff,1,human breast cancer,14.0,0.9411764705882353,1,238,0.02064242685870141,98.55958361072445
013.tiff,1,human breast cancer,14.1,0.9411764705882353,1,227,0.019667863613471212,98.62615747745566
013.tiff,1,human breast cancer,14.2,0.9411764705882353,1,223,0.019314666195736775,98.65036615626703
013.tiff,1,human breast cancer,14.3,0.9411764705882353,1,214,0.01852978304521581,98.70483568359258
013.tiff,1,human breast cancer,14.4,0.9411764705882353,1,210,0.018183126320402383,98.72904436240391
013.tiff,1,human breast cancer,14.5,0.9411764705882353,1,196,0.01695347605125287,98.81377473824367
013.tiff,1,human breast cancer,14.6,0.8823529411764706,2,178,0.01540987252189497,98.92271379289475
013.tiff,1,human breast cancer,14.7,0.8823529411764706,2,171,0.014834291544846261,98.96507898081462
013.tiff,1,human breast cancer,14.8,0.8823529411764706,2,164,0.014212925717350496,99.0074441687345
013.tiff,1,human breast cancer,14.9,0.8823529411764706,2,157,0.01359810058277574,99.04980935665436
013.tiff,1,human breast cancer,15.0,0.8823529411764706,2,149,0.012885165054385861,99.09822671427708
013.tiff,1,human breast cancer,15.1,0.8235294117647058,3,142,0.012296502691495136,99.14059190219695
013.tiff,1,human breast cancer,15.2,0.8235294117647058,3,138,0.011936764580839695,99.1648005810083
013.tiff,1,human breast cancer,15.3,0.8235294117647058,3,133,0.01151161954097417,99.19506142952248
013.tiff,1,human breast cancer,15.4,0.8235294117647058,3,123,0.010667870154164132,99.25558312655087
013.tiff,1,human breast cancer,15.5,0.8235294117647058,3,120,0.01040624243732381,99.27373963565938
013.tiff,1,human breast cancer,15.6,0.8235294117647058,3,119,0.010314672736429697,99.27979180536222
