scope,group,pair,K,G,pooled_delta,wins,losses,ties,n_nonzero,exact_p,min_attainable_p,holm_p,nb_holm_p,nb_boot_ci_low,nb_boot_ci_high,boot_share_ge_0,boot_share_le_0,nb_boot_excludes_0,majority_of_all_rois,nb_d5_bar_met,t_ci_low,t_ci_high,t_excludes_0,n_same,majority_all,majority_nonzero,n_structural_zero_rois,majority_excl_structural_zero,d5_bar_under_t,repro_ci_low,repro_ci_high,repro_share_ge_0,repro_share_le_0,share_of_200_seeds_ci_excludes_0,d5_bar_seed_fragile
domain,human breast cancer,gray_bbox - default_51,30,7,-0.05238095238095238,1,5,1,6,0.0625,0.03125,,,,,,,,,,-0.11042458022742425,0.005662675465519485,False,5,True,True,0,True,,,,,,,
domain,human breast cancer,hem_bbox - default_51,10,7,-0.014285714285714285,1,3,3,4,0.625,0.125,,,,,,,,,,-0.060893559069427984,0.03232213049799941,False,3,False,True,0,False,,,,,,,
domain,human breast cancer,hem_bbox - default_51,20,7,-0.08333333333333333,1,6,0,7,0.046875,0.015625,,,,,,,,,,-0.15671910798950492,-0.009947558677161749,True,6,True,True,0,True,,,,,,,
domain,human breast cancer,hem_bbox - default_51,30,7,-0.06825396825396825,1,4,2,5,0.125,0.0625,,,,,,,,,,-0.14502209678296094,0.008514160275024413,False,4,True,True,0,True,,,,,,,
domain,human breast cancer,hem_bbox - gray_bbox,10,7,0.0,2,2,3,4,1.0,0.125,,,,,,,,,,-0.03979902423385009,0.03979902423385009,False,0,False,False,0,False,,,,,,,
domain,human breast cancer,hem_bbox - gray_bbox,20,7,-0.02857142857142857,1,4,2,5,0.25,0.0625,,,,,,,,,,-0.0745683970820778,0.01742553993922065,False,4,True,True,0,True,,,,,,,
domain,human breast cancer,hem_bbox - gray_bbox,30,7,-0.015873015873015872,2,5,0,7,0.265625,0.015625,,,,,,,,,,-0.04423764692272641,0.01249161517669466,False,5,True,True,0,True,,,,,,,
domain,human melanoma,gray_bbox - default_51,10,7,-0.0380952380952381,0,4,3,4,0.125,0.125,,,,,,,,,,-0.0755510529132966,-0.0006394232771795849,True,4,True,True,0,True,,,,,,,
domain,human melanoma,gray_bbox - default_51,20,7,-0.047619047619047616,1,6,0,7,0.0625,0.015625,,,,,,,,,,-0.09422689240276133,-0.0010112028353339204,True,6,True,True,0,True,,,,,,,
domain,human melanoma,gray_bbox - default_51,30,7,-0.03650793650793651,0,6,1,6,0.03125,0.03125,,,,,,,,,,-0.06002664613512512,-0.012989226880747884,True,6,True,True,0,True,,,,,,,
domain,human melanoma,hem_bbox - default_51,10,7,-0.06190476190476191,0,6,1,6,0.03125,0.03125,,,,,,,,,,-0.09936057672282042,-0.0244489470867034,True,6,True,True,0,True,,,,,,,
