file_name,domain,ranker,n_pool,quantile,depth,n_found,n_gt_mitotic,ceiling,frac_of_pool
300.tiff,canine cutaneous mast cell tumor,chromatin_od51,17376,0.95,5096,181,181,1.0,0.2933
300.tiff,canine cutaneous mast cell tumor,chromatin_od51,17376,0.98,13706,181,181,1.0,0.7888
300.tiff,canine cutaneous mast cell tumor,chromatin_od51,17376,0.99,17065,181,181,1.0,0.9821
300.tiff,canine cutaneous mast cell tumor,chromatin_od51,17376,1.0,17093,181,181,1.0,0.9837
300.tiff,canine cutaneous mast cell tumor,logreg_loro,17376,0.5,123,181,181,1.0,0.0071
300.tiff,canine cutaneous mast cell tumor,logreg_loro,17376,0.9,494,181,181,1.0,0.0284
300.tiff,canine cutaneous mast cell tumor,logreg_loro,17376,0.95,674,181,181,1.0,0.0388
300.tiff,canine cutaneous mast cell tumor,logreg_loro,17376,0.98,1071,181,181,1.0,0.0616
300.tiff,canine cutaneous mast cell tumor,logreg_loro,17376,0.99,1626,181,181,1.0,0.0936
300.tiff,canine cutaneous mast cell tumor,logreg_loro,17376,1.0,2056,181,181,1.0,0.1183
300.tiff,canine cutaneous mast cell tumor,hgb_loro,17376,0.5,133,181,181,1.0,0.0077
300.tiff,canine cutaneous mast cell tumor,hgb_loro,17376,0.9,718,181,181,1.0,0.0413
