tumor_type,file_name,seed_index,budget,recall_at_k
canine soft tissue sarcoma,459.tiff,1,1000,0.8076923076923077
canine soft tissue sarcoma,459.tiff,1,2000,0.8307692307692308
canine soft tissue sarcoma,459.tiff,1,5000,0.9461538461538461
canine soft tissue sarcoma,459.tiff,2,25,0.09230769230769231
canine soft tissue sarcoma,459.tiff,2,50,0.16923076923076924
canine soft tissue sarcoma,459.tiff,2,100,0.2846153846153846
canine soft tissue sarcoma,459.tiff,2,250,0.4153846153846154
canine soft tissue sarcoma,459.tiff,2,500,0.5538461538461539
canine soft tissue sarcoma,459.tiff,2,1000,0.6615384615384615
canine soft tissue sarcoma,459.tiff,2,2000,0.7615384615384615
canine soft tissue sarcoma,459.tiff,2,5000,0.8769230769230769
canine soft tissue sarcoma,459.tiff,3,25,0.16923076923076924
canine soft tissue sarcoma,459.tiff,3,50,0.3
canine soft tissue sarcoma,459.tiff,3,100,0.43846153846153846
canine soft tissue sarcoma,459.tiff,3,250,0.5692307692307692
canine soft tissue sarcoma,459.tiff,3,500,0.6846153846153846
canine soft tissue sarcoma,459.tiff,3,1000,0.7692307692307693
canine soft tissue sarcoma,459.tiff,3,2000,0.8
canine soft tissue sarcoma,459.tiff,3,5000,0.9
canine soft tissue sarcoma,459.tiff,4,25,0.16923076923076924
canine soft tissue sarcoma,459.tiff,4,50,0.3
canine soft tissue sarcoma,459.tiff,4,100,0.46153846153846156
canine soft tissue sarcoma,459.tiff,4,250,0.6
canine soft tissue sarcoma,459.tiff,4,500,0.6615384615384615
canine soft tissue sarcoma,459.tiff,4,1000,0.7538461538461538
canine soft tissue sarcoma,459.tiff,4,2000,0.8076923076923077
canine soft tissue sarcoma,459.tiff,4,5000,0.9
canine soft tissue sarcoma,460.tiff,0,25,0.37142857142857144
canine soft tissue sarcoma,460.tiff,0,50,0.4857142857142857
canine soft tissue sarcoma,460.tiff,0,100,0.5428571428571428
canine soft tissue sarcoma,460.tiff,0,250,0.6857142857142857
canine soft tissue sarcoma,460.tiff,0,500,0.7428571428571429
canine soft tissue sarcoma,460.tiff,0,1000,0.8285714285714286
canine soft tissue sarcoma,460.tiff,0,2000,0.8285714285714286
canine soft tissue sarcoma,460.tiff,0,5000,0.9428571428571428
canine soft tissue sarcoma,460.tiff,1,25,0.17142857142857143
canine soft tissue sarcoma,460.tiff,1,50,0.2857142857142857
canine soft tissue sarcoma,460.tiff,1,100,0.5142857142857142
canine soft tissue sarcoma,460.tiff,1,250,0.6285714285714286
canine soft tissue sarcoma,460.tiff,1,500,0.7428571428571429
canine soft tissue sarcoma,460.tiff,1,1000,0.8285714285714286
canine soft tissue sarcoma,460.tiff,1,2000,0.9142857142857143
canine soft tissue sarcoma,460.tiff,1,5000,0.9428571428571428
canine soft tissue sarcoma,460.tiff,2,25,0.5142857142857142
canine soft tissue sarcoma,460.tiff,2,50,0.5714285714285714
canine soft tissue sarcoma,460.tiff,2,100,0.6285714285714286
canine soft tissue sarcoma,460.tiff,2,250,0.7428571428571429
canine soft tissue sarcoma,460.tiff,2,500,0.7714285714285715
canine soft tissue sarcoma,460.tiff,2,1000,0.7714285714285715
canine soft tissue sarcoma,460.tiff,2,2000,0.8571428571428571
canine soft tissue sarcoma,460.tiff,2,5000,0.9714285714285714
canine soft tissue sarcoma,460.tiff,3,25,0.37142857142857144
canine soft tissue sarcoma,460.tiff,3,50,0.42857142857142855
canine soft tissue sarcoma,460.tiff,3,100,0.4857142857142857
canine soft tissue sarcoma,460.tiff,3,250,0.6285714285714286
canine soft tissue sarcoma,460.tiff,3,500,0.7142857142857143
