rank_key,subset,domain,file_name,pair,K,delta_tp_s0,delta_tp_s1,delta_tp_s2,delta_tp_sum
chromatin_od,testing_35,canine cutaneous mast cell tumor,322.tiff,mass_only - fill_alpha_0,20,1,0,0,1
chromatin_od,testing_35,canine cutaneous mast cell tumor,322.tiff,mass_only - fill_alpha_0,30,3,-1,1,3
chromatin_od,testing_35,canine cutaneous mast cell tumor,337.tiff,mass_only - fill_alpha_0,10,0,2,2,4
chromatin_od,testing_35,canine cutaneous mast cell tumor,337.tiff,mass_only - fill_alpha_0,20,2,4,3,9
chromatin_od,testing_35,canine cutaneous mast cell tumor,337.tiff,mass_only - fill_alpha_0,30,1,4,3,8
chromatin_od,testing_35,canine cutaneous mast cell tumor,339.tiff,mass_only - fill_alpha_0,10,2,1,2,5
chromatin_od,testing_35,canine cutaneous mast cell tumor,339.tiff,mass_only - fill_alpha_0,20,2,1,3,6
chromatin_od,testing_35,canine cutaneous mast cell tumor,339.tiff,mass_only - fill_alpha_0,30,2,2,4,8
chromatin_od,testing_35,canine cutaneous mast cell tumor,343.tiff,mass_only - fill_alpha_0,10,1,2,3,6
chromatin_od,testing_35,canine cutaneous mast cell tumor,343.tiff,mass_only - fill_alpha_0,20,1,3,4,8
chromatin_od,testing_35,canine cutaneous mast cell tumor,343.tiff,mass_only - fill_alpha_0,30,2,2,7,11
chromatin_od,testing_35,canine cutaneous mast cell tumor,344.tiff,mass_only - fill_alpha_0,10,-1,-2,0,-3
chromatin_od,testing_35,canine cutaneous mast cell tumor,344.tiff,mass_only - fill_alpha_0,20,2,5,-2,5
chromatin_od,testing_35,canine cutaneous mast cell tumor,344.tiff,mass_only - fill_alpha_0,30,6,9,2,17
chromatin_od,original_14,canine lung cancer,201.tiff,mass_only - fill_alpha_0,10,0,2,-2,0
chromatin_od,original_14,canine lung cancer,201.tiff,mass_only - fill_alpha_0,20,1,0,-3,-2
chromatin_od,original_14,canine lung cancer,201.tiff,mass_only - fill_alpha_0,30,3,2,-3,2
chromatin_od,original_14,canine lung cancer,233.tiff,mass_only - fill_alpha_0,10,2,1,2,5
chromatin_od,original_14,canine lung cancer,233.tiff,mass_only - fill_alpha_0,20,1,-2,0,-1
chromatin_od,original_14,canine lung cancer,233.tiff,mass_only - fill_alpha_0,30,0,-3,-2,-5
chromatin_od,testing_35,canine lung cancer,211.tiff,mass_only - fill_alpha_0,10,0,0,0,0
chromatin_od,testing_35,canine lung cancer,211.tiff,mass_only - fill_alpha_0,20,0,0,0,0
chromatin_od,testing_35,canine lung cancer,211.tiff,mass_only - fill_alpha_0,30,0,0,0,0
chromatin_od,testing_35,canine lung cancer,220.tiff,mass_only - fill_alpha_0,10,-1,-1,1,-1
chromatin_od,testing_35,canine lung cancer,220.tiff,mass_only - fill_alpha_0,20,-2,-3,2,-3
chromatin_od,testing_35,canine lung cancer,220.tiff,mass_only - fill_alpha_0,30,1,-6,4,-1
chromatin_od,testing_35,canine lung cancer,230.tiff,mass_only - fill_alpha_0,10,-1,0,-1,-2
chromatin_od,testing_35,canine lung cancer,230.tiff,mass_only - fill_alpha_0,20,-8,-2,-3,-13
chromatin_od,testing_35,canine lung cancer,230.tiff,mass_only - fill_alpha_0,30,-8,-1,-4,-13
chromatin_od,testing_35,canine lung cancer,235.tiff,mass_only - fill_alpha_0,10,1,0,0,1
chromatin_od,testing_35,canine lung cancer,235.tiff,mass_only - fill_alpha_0,20,1,4,2,7
chromatin_od,testing_35,canine lung cancer,235.tiff,mass_only - fill_alpha_0,30,3,5,2,10
chromatin_od,testing_35,canine lung cancer,242.tiff,mass_only - fill_alpha_0,10,0,-2,1,-1
chromatin_od,testing_35,canine lung cancer,242.tiff,mass_only - fill_alpha_0,20,1,-2,0,-1
chromatin_od,testing_35,canine lung cancer,242.tiff,mass_only - fill_alpha_0,30,1,-2,0,-1
chromatin_od,original_14,canine lymphosarcoma,245.tiff,mass_only - fill_alpha_0,10,-1,-2,2,-1
chromatin_od,original_14,canine lymphosarcoma,245.tiff,mass_only - fill_alpha_0,20,-2,-4,2,-4
chromatin_od,original_14,canine lymphosarcoma,245.tiff,mass_only - fill_alpha_0,30,-3,-5,3,-5
chromatin_od,original_14,canine lymphosarcoma,246.tiff,mass_only - fill_alpha_0,10,0,2,0,2
chromatin_od,original_14,canine lymphosarcoma,246.tiff,mass_only - fill_alpha_0,20,-2,6,2,6
chromatin_od,original_14,canine lymphosarcoma,246.tiff,mass_only - fill_alpha_0,30,-1,8,3,10
chromatin_od,testing_35,canine lymphosarcoma,249.tiff,mass_only - fill_alpha_0,10,1,0,2,3
chromatin_od,testing_35,canine lymphosarcoma,249.tiff,mass_only - fill_alpha_0,20,1,0,3,4
chromatin_od,testing_35,canine lymphosarcoma,249.tiff,mass_only - fill_alpha_0,30,2,0,3,5
chromatin_od,testing_35,canine lymphosarcoma,284.tiff,mass_only - fill_alpha_0,10,1,1,2,4
chromatin_od,testing_35,canine lymphosarcoma,284.tiff,mass_only - fill_alpha_0,20,4,2,0,6
chromatin_od,testing_35,canine lymphosarcoma,284.tiff,mass_only - fill_alpha_0,30,5,3,-1,7
chromatin_od,testing_35,canine lymphosarcoma,289.tiff,mass_only - fill_alpha_0,10,0,1,-2,-1
chromatin_od,testing_35,canine lymphosarcoma,289.tiff,mass_only - fill_alpha_0,20,0,1,-3,-2
chromatin_od,testing_35,canine lymphosarcoma,289.tiff,mass_only - fill_alpha_0,30,0,-2,-2,-4
chromatin_od,testing_35,canine lymphosarcoma,291.tiff,mass_only - fill_alpha_0,10,-2,0,-1,-3
chromatin_od,testing_35,canine lymphosarcoma,291.tiff,mass_only - fill_alpha_0,20,3,4,2,9
