file_name,tumor_type,image_id,seed_ann_id,base_size,map_median,mad_scale,mpp,arm,rank_key,seeded,z,z_dependent,floor_limited,n_gt_mitotic,n_gt_lookalike,n_detections,coverage_frac,n_lookalike_in_list,largest_tie_block,nan_rate,full_list_recall,match_radius_px,read_50,read_80,read_90,read_95,read_99,read_100,budget,budget_delivered,tp_at_budget,lookalike_at_budget,recall_at_budget,z_at_rank,precision_at_budget
246.tiff,canine lymphosarcoma,246,6548,41,0.15588,0.14413,0.24816562612969095,tm_score_deep_floor,score,True,-1.5,True,False,115,123,18114,0.9644,123,2,0.0,1.0,30.222,91.0,334.0,492.0,773.0,1097.0,1223.0,10,10,10,0,0.08695652173913043,12.212436505817482,1.0
246.tiff,canine lymphosarcoma,246,6548,41,0.15588,0.14413,0.24816562612969095,tm_score_deep_floor,score,True,-1.5,True,False,115,123,18114,0.9644,123,2,0.0,1.0,30.222,91.0,334.0,492.0,773.0,1097.0,1223.0,20,20,19,1,0.16521739130434782,11.00645057284248,0.95
246.tiff,canine lymphosarcoma,246,6548,41,0.15588,0.14413,0.24816562612969095,tm_score_deep_floor,score,True,-1.5,True,False,115,123,18114,0.9644,123,2,0.0,1.0,30.222,91.0,334.0,492.0,773.0,1097.0,1223.0,30,30,29,1,0.25217391304347825,10.087554206371617,0.9666666666666667
246.tiff,canine lymphosarcoma,246,6548,41,0.15588,0.14413,0.24816562612969095,tm_score_deep_floor,score,True,-1.5,True,False,115,123,18114,0.9644,123,2,0.0,1.0,30.222,91.0,334.0,492.0,773.0,1097.0,1223.0,50,50,43,2,0.3739130434782609,9.071064491806855,0.86
300.tiff,canine cutaneous mast cell tumor,300,14581,45,0.21633,0.40546,0.2533008895448562,tm_score_deep_floor,score,True,-1.5,True,False,180,85,17776,0.9655,85,2,0.0,1.0,29.609,225.0,1559.0,2927.0,4069.0,9108.0,11004.0,10,10,8,1,0.044444444444444446,7.781872308469209,0.8
300.tiff,canine cutaneous mast cell tumor,300,14581,45,0.21633,0.40546,0.2533008895448562,tm_score_deep_floor,score,True,-1.5,True,False,180,85,17776,0.9655,85,2,0.0,1.0,29.609,225.0,1559.0,2927.0,4069.0,9108.0,11004.0,20,20,14,3,0.07777777777777778,7.116665089314511,0.7
300.tiff,canine cutaneous mast cell tumor,300,14581,45,0.21633,0.40546,0.2533008895448562,tm_score_deep_floor,score,True,-1.5,True,False,180,85,17776,0.9655,85,2,0.0,1.0,29.609,225.0,1559.0,2927.0,4069.0,9108.0,11004.0,30,30,23,3,0.12777777777777777,6.866435746261307,0.7666666666666667
300.tiff,canine cutaneous mast cell tumor,300,14581,45,0.21633,0.40546,0.2533008895448562,tm_score_deep_floor,score,True,-1.5,True,False,180,85,17776,0.9655,85,2,0.0,1.0,29.609,225.0,1559.0,2927.0,4069.0,9108.0,11004.0,50,50,35,5,0.19444444444444445,6.56856215202774,0.7
301.tiff,canine cutaneous mast cell tumor,301,14969,41,0.26992,0.16563,0.2533008895448562,tm_score_deep_floor,score,True,-1.5,True,False,217,109,17970,0.9631,109,2,0.0,0.9953917050691244,29.609,218.0,1856.0,4177.0,7395.0,11054.0,,10,10,5,3,0.02304147465437788,7.481152658362246,0.5
301.tiff,canine cutaneous mast cell tumor,301,14969,41,0.26992,0.16563,0.2533008895448562,tm_score_deep_floor,score,True,-1.5,True,False,217,109,17970,0.9631,109,2,0.0,0.9953917050691244,29.609,218.0,1856.0,4177.0,7395.0,11054.0,,20,20,12,5,0.055299539170506916,7.077239303239793,0.6
301.tiff,canine cutaneous mast cell tumor,301,14969,41,0.26992,0.16563,0.2533008895448562,tm_score_deep_floor,score,True,-1.5,True,False,217,109,17970,0.9631,109,2,0.0,0.9953917050691244,29.609,218.0,1856.0,4177.0,7395.0,11054.0,,30,30,21,5,0.0967741935483871,6.769695542560189,0.7
301.tiff,canine cutaneous mast cell tumor,301,14969,41,0.26992,0.16563,0.2533008895448562,tm_score_deep_floor,score,True,-1.5,True,False,217,109,17970,0.9631,109,2,0.0,0.9953917050691244,29.609,218.0,1856.0,4177.0,7395.0,11054.0,,50,50,34,8,0.15668202764976957,6.514587067476923,0.68
402.tiff,human neuroendocrine tumor,402,20254,29,0.43158,0.86963,0.22632094805310524,tm_score_deep_floor,score,True,-1.5,True,False,104,79,17324,0.9589,79,2,0.0,1.0,33.139,115.0,263.0,536.0,1036.0,1197.0,2893.0,10,10,5,2,0.04807692307692308,11.949374216029641,0.5
402.tiff,human neuroendocrine tumor,402,20254,29,0.43158,0.86963,0.22632094805310524,tm_score_deep_floor,score,True,-1.5,True,False,104,79,17324,0.9589,79,2,0.0,1.0,33.139,115.0,263.0,536.0,1036.0,1197.0,2893.0,20,20,10,4,0.09615384615384616,11.37813357802362,0.5
402.tiff,human neuroendocrine tumor,402,20254,29,0.43158,0.86963,0.22632094805310524,tm_score_deep_floor,score,True,-1.5,True,False,104,79,17324,0.9589,79,2,0.0,1.0,33.139,115.0,263.0,536.0,1036.0,1197.0,2893.0,30,30,15,5,0.14423076923076922,11.111016309820583,0.5
402.tiff,human neuroendocrine tumor,402,20254,29,0.43158,0.86963,0.22632094805310524,tm_score_deep_floor,score,True,-1.5,True,False,104,79,17324,0.9589,79,2,0.0,1.0,33.139,115.0,263.0,536.0,1036.0,1197.0,2893.0,50,50,27,7,0.25961538461538464,10.42408019933585,0.54
403.tiff,human neuroendocrine tumor,403,20356,51,0.62094,0.91166,0.22686065932495555,tm_score_deep_floor,score,True,-1.5,True,False,52,47,16406,0.9328,42,2,0.0,1.0,33.06,93.0,335.0,1394.0,2257.0,6881.0,6881.0,10,10,4,1,0.07692307692307693,16.101135227669136,0.4
403.tiff,human neuroendocrine tumor,403,20356,51,0.62094,0.91166,0.22686065932495555,tm_score_deep_floor,score,True,-1.5,True,False,52,47,16406,0.9328,42,2,0.0,1.0,33.06,93.0,335.0,1394.0,2257.0,6881.0,6881.0,20,20,8,1,0.15384615384615385,14.620415561983622,0.4
403.tiff,human neuroendocrine tumor,403,20356,51,0.62094,0.91166,0.22686065932495555,tm_score_deep_floor,score,True,-1.5,True,False,52,47,16406,0.9328,42,2,0.0,1.0,33.06,93.0,335.0,1394.0,2257.0,6881.0,6881.0,30,30,11,3,0.21153846153846154,13.844225547535043,0.36666666666666664
403.tiff,human neuroendocrine tumor,403,20356,51,0.62094,0.91166,0.22686065932495555,tm_score_deep_floor,score,True,-1.5,True,False,52,47,16406,0.9328,42,2,0.0,1.0,33.06,93.0,335.0,1394.0,2257.0,6881.0,6881.0,50,50,14,5,0.2692307692307692,12.884488428155072,0.28
459.tiff,canine soft tissue sarcoma,459,22441,33,0.32614,0.4772,0.24816562612969095,tm_score_deep_floor,score,True,-1.5,True,False,130,90,17827,0.9624,90,2,0.0,1.0,30.222,340.0,2055.0,5297.0,8356.0,13206.0,15016.0,10,10,7,3,0.05384615384615385,7.844889396787559,0.7
459.tiff,canine soft tissue sarcoma,459,22441,33,0.32614,0.4772,0.24816562612969095,tm_score_deep_floor,score,True,-1.5,True,False,130,90,17827,0.9624,90,2,0.0,1.0,30.222,340.0,2055.0,5297.0,8356.0,13206.0,15016.0,20,20,11,4,0.08461538461538462,7.424708885147796,0.55
459.tiff,canine soft tissue sarcoma,459,22441,33,0.32614,0.4772,0.24816562612969095,tm_score_deep_floor,score,True,-1.5,True,False,130,90,17827,0.9624,90,2,0.0,1.0,30.222,340.0,2055.0,5297.0,8356.0,13206.0,15016.0,30,30,15,7,0.11538461538461539,7.029088228407595,0.5
459.tiff,canine soft tissue sarcoma,459,22441,33,0.32614,0.4772,0.24816562612969095,tm_score_deep_floor,score,True,-1.5,True,False,130,90,17827,0.9624,90,2,0.0,1.0,30.222,340.0,2055.0,5297.0,8356.0,13206.0,15016.0,50,50,25,8,0.19230769230769232,6.682393928254436,0.5
460.tiff,canine soft tissue sarcoma,460,22577,47,0.60363,1.06039,0.24816562612969095,tm_score_deep_floor,score,True,-1.5,True,False,35,40,14689,0.9117,40,2,0.0,1.0,30.222,44.0,255.0,2397.0,5819.0,9876.0,9876.0,10,10,9,1,0.2571428571428571,6.815979600724834,0.9
460.tiff,canine soft tissue sarcoma,460,22577,47,0.60363,1.06039,0.24816562612969095,tm_score_deep_floor,score,True,-1.5,True,False,35,40,14689,0.9117,40,2,0.0,1.0,30.222,44.0,255.0,2397.0,5819.0,9876.0,9876.0,20,20,12,4,0.34285714285714286,6.36445576233693,0.6
460.tiff,canine soft tissue sarcoma,460,22577,47,0.60363,1.06039,0.24816562612969095,tm_score_deep_floor,score,True,-1.5,True,False,35,40,14689,0.9117,40,2,0.0,1.0,30.222,44.0,255.0,2397.0,5819.0,9876.0,9876.0,30,30,16,5,0.45714285714285713,6.109327813657666,0.5333333333333333
460.tiff,canine soft tissue sarcoma,460,22577,47,0.60363,1.06039,0.24816562612969095,tm_score_deep_floor,score,True,-1.5,True,False,35,40,14689,0.9117,40,2,0.0,1.0,30.222,44.0,255.0,2397.0,5819.0,9876.0,9876.0,50,50,18,7,0.5142857142857142,5.752301487430302,0.36
529.tiff,human melanoma,529,24918,37,0.09764,0.28979,0.2268329263261596,tm_score_deep_floor,score,True,-1.5,True,False,19,25,16333,0.9368,25,2,0.0,1.0,33.064,48.0,470.0,1425.0,2112.0,2112.0,2112.0,10,10,3,3,0.15789473684210525,12.674549591076156,0.3
529.tiff,human melanoma,529,24918,37,0.09764,0.28979,0.2268329263261596,tm_score_deep_floor,score,True,-1.5,True,False,19,25,16333,0.9368,25,2,0.0,1.0,33.064,48.0,470.0,1425.0,2112.0,2112.0,2112.0,20,20,4,3,0.21052631578947367,12.170322107625605,0.2
529.tiff,human melanoma,529,24918,37,0.09764,0.28979,0.2268329263261596,tm_score_deep_floor,score,True,-1.5,True,False,19,25,16333,0.9368,25,2,0.0,1.0,33.064,48.0,470.0,1425.0,2112.0,2112.0,2112.0,30,30,6,3,0.3157894736842105,11.890782064150414,0.2
529.tiff,human melanoma,529,24918,37,0.09764,0.28979,0.2268329263261596,tm_score_deep_floor,score,True,-1.5,True,False,19,25,16333,0.9368,25,2,0.0,1.0,33.064,48.0,470.0,1425.0,2112.0,2112.0,2112.0,50,50,10,5,0.5263157894736842,11.425120310763228,0.2
548.tiff,human melanoma,548,25804,29,0.12984,0.50258,0.22744294261267478,tm_score_deep_floor,score,True,-1.5,True,False,238,118,17632,0.9594,118,2,0.0,1.0,32.975,206.0,449.0,722.0,1255.0,3682.0,16997.0,10,10,6,2,0.025210084033613446,16.010780373348357,0.6
548.tiff,human melanoma,548,25804,29,0.12984,0.50258,0.22744294261267478,tm_score_deep_floor,score,True,-1.5,True,False,238,118,17632,0.9594,118,2,0.0,1.0,32.975,206.0,449.0,722.0,1255.0,3682.0,16997.0,20,20,12,4,0.05042016806722689,15.062339793867405,0.6
548.tiff,human melanoma,548,25804,29,0.12984,0.50258,0.22744294261267478,tm_score_deep_floor,score,True,-1.5,True,False,238,118,17632,0.9594,118,2,0.0,1.0,32.975,206.0,449.0,722.0,1255.0,3682.0,16997.0,30,30,17,8,0.07142857142857142,14.234089639619151,0.5666666666666667
548.tiff,human melanoma,548,25804,29,0.12984,0.50258,0.22744294261267478,tm_score_deep_floor,score,True,-1.5,True,False,238,118,17632,0.9594,118,2,0.0,1.0,32.975,206.0,449.0,722.0,1255.0,3682.0,16997.0,50,50,30,12,0.12605042016806722,13.335887325788677,0.6
