subset,domain,file_name,pair,K,delta_tp_s0,delta_tp_s1,delta_tp_s2,delta_tp_sum,delta_precision_sum
testing_35,human neuroendocrine tumor,401.tiff,hem_bbox - default_51,20,-2,-1,-3,-6,-0.3
testing_35,human neuroendocrine tumor,404.tiff,hem_bbox - default_51,20,-1,-1,0,-2,-0.1
original_14,canine cutaneous mast cell tumor,300.tiff,hem_bbox - default_51,30,0,-1,0,-1,-0.03333333333333333
original_14,canine cutaneous mast cell tumor,301.tiff,hem_bbox - default_51,30,0,0,7,7,0.23333333333333334
testing_35,canine cutaneous mast cell tumor,322.tiff,hem_bbox - default_51,30,-4,-3,-4,-11,-0.36666666666666664
testing_35,canine cutaneous mast cell tumor,337.tiff,hem_bbox - default_51,30,-4,-3,-4,-11,-0.36666666666666664
testing_35,canine cutaneous mast cell tumor,339.tiff,hem_bbox - default_51,30,-1,0,-3,-4,-0.13333333333333333
testing_35,canine cutaneous mast cell tumor,343.tiff,hem_bbox - default_51,30,-3,-3,-7,-13,-0.43333333333333335
testing_35,canine cutaneous mast cell tumor,344.tiff,hem_bbox - default_51,30,-7,-8,-3,-18,-0.6
original_14,canine lung cancer,201.tiff,hem_bbox - default_51,30,-2,-3,0,-5,-0.16666666666666666
original_14,canine lung cancer,233.tiff,hem_bbox - default_51,30,0,3,2,5,0.16666666666666666
testing_35,canine lung cancer,211.tiff,hem_bbox - default_51,30,0,0,0,0,0.0
testing_35,canine lung cancer,220.tiff,hem_bbox - default_51,30,2,0,-2,0,0.0
testing_35,canine lung cancer,230.tiff,hem_bbox - default_51,30,1,-1,4,4,0.13333333333333333
testing_35,canine lung cancer,235.tiff,hem_bbox - default_51,30,-3,1,-3,-5,-0.16666666666666666
testing_35,canine lung cancer,242.tiff,hem_bbox - default_51,30,-1,0,0,-1,-0.03333333333333333
original_14,canine lymphosarcoma,245.tiff,hem_bbox - default_51,30,-2,2,1,1,0.03333333333333333
original_14,canine lymphosarcoma,246.tiff,hem_bbox - default_51,30,-1,-7,-1,-9,-0.3
testing_35,canine lymphosarcoma,249.tiff,hem_bbox - default_51,30,0,0,-3,-3,-0.1
testing_35,canine lymphosarcoma,284.tiff,hem_bbox - default_51,30,-3,-2,-3,-8,-0.26666666666666666
testing_35,canine lymphosarcoma,289.tiff,hem_bbox - default_51,30,1,-2,-4,-5,-0.16666666666666666
testing_35,canine lymphosarcoma,291.tiff,hem_bbox - default_51,30,4,-6,-2,-4,-0.13333333333333333
testing_35,canine lymphosarcoma,293.tiff,hem_bbox - default_51,30,1,4,0,5,0.16666666666666666
original_14,canine soft tissue sarcoma,459.tiff,hem_bbox - default_51,30,-1,0,-8,-9,-0.3
original_14,canine soft tissue sarcoma,460.tiff,hem_bbox - default_51,30,-2,-11,-13,-26,-0.8666666666666667
testing_35,canine soft tissue sarcoma,410.tiff,hem_bbox - default_51,30,-3,-1,-2,-6,-0.2
testing_35,canine soft tissue sarcoma,425.tiff,hem_bbox - default_51,30,1,0,-1,0,0.0
testing_35,canine soft tissue sarcoma,435.tiff,hem_bbox - default_51,30,0,-2,-1,-3,-0.1
testing_35,canine soft tissue sarcoma,462.tiff,hem_bbox - default_51,30,0,0,0,0,0.0
testing_35,canine soft tissue sarcoma,499.tiff,hem_bbox - default_51,30,0,-1,3,2,0.06666666666666667
original_14,human breast cancer,013.tiff,hem_bbox - default_51,30,1,0,-1,0,0.0
original_14,human breast cancer,094.tiff,hem_bbox - default_51,30,-1,-1,2,0,0.0
testing_35,human breast cancer,007.tiff,hem_bbox - default_51,30,0,1,0,1,0.03333333333333333
testing_35,human breast cancer,072.tiff,hem_bbox - default_51,30,-11,-8,-1,-20,-0.6666666666666666
