subset,domain,file_name,image_id,seed_index,condition,seed_ann_id,click_cx,click_cy,mpp,match_radius_px,margin_px,n_gt_mitotic,tpl_sha1,n_peaks,n_detections,n_self_hits,n_near_click,near_click_detail,od_nan,od_descending,t_run_s,tp_at_10,tp_at_20,tp_at_30,n_od_bit_exact,precision_at_10,precision_at_20,precision_at_30
testing_35,canine cutaneous mast cell tumor,344.tiff,344,2,default_51,17460,2486.0,4123.0,0.2533008895448562,29.609055118110238,4,43,44e5c3f4a0cbdac0ce2bcf54b904482c38e0091c,100,98,1,0,,0,True,7.432,6,14,20,30.0,0.6,0.7,0.6666666666666666
testing_35,canine cutaneous mast cell tumor,344.tiff,344,2,hem_rect_fill,17460,2486.0,4123.0,0.2533008895448562,29.609055118110238,4,43,abf9196e1fddf483ac347bd6e17845d683908e22,100,98,1,0,,0,True,6.382,6,14,20,30.0,0.6,0.7,0.6666666666666666
testing_35,canine cutaneous mast cell tumor,344.tiff,344,2,hem_rect_fill_1um,17460,2486.0,4123.0,0.2533008895448562,29.609055118110238,4,43,7583f1b203e737dd903d09dcdb6a48e1ac95de9d,100,98,1,0,,0,True,10.476,6,14,20,,0.6,0.7,0.6666666666666666
original_14,canine lung cancer,201.tiff,201,0,default_51,4457,4097.0,1978.0,0.24816562612969095,30.221751968503938,4,17,dc31b3172070f5ffdc292ab322a31903f7836050,100,98,1,0,,0,True,7.533,4,8,9,30.0,0.4,0.4,0.3
original_14,canine lung cancer,201.tiff,201,0,hem_rect_fill,4457,4097.0,1978.0,0.24816562612969095,30.221751968503938,4,17,e1b4d97ec6fd2dbad95b97e2f9e2c95292f64f6a,100,97,1,0,,0,True,5.868,3,7,9,30.0,0.3,0.35,0.3
original_14,canine lung cancer,201.tiff,201,0,hem_rect_fill_1um,4457,4097.0,1978.0,0.24816562612969095,30.221751968503938,4,17,4d510f0a8d5ecc9588ad9b2560ae0bbfc586f0e0,100,98,1,0,,0,True,6.022,4,7,9,,0.4,0.35,0.3
original_14,canine lung cancer,201.tiff,201,1,default_51,4469,6265.0,3299.0,0.24816562612969095,30.221751968503938,4,17,b0fb00fb617ddc39a18881027a185e52b1677859,100,99,1,0,,0,True,3.861,4,8,10,30.0,0.4,0.4,0.3333333333333333
original_14,canine lung cancer,201.tiff,201,1,hem_rect_fill,4469,6265.0,3299.0,0.24816562612969095,30.221751968503938,4,17,3a97f4a7f30873a7bdb6296a5c761e15f7056926,100,98,1,0,,0,True,3.529,3,8,9,30.0,0.3,0.4,0.3
original_14,canine lung cancer,201.tiff,201,1,hem_rect_fill_1um,4469,6265.0,3299.0,0.24816562612969095,30.221751968503938,4,17,d7b0a55548277296cb4860edb201ee35ad31312a,100,98,1,0,,0,True,3.778,3,8,9,,0.3,0.4,0.3
original_14,canine lung cancer,201.tiff,201,2,default_51,4476,2859.0,4239.0,0.24816562612969095,30.221751968503938,4,17,154edfbb1045a8ec6390b1149d2826c7ec6169e6,100,99,1,0,,0,True,5.097,3,5,7,30.0,0.3,0.25,0.23333333333333334
original_14,canine lung cancer,201.tiff,201,2,hem_rect_fill,4476,2859.0,4239.0,0.24816562612969095,30.221751968503938,4,17,14fee8366a9c53cb0be24ffc842a78e1d3ec1405,100,98,1,0,,0,True,4.353,3,5,7,30.0,0.3,0.25,0.23333333333333334
original_14,canine lung cancer,201.tiff,201,2,hem_rect_fill_1um,4476,2859.0,4239.0,0.24816562612969095,30.221751968503938,4,17,ba1c57c074edca7e144eb4bdccf876e594756a22,100,98,1,0,,0,True,3.753,3,5,7,,0.3,0.25,0.23333333333333334
original_14,canine lung cancer,233.tiff,233,0,default_51,5761,4419.0,2138.0,0.24816562612969095,30.221751968503938,4,17,063f798be41263e5f4710f762858fc2ad25fc61a,100,99,1,0,,0,True,4.508,6,8,9,30.0,0.6,0.4,0.3
original_14,canine lung cancer,233.tiff,233,0,hem_rect_fill,5761,4419.0,2138.0,0.24816562612969095,30.221751968503938,4,17,96051db23981462005f2a7636d95a467763edb64,100,99,1,0,,0,True,3.608,6,8,10,30.0,0.6,0.4,0.3333333333333333
original_14,canine lung cancer,233.tiff,233,0,hem_rect_fill_1um,5761,4419.0,2138.0,0.24816562612969095,30.221751968503938,4,17,dfbded3f2f785697b6a709c581d27a4378227484,100,99,1,0,,0,True,4.246,6,9,10,,0.6,0.45,0.3333333333333333
original_14,canine lung cancer,233.tiff,233,1,default_51,5760,3570.0,1962.0,0.24816562612969095,30.221751968503938,4,17,fd9cdb60da83936e38d5a7409cfa20907b0a4ff7,100,99,1,0,,0,True,4.334,6,8,9,30.0,0.6,0.4,0.3
original_14,canine lung cancer,233.tiff,233,1,hem_rect_fill,5760,3570.0,1962.0,0.24816562612969095,30.221751968503938,4,17,d896705bec4df248bc6ed20bf146d49da1a12cda,100,99,1,0,,0,True,5.271,7,8,9,30.0,0.7,0.4,0.3
original_14,canine lung cancer,233.tiff,233,1,hem_rect_fill_1um,5760,3570.0,1962.0,0.24816562612969095,30.221751968503938,4,17,ea9d4f36256b9127db1fc70e9141dd2aa9b48e23,100,99,1,0,,0,True,6.071,7,8,9,,0.7,0.4,0.3
original_14,canine lung cancer,233.tiff,233,2,default_51,5770,2081.0,3653.0,0.24816562612969095,30.221751968503938,4,17,6544f4315b685f4ee35429723a871a0c2338faa1,100,99,1,0,,0,True,6.457,7,8,9,30.0,0.7,0.4,0.3
original_14,canine lung cancer,233.tiff,233,2,hem_rect_fill,5770,2081.0,3653.0,0.24816562612969095,30.221751968503938,4,17,33829e48f3ba9ebc4763dd43758e0a1c82479f82,100,99,1,0,,0,True,5.42,7,8,10,30.0,0.7,0.4,0.3333333333333333
original_14,canine lung cancer,233.tiff,233,2,hem_rect_fill_1um,5770,2081.0,3653.0,0.24816562612969095,30.221751968503938,4,17,5e1ca8f95a5125033295134b4c36b07d0255b0d1,100,99,1,0,,0,True,6.945,7,8,9,,0.7,0.4,0.3
testing_35,canine lung cancer,211.tiff,211,0,default_51,4916,5027.0,1377.0,0.24816562612969095,30.221751968503938,4,19,8087e4a07329c48e942fae3217ab307e930a0f66,100,99,1,0,,0,True,7.878,0,0,0,30.0,0.0,0.0,0.0
testing_35,canine lung cancer,211.tiff,211,0,hem_rect_fill,4916,5027.0,1377.0,0.24816562612969095,30.221751968503938,4,19,a71b7e0fd8c0cacd1fc278d6fed1466bc30d635e,100,100,0,0,,0,True,21.661,0,0,0,30.0,0.0,0.0,0.0
testing_35,canine lung cancer,211.tiff,211,0,hem_rect_fill_1um,4916,5027.0,1377.0,0.24816562612969095,30.221751968503938,4,19,35195b17113d930de347facba37bd50709dc88c8,100,100,0,0,,0,True,17.636,0,0,0,,0.0,0.0,0.0
testing_35,canine lung cancer,211.tiff,211,1,default_51,4919,2856.0,2567.0,0.24816562612969095,30.221751968503938,4,19,43775fae15e408e914b405eaf6c434be382a9d49,100,98,1,0,,0,True,5.791,0,0,0,30.0,0.0,0.0,0.0
testing_35,canine lung cancer,211.tiff,211,1,hem_rect_fill,4919,2856.0,2567.0,0.24816562612969095,30.221751968503938,4,19,4cbcc0afd2d342391180dee5fda5d65438e536b4,100,99,1,0,,0,True,4.277,0,0,0,30.0,0.0,0.0,0.0
testing_35,canine lung cancer,211.tiff,211,1,hem_rect_fill_1um,4919,2856.0,2567.0,0.24816562612969095,30.221751968503938,4,19,6d37ce77b09253b54e0e0136ade8fef719dd634e,100,98,1,0,,0,True,3.937,0,0,0,,0.0,0.0,0.0
