subset,domain,file_name,image_id,seed_index,condition,seed_ann_id,click_cx,click_cy,mpp,match_radius_px,n_gt_mitotic,tpl_sha1,n_peaks,n_detections,n_self_hits,n_near_click,near_click_detail,od_nan,od_descending,t_run_s,tp_at_10,tp_at_20,tp_at_30,n_od_bit_exact,precision_at_10,precision_at_20,precision_at_30
testing_35,canine lung cancer,230.tiff,230,0,hem_rect_fill,5689,1637.0,1590.0,0.24816562612969095,30.221751968503938,17,563f9a4a2c92717cd1ae0900615956b20e3b89e4,100,99,1,0,,0,True,1.998,6,13,14,,0.6,0.65,0.4666666666666667
testing_35,canine lung cancer,230.tiff,230,1,default_51,5700,3271.0,2404.0,0.24816562612969095,30.221751968503938,17,751fa22f85bdf4a63ed4157cc9a0357d57e5eb8d,100,99,1,0,,0,True,2.043,6,12,13,30.0,0.6,0.6,0.43333333333333335
testing_35,canine lung cancer,230.tiff,230,1,hem_rect_fill,5700,3271.0,2404.0,0.24816562612969095,30.221751968503938,17,e2534980da7d0cb29e16a818748f2c0535bc0fbe,100,99,1,0,,0,True,2.034,6,12,13,,0.6,0.6,0.43333333333333335
testing_35,canine lung cancer,230.tiff,230,2,default_51,5703,2386.0,2895.0,0.24816562612969095,30.221751968503938,17,7269f7a82c4548ad36194934649cb2ce5c5d588b,100,98,1,0,,0,True,2.149,6,10,11,30.0,0.6,0.5,0.36666666666666664
testing_35,canine lung cancer,230.tiff,230,2,hem_rect_fill,5703,2386.0,2895.0,0.24816562612969095,30.221751968503938,17,5bfdc97a48a765e8500b4689c134789d523fbc4c,100,98,1,0,,0,True,2.069,6,12,14,,0.6,0.6,0.4666666666666667
testing_35,canine lung cancer,235.tiff,235,0,default_51,5810,5435.0,775.0,0.24816562612969095,30.221751968503938,21,1627872c5eed084c3efdf6b3d61b023f8dc88568,100,97,1,0,,0,True,2.029,4,4,7,30.0,0.4,0.2,0.23333333333333334
testing_35,canine lung cancer,235.tiff,235,0,hem_rect_fill,5810,5435.0,775.0,0.24816562612969095,30.221751968503938,21,838cbf3465b70abe3abe458c6b355971840e0f89,100,98,1,0,,0,True,2.398,3,4,6,,0.3,0.2,0.2
testing_35,canine lung cancer,235.tiff,235,1,default_51,5831,6464.0,3084.0,0.24816562612969095,30.221751968503938,21,b6d457f76719cd1dbf7ae9f11c183cc1912d82b0,100,96,1,0,,0,True,1.888,3,4,4,30.0,0.3,0.2,0.13333333333333333
testing_35,canine lung cancer,235.tiff,235,1,hem_rect_fill,5831,6464.0,3084.0,0.24816562612969095,30.221751968503938,21,114f705aad3ec45b250eca7020f0d6b33f84b761,100,98,1,0,,0,True,1.863,4,4,7,,0.4,0.2,0.23333333333333334
testing_35,canine lung cancer,235.tiff,235,2,default_51,5830,4330.0,3417.0,0.24816562612969095,30.221751968503938,21,42fc828cc1d72e4d4ba3558d1e8676f91986c7d1,100,99,1,0,,0,True,1.886,3,3,6,30.0,0.3,0.15,0.2
testing_35,canine lung cancer,235.tiff,235,2,hem_rect_fill,5830,4330.0,3417.0,0.24816562612969095,30.221751968503938,21,c965569fc255a060301ab61bb62774b41d3b67c5,100,99,1,0,,0,True,2.126,4,4,7,,0.4,0.2,0.23333333333333334
testing_35,canine lung cancer,242.tiff,242,0,default_51,6180,2627.0,4231.0,0.24816562612969095,30.221751968503938,26,4b8d6b44c7b6feafd975e51a438eac79d96f507f,100,97,1,0,,0,True,1.875,0,1,1,30.0,0.0,0.05,0.03333333333333333
testing_35,canine lung cancer,242.tiff,242,0,hem_rect_fill,6180,2627.0,4231.0,0.24816562612969095,30.221751968503938,26,b389a58856a69461559b7fc2c0f3c94a81d37baa,100,98,1,0,,0,True,1.873,0,1,1,,0.0,0.05,0.03333333333333333
testing_35,canine lung cancer,242.tiff,242,1,default_51,6178,201.0,4168.0,0.24816562612969095,30.221751968503938,26,3ca0707257309321ce9441c5398a354cb17434a8,100,99,1,0,,0,True,1.879,1,1,1,30.0,0.1,0.05,0.03333333333333333
testing_35,canine lung cancer,242.tiff,242,1,hem_rect_fill,6178,201.0,4168.0,0.24816562612969095,30.221751968503938,26,0baa9d96688f4c868e8902dd7b70b5aa20ff6989,100,99,1,0,,0,True,2.161,1,1,1,,0.1,0.05,0.03333333333333333
