domain,condition,arm,n_roi,K,tp_sum,delivered_sum,precision_pooled,precision_worst_roi,worst_roi_file,worst_roi_tied
human neuroendocrine tumor,gray_bbox,od_contrast,2,20,21,40,0.525,0.45,402.tiff,False
human neuroendocrine tumor,gray_bbox,od_contrast,2,30,30,60,0.5,0.4667,403.tiff,False
human neuroendocrine tumor,gray_bbox,od_contrast,2,50,44,100,0.44,0.36,403.tiff,False
human neuroendocrine tumor,gray_bbox,tm_score,2,10,9,20,0.45,0.4,402.tiff,False
human neuroendocrine tumor,gray_bbox,tm_score,2,20,16,40,0.4,0.35,403.tiff,False
human neuroendocrine tumor,gray_bbox,tm_score,2,30,22,60,0.3667,0.2667,403.tiff,False
human neuroendocrine tumor,gray_bbox,tm_score,2,50,37,100,0.37,0.3,403.tiff,False
human neuroendocrine tumor,hem_bbox,chromatin_od,2,10,11,20,0.55,0.4,403.tiff,False
human neuroendocrine tumor,hem_bbox,chromatin_od,2,20,18,40,0.45,0.35,403.tiff,False
human neuroendocrine tumor,hem_bbox,chromatin_od,2,30,25,60,0.4167,0.3333,403.tiff,False
human neuroendocrine tumor,hem_bbox,chromatin_od,2,50,40,100,0.4,0.26,403.tiff,False
human neuroendocrine tumor,hem_bbox,od_contrast,2,10,10,20,0.5,0.4,402.tiff,False
human neuroendocrine tumor,hem_bbox,od_contrast,2,20,20,40,0.5,0.45,403.tiff,False
human neuroendocrine tumor,hem_bbox,od_contrast,2,30,28,60,0.4667,0.3667,403.tiff,False
human neuroendocrine tumor,hem_bbox,od_contrast,2,50,38,100,0.38,0.24,403.tiff,False
human neuroendocrine tumor,hem_bbox,tm_score,2,10,7,20,0.35,0.3,402.tiff,False
human neuroendocrine tumor,hem_bbox,tm_score,2,20,12,40,0.3,0.25,403.tiff,False
human neuroendocrine tumor,hem_bbox,tm_score,2,30,17,60,0.2833,0.2667,403.tiff,False
human neuroendocrine tumor,hem_bbox,tm_score,2,50,32,100,0.32,0.28,403.tiff,False
