file_name,tumor_type,seed_index,z,n_at_z
301.tiff,canine cutaneous mast cell tumor,2,4.35,4197
301.tiff,canine cutaneous mast cell tumor,2,4.4,3959
301.tiff,canine cutaneous mast cell tumor,2,4.45,3753
301.tiff,canine cutaneous mast cell tumor,2,4.5,3529
301.tiff,canine cutaneous mast cell tumor,2,4.55,3315
301.tiff,canine cutaneous mast cell tumor,2,4.6,3132
301.tiff,canine cutaneous mast cell tumor,2,4.65,2950
301.tiff,canine cutaneous mast cell tumor,2,4.7,2785
301.tiff,canine cutaneous mast cell tumor,2,4.75,2666
301.tiff,canine cutaneous mast cell tumor,2,4.8,2498
301.tiff,canine cutaneous mast cell tumor,2,4.85,2380
301.tiff,canine cutaneous mast cell tumor,2,4.9,2256
301.tiff,canine cutaneous mast cell tumor,2,4.95,2141
301.tiff,canine cutaneous mast cell tumor,2,5.0,2013
301.tiff,canine cutaneous mast cell tumor,2,5.05,1898
301.tiff,canine cutaneous mast cell tumor,2,5.1,1792
301.tiff,canine cutaneous mast cell tumor,2,5.15,1690
301.tiff,canine cutaneous mast cell tumor,2,5.2,1596
301.tiff,canine cutaneous mast cell tumor,2,5.25,1524
301.tiff,canine cutaneous mast cell tumor,2,5.3,1442
301.tiff,canine cutaneous mast cell tumor,2,5.35,1366
301.tiff,canine cutaneous mast cell tumor,2,5.4,1296
301.tiff,canine cutaneous mast cell tumor,2,5.45,1236
301.tiff,canine cutaneous mast cell tumor,2,5.5,1162
301.tiff,canine cutaneous mast cell tumor,2,5.55,1100
301.tiff,canine cutaneous mast cell tumor,2,5.6,1047
301.tiff,canine cutaneous mast cell tumor,2,5.65,998
301.tiff,canine cutaneous mast cell tumor,2,5.7,958
301.tiff,canine cutaneous mast cell tumor,2,5.75,916
301.tiff,canine cutaneous mast cell tumor,2,5.8,875
301.tiff,canine cutaneous mast cell tumor,2,5.85,832
301.tiff,canine cutaneous mast cell tumor,2,5.9,802
301.tiff,canine cutaneous mast cell tumor,2,5.95,765
301.tiff,canine cutaneous mast cell tumor,2,6.0,734
301.tiff,canine cutaneous mast cell tumor,3,0.0,34233
301.tiff,canine cutaneous mast cell tumor,3,0.05,34206
301.tiff,canine cutaneous mast cell tumor,3,0.1,34176
301.tiff,canine cutaneous mast cell tumor,3,0.15,34115
301.tiff,canine cutaneous mast cell tumor,3,0.2,34065
301.tiff,canine cutaneous mast cell tumor,3,0.25,34010
301.tiff,canine cutaneous mast cell tumor,3,0.3,33944
301.tiff,canine cutaneous mast cell tumor,3,0.35,33868
301.tiff,canine cutaneous mast cell tumor,3,0.4,33758
301.tiff,canine cutaneous mast cell tumor,3,0.45,33659
301.tiff,canine cutaneous mast cell tumor,3,0.5,33516
301.tiff,canine cutaneous mast cell tumor,3,0.55,33369
301.tiff,canine cutaneous mast cell tumor,3,0.6,33181
301.tiff,canine cutaneous mast cell tumor,3,0.65,32994
301.tiff,canine cutaneous mast cell tumor,3,0.7,32791
301.tiff,canine cutaneous mast cell tumor,3,0.75,32548
301.tiff,canine cutaneous mast cell tumor,3,0.8,32291
301.tiff,canine cutaneous mast cell tumor,3,0.85,32054
301.tiff,canine cutaneous mast cell tumor,3,0.9,31784
301.tiff,canine cutaneous mast cell tumor,3,0.95,31499
301.tiff,canine cutaneous mast cell tumor,3,1.0,31198
301.tiff,canine cutaneous mast cell tumor,3,1.05,30842
301.tiff,canine cutaneous mast cell tumor,3,1.1,30494
301.tiff,canine cutaneous mast cell tumor,3,1.15,30134
301.tiff,canine cutaneous mast cell tumor,3,1.2,29747
301.tiff,canine cutaneous mast cell tumor,3,1.25,29350
301.tiff,canine cutaneous mast cell tumor,3,1.3,28904
301.tiff,canine cutaneous mast cell tumor,3,1.35,28494
301.tiff,canine cutaneous mast cell tumor,3,1.4,28084
301.tiff,canine cutaneous mast cell tumor,3,1.45,27640
301.tiff,canine cutaneous mast cell tumor,3,1.5,27189
301.tiff,canine cutaneous mast cell tumor,3,1.55,26686
