subset,domain,file_name,image_id,seed_index,condition,keep_region,rank_key,seed_ann_id,click_cx,click_cy,mpp,match_radius_px,margin_px,is_recorded_seed,n_gt_mitotic,tpl_sha1,n_kept_px,n_filled_px,fill_value,n_peaks,max_peaks_binding,n_detections,n_blanked_px,n_near_click,near_click_detail,od_nan,rank_key_descending,t_search_s,tp_at_10,tp_at_20,tp_at_30,n_od_bit_exact,precision_at_10,precision_at_20,precision_at_30
original_14,canine cutaneous mast cell tumor,300.tiff,300,4,hem_rect_fill_1um,that rectangle + 1 um,tm_score,14501,774.0,3499.0,0.2533008895448562,29.609055118110238,4,False,180,10f8f6a6cdd15dbcf7999c9f571bfd9af114f6f6,756,1845,0.02903439849615097,100,True,100,2601,0,,0,True,1.211,10,19,27,,1.0,0.95,0.9
original_14,canine cutaneous mast cell tumor,300.tiff,300,4,hem_mask_fill_1um,the Otsu component + 1 um,chromatin_od,14501,774.0,3499.0,0.2533008895448562,29.609055118110238,4,False,180,4c5025b3da11685b51023ae36377c5348964d1f8,564,2037,0.027936497703194618,100,True,100,2601,0,,0,True,1.201,9,19,27,,0.9,0.95,0.9
original_14,canine cutaneous mast cell tumor,300.tiff,300,4,hem_mask_fill_1um,the Otsu component + 1 um,tm_score,14501,774.0,3499.0,0.2533008895448562,29.609055118110238,4,False,180,4c5025b3da11685b51023ae36377c5348964d1f8,564,2037,0.027936497703194618,100,True,100,2601,0,,0,True,1.201,10,19,27,,1.0,0.95,0.9
original_14,canine cutaneous mast cell tumor,300.tiff,300,5,default_51,the whole window,chromatin_od,14638,5976.0,882.0,0.2533008895448562,29.609055118110238,4,False,180,452a4e9abb99f8254cdca96618b72710ab2a6a04,2601,0,,100,True,99,2601,0,,0,True,1.197,9,18,26,,0.9,0.9,0.8666666666666667
original_14,canine cutaneous mast cell tumor,300.tiff,300,5,default_51,the whole window,tm_score,14638,5976.0,882.0,0.2533008895448562,29.609055118110238,4,False,180,452a4e9abb99f8254cdca96618b72710ab2a6a04,2601,0,,100,True,99,2601,0,,0,True,1.197,10,18,25,,1.0,0.9,0.8333333333333334
original_14,canine cutaneous mast cell tumor,300.tiff,300,5,hem_rect_fill,the Otsu rectangle,chromatin_od,14638,5976.0,882.0,0.2533008895448562,29.609055118110238,4,False,180,2f2ace8f4e982b8246603f9e66ceacf19225452f,308,2293,0.0255439355969429,100,True,99,2601,0,,0,True,1.195,9,18,26,,0.9,0.9,0.8666666666666667
original_14,canine cutaneous mast cell tumor,300.tiff,300,5,hem_rect_fill,the Otsu rectangle,tm_score,14638,5976.0,882.0,0.2533008895448562,29.609055118110238,4,False,180,2f2ace8f4e982b8246603f9e66ceacf19225452f,308,2293,0.0255439355969429,100,True,99,2601,0,,0,True,1.195,10,17,27,,1.0,0.85,0.9
original_14,canine cutaneous mast cell tumor,300.tiff,300,5,hem_rect_fill_1um,that rectangle + 1 um,chromatin_od,14638,5976.0,882.0,0.2533008895448562,29.609055118110238,4,False,180,c70d5f4e2152453ab528e28f0ce7536350906bf4,684,1917,0.02656053751707077,100,True,99,2601,0,,0,True,1.195,9,18,26,,0.9,0.9,0.8666666666666667
original_14,canine cutaneous mast cell tumor,300.tiff,300,5,hem_rect_fill_1um,that rectangle + 1 um,tm_score,14638,5976.0,882.0,0.2533008895448562,29.609055118110238,4,False,180,c70d5f4e2152453ab528e28f0ce7536350906bf4,684,1917,0.02656053751707077,100,True,99,2601,0,,0,True,1.195,10,17,27,,1.0,0.85,0.9
original_14,canine cutaneous mast cell tumor,300.tiff,300,5,hem_mask_fill_1um,the Otsu component + 1 um,chromatin_od,14638,5976.0,882.0,0.2533008895448562,29.609055118110238,4,False,180,5a20589355c5eee7a80ddeb52de0baa20bb5d798,535,2066,0.02565304934978485,100,True,99,2601,0,,0,True,1.187,9,18,26,,0.9,0.9,0.8666666666666667
original_14,canine cutaneous mast cell tumor,300.tiff,300,5,hem_mask_fill_1um,the Otsu component + 1 um,tm_score,14638,5976.0,882.0,0.2533008895448562,29.609055118110238,4,False,180,5a20589355c5eee7a80ddeb52de0baa20bb5d798,535,2066,0.02565304934978485,100,True,99,2601,0,,0,True,1.187,10,18,26,,1.0,0.9,0.8666666666666667
original_14,canine cutaneous mast cell tumor,301.tiff,301,0,default_51,the whole window,chromatin_od,14969,5911.0,3548.0,0.2533008895448562,29.609055118110238,4,True,217,97f410f43bb8c4613c96a140a5203a1937f5ae29,2601,0,,100,True,100,2601,0,,0,True,1.214,8,18,26,30.0,0.8,0.9,0.8666666666666667
original_14,canine cutaneous mast cell tumor,301.tiff,301,0,default_51,the whole window,tm_score,14969,5911.0,3548.0,0.2533008895448562,29.609055118110238,4,True,217,97f410f43bb8c4613c96a140a5203a1937f5ae29,2601,0,,100,True,100,2601,0,,0,True,1.214,7,13,20,,0.7,0.65,0.6666666666666666
original_14,canine cutaneous mast cell tumor,301.tiff,301,0,hem_rect_fill,the Otsu rectangle,chromatin_od,14969,5911.0,3548.0,0.2533008895448562,29.609055118110238,4,True,217,b49d1dec64fa02dcc14c2c94dffdfbcec8d70d30,864,1737,0.028485409915447235,100,True,100,2601,0,,0,True,1.384,6,15,25,30.0,0.6,0.75,0.8333333333333334
original_14,canine cutaneous mast cell tumor,301.tiff,301,0,hem_rect_fill,the Otsu rectangle,tm_score,14969,5911.0,3548.0,0.2533008895448562,29.609055118110238,4,True,217,b49d1dec64fa02dcc14c2c94dffdfbcec8d70d30,864,1737,0.028485409915447235,100,True,100,2601,0,,0,True,1.384,7,15,24,,0.7,0.75,0.8
original_14,canine cutaneous mast cell tumor,301.tiff,301,0,hem_rect_fill_1um,that rectangle + 1 um,chromatin_od,14969,5911.0,3548.0,0.2533008895448562,29.609055118110238,4,True,217,6c0563e4d8a26b8ea788260432ab8af5fb728e13,1400,1201,0.030680116266012192,100,True,100,2601,0,,0,True,1.524,6,15,24,,0.6,0.75,0.8
original_14,canine cutaneous mast cell tumor,301.tiff,301,0,hem_rect_fill_1um,that rectangle + 1 um,tm_score,14969,5911.0,3548.0,0.2533008895448562,29.609055118110238,4,True,217,6c0563e4d8a26b8ea788260432ab8af5fb728e13,1400,1201,0.030680116266012192,100,True,100,2601,0,,0,True,1.524,8,17,25,,0.8,0.85,0.8333333333333334
original_14,canine cutaneous mast cell tumor,301.tiff,301,0,hem_mask_fill_1um,the Otsu component + 1 um,chromatin_od,14969,5911.0,3548.0,0.2533008895448562,29.609055118110238,4,True,217,f2ea4604bebcf62e640b7dcbc2f564350de7580a,1041,1560,0.02927244082093239,100,True,100,2601,0,,0,True,1.383,6,15,25,,0.6,0.75,0.8333333333333334
original_14,canine cutaneous mast cell tumor,301.tiff,301,0,hem_mask_fill_1um,the Otsu component + 1 um,tm_score,14969,5911.0,3548.0,0.2533008895448562,29.609055118110238,4,True,217,f2ea4604bebcf62e640b7dcbc2f564350de7580a,1041,1560,0.02927244082093239,100,True,100,2601,0,,0,True,1.383,7,16,25,,0.7,0.8,0.8333333333333334
original_14,canine cutaneous mast cell tumor,301.tiff,301,1,default_51,the whole window,chromatin_od,14874,6301.0,2294.0,0.2533008895448562,29.609055118110238,4,True,217,bed4023cf45d5d21f0d843d95f2cd237c7cdaaf5,2601,0,,100,True,100,2601,0,,0,True,1.37,8,17,26,30.0,0.8,0.85,0.8666666666666667
original_14,canine cutaneous mast cell tumor,301.tiff,301,1,default_51,the whole window,tm_score,14874,6301.0,2294.0,0.2533008895448562,29.609055118110238,4,True,217,bed4023cf45d5d21f0d843d95f2cd237c7cdaaf5,2601,0,,100,True,100,2601,0,,0,True,1.37,9,19,29,,0.9,0.95,0.9666666666666667
original_14,canine cutaneous mast cell tumor,301.tiff,301,1,hem_rect_fill,the Otsu rectangle,chromatin_od,14874,6301.0,2294.0,0.2533008895448562,29.609055118110238,4,True,217,8f7bed1d9d17fcd00be33335551837e6bcc96921,600,2001,0.019851889461278915,100,True,100,2601,0,,0,True,1.381,8,17,27,30.0,0.8,0.85,0.9
original_14,canine cutaneous mast cell tumor,301.tiff,301,1,hem_rect_fill,the Otsu rectangle,tm_score,14874,6301.0,2294.0,0.2533008895448562,29.609055118110238,4,True,217,8f7bed1d9d17fcd00be33335551837e6bcc96921,600,2001,0.019851889461278915,100,True,100,2601,0,,0,True,1.381,9,19,28,,0.9,0.95,0.9333333333333333
original_14,canine cutaneous mast cell tumor,301.tiff,301,1,hem_rect_fill_1um,that rectangle + 1 um,chromatin_od,14874,6301.0,2294.0,0.2533008895448562,29.609055118110238,4,True,217,aa235744945b56496fed14c477250cb26948b49f,1056,1545,0.020020367577672005,100,True,100,2601,0,,0,True,1.393,8,17,27,,0.8,0.85,0.9
original_14,canine cutaneous mast cell tumor,301.tiff,301,1,hem_rect_fill_1um,that rectangle + 1 um,tm_score,14874,6301.0,2294.0,0.2533008895448562,29.609055118110238,4,True,217,aa235744945b56496fed14c477250cb26948b49f,1056,1545,0.020020367577672005,100,True,100,2601,0,,0,True,1.393,9,18,28,,0.9,0.9,0.9333333333333333
original_14,canine cutaneous mast cell tumor,301.tiff,301,1,hem_mask_fill_1um,the Otsu component + 1 um,chromatin_od,14874,6301.0,2294.0,0.2533008895448562,29.609055118110238,4,True,217,93ea9e0102912fb69fb55c7d7ca471690e80fd2f,671,1930,0.021319717168807983,100,True,100,2601,0,,0,True,1.408,8,17,27,,0.8,0.85,0.9
original_14,canine cutaneous mast cell tumor,301.tiff,301,1,hem_mask_fill_1um,the Otsu component + 1 um,tm_score,14874,6301.0,2294.0,0.2533008895448562,29.609055118110238,4,True,217,93ea9e0102912fb69fb55c7d7ca471690e80fd2f,671,1930,0.021319717168807983,100,True,100,2601,0,,0,True,1.408,9,18,28,,0.9,0.9,0.9333333333333333
original_14,canine cutaneous mast cell tumor,301.tiff,301,2,default_51,the whole window,chromatin_od,14782,6325.0,82.0,0.2533008895448562,29.609055118110238,4,True,217,9600ff68b2d3d3254f743b518d7c3969107d2226,2601,0,,100,True,94,2601,0,,0,True,1.452,6,13,21,30.0,0.6,0.65,0.7
original_14,canine cutaneous mast cell tumor,301.tiff,301,2,default_51,the whole window,tm_score,14782,6325.0,82.0,0.2533008895448562,29.609055118110238,4,True,217,9600ff68b2d3d3254f743b518d7c3969107d2226,2601,0,,100,True,94,2601,0,,0,True,1.452,4,10,15,,0.4,0.5,0.5
original_14,canine cutaneous mast cell tumor,301.tiff,301,2,hem_rect_fill,the Otsu rectangle,chromatin_od,14782,6325.0,82.0,0.2533008895448562,29.609055118110238,4,True,217,d13e958db108e84ddfec66d442d5085c81d7df54,190,2411,0.023468809202313423,100,True,98,2601,0,,0,True,1.592,8,18,28,30.0,0.8,0.9,0.9333333333333333
original_14,canine cutaneous mast cell tumor,301.tiff,301,2,hem_rect_fill,the Otsu rectangle,tm_score,14782,6325.0,82.0,0.2533008895448562,29.609055118110238,4,True,217,d13e958db108e84ddfec66d442d5085c81d7df54,190,2411,0.023468809202313423,100,True,98,2601,0,,0,True,1.592,9,19,29,,0.9,0.95,0.9666666666666667
original_14,canine cutaneous mast cell tumor,301.tiff,301,2,hem_rect_fill_1um,that rectangle + 1 um,chromatin_od,14782,6325.0,82.0,0.2533008895448562,29.609055118110238,4,True,217,c1a7e298e400f1370d088b6bb53bf597fdc4d857,486,2115,0.024489587172865868,100,True,97,2601,0,,0,True,1.495,9,19,29,,0.9,0.95,0.9666666666666667
original_14,canine cutaneous mast cell tumor,301.tiff,301,2,hem_rect_fill_1um,that rectangle + 1 um,tm_score,14782,6325.0,82.0,0.2533008895448562,29.609055118110238,4,True,217,c1a7e298e400f1370d088b6bb53bf597fdc4d857,486,2115,0.024489587172865868,100,True,97,2601,0,,0,True,1.495,10,19,28,,1.0,0.95,0.9333333333333333
original_14,canine cutaneous mast cell tumor,301.tiff,301,2,hem_mask_fill_1um,the Otsu component + 1 um,chromatin_od,14782,6325.0,82.0,0.2533008895448562,29.609055118110238,4,True,217,b6614245cc128ea9d2f46b044b943557f73b3095,336,2265,0.02383185364305973,100,True,97,2601,0,,0,True,1.453,8,18,28,,0.8,0.9,0.9333333333333333
original_14,canine cutaneous mast cell tumor,301.tiff,301,2,hem_mask_fill_1um,the Otsu component + 1 um,tm_score,14782,6325.0,82.0,0.2533008895448562,29.609055118110238,4,True,217,b6614245cc128ea9d2f46b044b943557f73b3095,336,2265,0.02383185364305973,100,True,97,2601,0,,0,True,1.453,10,19,29,,1.0,0.95,0.9666666666666667
original_14,canine cutaneous mast cell tumor,301.tiff,301,3,default_51,the whole window,chromatin_od,14921,6383.0,2786.0,0.2533008895448562,29.609055118110238,4,False,217,4ea11ed507d935e4e9fb3ab40e3c8ac205622dbd,2601,0,,100,True,100,2601,0,,0,True,1.409,6,15,25,,0.6,0.75,0.8333333333333334
original_14,canine cutaneous mast cell tumor,301.tiff,301,3,default_51,the whole window,tm_score,14921,6383.0,2786.0,0.2533008895448562,29.609055118110238,4,False,217,4ea11ed507d935e4e9fb3ab40e3c8ac205622dbd,2601,0,,100,True,100,2601,0,,0,True,1.409,7,17,26,,0.7,0.85,0.8666666666666667
original_14,canine cutaneous mast cell tumor,301.tiff,301,3,hem_rect_fill,the Otsu rectangle,chromatin_od,14921,6383.0,2786.0,0.2533008895448562,29.609055118110238,4,False,217,c6287030676db19ddf3dd2d3a3574709da484b27,625,1976,0.021111341193318367,100,True,100,2601,0,,0,True,1.408,6,15,25,,0.6,0.75,0.8333333333333334
original_14,canine cutaneous mast cell tumor,301.tiff,301,3,hem_rect_fill,the Otsu rectangle,tm_score,14921,6383.0,2786.0,0.2533008895448562,29.609055118110238,4,False,217,c6287030676db19ddf3dd2d3a3574709da484b27,625,1976,0.021111341193318367,100,True,100,2601,0,,0,True,1.408,7,16,26,,0.7,0.8,0.8666666666666667
