subset,domain,file_name,image_id,seed_index,condition,terms,rank_key,seed_ann_id,click_cx,click_cy,mpp,match_radius_px,n_gt_mitotic,tpl_sha1,n_peaks,n_detections,n_blanked_px,n_near_click,near_click_detail,od_nan,t_search_s,tp_at_10,tp_at_20,tp_at_30,n_od_bit_exact,precision_at_10,precision_at_20,precision_at_30
testing_35,canine cutaneous mast cell tumor,322.tiff,322,1,default_51,untouched window,tm_score,16270,870.0,4698.0,0.2533008895448562,29.609055118110238,22,270970a472f29471b5c475feec5a0e3cf3e118a2,100,99,2601,0,,0,2.384,6,10,13,,0.6,0.5,0.43333333333333335
testing_35,canine cutaneous mast cell tumor,322.tiff,322,1,fill_alpha_0,shape only,chromatin_od,16270,870.0,4698.0,0.2533008895448562,29.609055118110238,22,0fad5d5946dc2c7232e7979d9070f40ebaddea13,100,99,2601,0,,0,2.328,8,14,16,30.0,0.8,0.7,0.5333333333333333
testing_35,canine cutaneous mast cell tumor,322.tiff,322,1,fill_alpha_0,shape only,tm_score,16270,870.0,4698.0,0.2533008895448562,29.609055118110238,22,0fad5d5946dc2c7232e7979d9070f40ebaddea13,100,99,2601,0,,0,2.328,7,8,10,,0.7,0.4,0.3333333333333333
testing_35,canine cutaneous mast cell tumor,322.tiff,322,1,mass_only,mass only,chromatin_od,16270,870.0,4698.0,0.2533008895448562,29.609055118110238,22,4176023217a48a41367a8a90590ecaf1a32ec1d2,100,100,2601,0,,0,2.145,8,14,15,,0.8,0.7,0.5
testing_35,canine cutaneous mast cell tumor,322.tiff,322,1,mass_only,mass only,tm_score,16270,870.0,4698.0,0.2533008895448562,29.609055118110238,22,4176023217a48a41367a8a90590ecaf1a32ec1d2,100,100,2601,0,,0,2.145,6,10,11,,0.6,0.5,0.36666666666666664
testing_35,canine cutaneous mast cell tumor,322.tiff,322,1,fill_alpha_1,shape + mass,chromatin_od,16270,870.0,4698.0,0.2533008895448562,29.609055118110238,22,666973bded1fad7844877c0bb35f4ee09e521369,100,100,2601,0,,0,2.169,8,14,16,30.0,0.8,0.7,0.5333333333333333
testing_35,canine cutaneous mast cell tumor,322.tiff,322,1,fill_alpha_1,shape + mass,tm_score,16270,870.0,4698.0,0.2533008895448562,29.609055118110238,22,666973bded1fad7844877c0bb35f4ee09e521369,100,100,2601,0,,0,2.169,6,10,13,,0.6,0.5,0.43333333333333335
testing_35,canine cutaneous mast cell tumor,322.tiff,322,2,default_51,untouched window,chromatin_od,16265,1155.0,2592.0,0.2533008895448562,29.609055118110238,22,b50d97a204611772e6fcbd5dda16f08406a02e91,100,100,2601,0,,0,2.362,8,14,15,30.0,0.8,0.7,0.5
testing_35,canine cutaneous mast cell tumor,322.tiff,322,2,default_51,untouched window,tm_score,16265,1155.0,2592.0,0.2533008895448562,29.609055118110238,22,b50d97a204611772e6fcbd5dda16f08406a02e91,100,100,2601,0,,0,2.362,7,11,12,,0.7,0.55,0.4
testing_35,canine cutaneous mast cell tumor,322.tiff,322,2,fill_alpha_0,shape only,chromatin_od,16265,1155.0,2592.0,0.2533008895448562,29.609055118110238,22,12674dc0e203af82ae91ac9fbbf975cf1ed267e9,100,99,2601,0,,0,2.13,8,14,14,30.0,0.8,0.7,0.4666666666666667
