scope,group,pair,K,n_roi,n_clicks,pooled_delta_precision,mean_roi_summed_delta_tp,wins,losses,ties,ties_cancelling,n_nonzero,exact_p,min_attainable_p,mc_p,mc_extreme,mc_agrees,holm_family,holm_p,ci_low,ci_high,boot_share_ge_0,boot_share_le_0,t_ci_low,t_ci_high,n_same_direction,ci_excludes_0,majority_of_all_rois,majority_of_nonzero_rois,d5_bar_met,t_ci_excludes_0,boot_share_0_or_opposite,d5_robustness
domain,canine cutaneous mast cell tumor,hem_bbox - gray_bbox,30,7,21,-0.08571428571428572,-7.714285714285714,0,7,0,0,7,0.015625,0.015625,0.015639921800390998,3127,True,,,,,,,,,7,,,,,,,
domain,canine lung cancer,gray_bbox - default_51,10,7,21,0.014285714285714285,0.42857142857142855,4,1,2,0,5,0.375,0.0625,0.374638126809366,74927,True,,,,,,,,,4,,,,,,,
domain,canine lung cancer,gray_bbox - default_51,20,7,21,0.0,0.0,2,2,3,0,4,1.0,0.125,1.0,200000,True,,,,,,,,,0,,,,,,,
domain,canine lung cancer,gray_bbox - default_51,30,7,21,0.0,0.0,2,3,2,1,5,1.0,0.0625,1.0,200000,True,,,,,,,,,0,,,,,,,
domain,canine lung cancer,hem_bbox - default_51,10,7,21,0.01904761904761905,0.5714285714285714,2,1,4,1,3,0.75,0.25,0.7512512437437813,150250,True,,,,,,,,,2,,,,,,,
domain,canine lung cancer,hem_bbox - default_51,20,7,21,0.009523809523809525,0.5714285714285714,3,3,1,0,6,0.6875,0.03125,0.6875465622671887,137509,True,,,,,,,,,3,,,,,,,
domain,canine lung cancer,hem_bbox - default_51,30,7,21,-0.0031746031746031746,-0.2857142857142857,2,3,2,1,5,0.8125,0.0625,0.8127209363953181,162544,True,,,,,,,,,3,,,,,,,
domain,canine lung cancer,hem_bbox - gray_bbox,10,7,21,0.004761904761904762,0.14285714285714285,2,2,3,1,4,1.0,0.125,1.0,200000,True,,,,,,,,,2,,,,,,,
domain,canine lung cancer,hem_bbox - gray_bbox,20,7,21,0.009523809523809525,0.5714285714285714,3,2,2,0,5,0.6875,0.0625,0.6867665661671691,137353,True,,,,,,,,,3,,,,,,,
domain,canine lung cancer,hem_bbox - gray_bbox,30,7,21,-0.0031746031746031746,-0.2857142857142857,2,3,2,0,5,0.875,0.0625,0.8767306163469183,175346,True,,,,,,,,,3,,,,,,,
