file_name,domain,condition,arm,K,budget_delivered,tp_at_budget,lookalike_at_budget,precision,nb_tp_at_budget,nb_lookalike_at_budget,nb_precision
233.tiff,canine lung cancer,gray_bbox,tm_score,20,20,5,2,0.25,5,2,0.25
233.tiff,canine lung cancer,gray_bbox,tm_score,30,30,8,3,0.26666666666666666,8,3,0.2666666666666666
233.tiff,canine lung cancer,gray_bbox,tm_score,50,50,8,4,0.16,8,4,0.16
233.tiff,canine lung cancer,gray_bbox,chromatin_od,10,10,7,0,0.7,7,0,0.7
233.tiff,canine lung cancer,gray_bbox,chromatin_od,20,20,8,1,0.4,8,1,0.4
233.tiff,canine lung cancer,gray_bbox,chromatin_od,30,30,10,2,0.3333333333333333,10,2,0.3333333333333333
233.tiff,canine lung cancer,gray_bbox,chromatin_od,50,50,10,3,0.2,10,3,0.2
233.tiff,canine lung cancer,gray_bbox,od_contrast,10,10,8,0,0.8,8,0,0.8
233.tiff,canine lung cancer,gray_bbox,od_contrast,20,20,8,1,0.4,8,1,0.4
233.tiff,canine lung cancer,gray_bbox,od_contrast,30,30,10,2,0.3333333333333333,10,2,0.3333333333333333
233.tiff,canine lung cancer,gray_bbox,od_contrast,50,50,10,3,0.2,10,3,0.2
245.tiff,canine lymphosarcoma,hem_bbox,tm_score,10,10,3,0,0.3,3,0,0.3
245.tiff,canine lymphosarcoma,hem_bbox,tm_score,20,20,7,0,0.35,7,0,0.35
245.tiff,canine lymphosarcoma,hem_bbox,tm_score,30,30,9,2,0.3,9,2,0.3
245.tiff,canine lymphosarcoma,hem_bbox,tm_score,50,50,12,3,0.24,12,3,0.24
245.tiff,canine lymphosarcoma,hem_bbox,chromatin_od,10,10,1,0,0.1,1,0,0.1
245.tiff,canine lymphosarcoma,hem_bbox,chromatin_od,20,20,2,1,0.1,2,1,0.1
245.tiff,canine lymphosarcoma,hem_bbox,chromatin_od,30,30,5,1,0.16666666666666666,5,1,0.1666666666666666
245.tiff,canine lymphosarcoma,hem_bbox,chromatin_od,50,50,12,3,0.24,12,3,0.24
245.tiff,canine lymphosarcoma,hem_bbox,od_contrast,10,10,1,1,0.1,1,1,0.1
245.tiff,canine lymphosarcoma,hem_bbox,od_contrast,20,20,2,1,0.1,2,1,0.1
245.tiff,canine lymphosarcoma,hem_bbox,od_contrast,30,30,4,1,0.13333333333333333,4,1,0.1333333333333333
245.tiff,canine lymphosarcoma,hem_bbox,od_contrast,50,50,12,1,0.24,12,1,0.24
245.tiff,canine lymphosarcoma,gray_bbox,tm_score,10,10,1,0,0.1,1,0,0.1
245.tiff,canine lymphosarcoma,gray_bbox,tm_score,20,20,2,1,0.1,2,1,0.1
245.tiff,canine lymphosarcoma,gray_bbox,tm_score,30,30,3,1,0.1,3,1,0.1
245.tiff,canine lymphosarcoma,gray_bbox,tm_score,50,50,6,1,0.12,6,1,0.12
245.tiff,canine lymphosarcoma,gray_bbox,chromatin_od,10,10,1,1,0.1,1,1,0.1
245.tiff,canine lymphosarcoma,gray_bbox,chromatin_od,20,20,4,1,0.2,4,1,0.2
245.tiff,canine lymphosarcoma,gray_bbox,chromatin_od,30,30,7,1,0.23333333333333334,7,1,0.2333333333333333
245.tiff,canine lymphosarcoma,gray_bbox,chromatin_od,50,50,8,3,0.16,8,3,0.16
245.tiff,canine lymphosarcoma,gray_bbox,od_contrast,10,10,1,1,0.1,1,1,0.1
245.tiff,canine lymphosarcoma,gray_bbox,od_contrast,20,20,5,1,0.25,5,1,0.25
245.tiff,canine lymphosarcoma,gray_bbox,od_contrast,30,30,6,2,0.2,6,2,0.2
245.tiff,canine lymphosarcoma,gray_bbox,od_contrast,50,50,8,2,0.16,8,2,0.16
246.tiff,canine lymphosarcoma,hem_bbox,tm_score,10,10,8,2,0.8,8,2,0.8
246.tiff,canine lymphosarcoma,hem_bbox,tm_score,20,20,14,2,0.7,14,2,0.7
246.tiff,canine lymphosarcoma,hem_bbox,tm_score,30,30,16,4,0.5333333333333333,16,4,0.5333333333333333
246.tiff,canine lymphosarcoma,hem_bbox,tm_score,50,50,22,5,0.44,22,5,0.44
246.tiff,canine lymphosarcoma,hem_bbox,chromatin_od,10,10,10,0,1.0,10,0,1.0
246.tiff,canine lymphosarcoma,hem_bbox,chromatin_od,20,20,16,1,0.8,16,1,0.8
246.tiff,canine lymphosarcoma,hem_bbox,chromatin_od,30,30,22,1,0.7333333333333333,22,1,0.7333333333333333
246.tiff,canine lymphosarcoma,hem_bbox,chromatin_od,50,50,29,6,0.58,29,6,0.58
246.tiff,canine lymphosarcoma,hem_bbox,od_contrast,10,10,10,0,1.0,10,0,1.0
246.tiff,canine lymphosarcoma,hem_bbox,od_contrast,20,20,17,1,0.85,17,1,0.85
246.tiff,canine lymphosarcoma,hem_bbox,od_contrast,30,30,20,3,0.6666666666666666,20,3,0.6666666666666666
246.tiff,canine lymphosarcoma,hem_bbox,od_contrast,50,50,28,7,0.56,28,7,0.56
246.tiff,canine lymphosarcoma,gray_bbox,tm_score,10,10,10,0,1.0,10,0,1.0
246.tiff,canine lymphosarcoma,gray_bbox,tm_score,20,20,18,1,0.9,18,1,0.9
