file_name,domain,condition,arm,K,budget_delivered,tp_at_budget,lookalike_at_budget,precision,nb_tp_at_budget,nb_lookalike_at_budget,nb_precision
301.tiff,canine cutaneous mast cell tumor,hem_bbox,od_contrast,10,10,7,2,0.7,7,2,0.7
301.tiff,canine cutaneous mast cell tumor,hem_bbox,od_contrast,20,20,16,2,0.8,16,2,0.8
301.tiff,canine cutaneous mast cell tumor,hem_bbox,od_contrast,30,30,25,3,0.8333333333333334,25,3,0.8333333333333334
301.tiff,canine cutaneous mast cell tumor,hem_bbox,od_contrast,50,50,42,6,0.84,42,6,0.84
301.tiff,canine cutaneous mast cell tumor,gray_bbox,tm_score,10,10,9,0,0.9,9,0,0.9
301.tiff,canine cutaneous mast cell tumor,gray_bbox,tm_score,20,20,18,1,0.9,18,1,0.9
301.tiff,canine cutaneous mast cell tumor,gray_bbox,tm_score,30,30,24,2,0.8,24,2,0.8
301.tiff,canine cutaneous mast cell tumor,gray_bbox,tm_score,50,50,37,4,0.74,37,4,0.74
301.tiff,canine cutaneous mast cell tumor,gray_bbox,chromatin_od,10,10,8,1,0.8,8,1,0.8
301.tiff,canine cutaneous mast cell tumor,gray_bbox,chromatin_od,20,20,18,1,0.9,18,1,0.9
301.tiff,canine cutaneous mast cell tumor,gray_bbox,chromatin_od,30,30,27,1,0.9,27,1,0.9
301.tiff,canine cutaneous mast cell tumor,gray_bbox,chromatin_od,50,50,41,4,0.82,41,4,0.82
301.tiff,canine cutaneous mast cell tumor,gray_bbox,od_contrast,10,10,8,1,0.8,8,1,0.8
301.tiff,canine cutaneous mast cell tumor,gray_bbox,od_contrast,20,20,18,1,0.9,18,1,0.9
301.tiff,canine cutaneous mast cell tumor,gray_bbox,od_contrast,30,30,27,2,0.9,27,2,0.9
301.tiff,canine cutaneous mast cell tumor,gray_bbox,od_contrast,50,50,41,4,0.82,41,4,0.82
402.tiff,human neuroendocrine tumor,hem_bbox,tm_score,10,10,3,2,0.3,3,2,0.3
402.tiff,human neuroendocrine tumor,hem_bbox,tm_score,20,20,7,3,0.35,7,3,0.35
402.tiff,human neuroendocrine tumor,hem_bbox,tm_score,30,30,9,6,0.3,9,6,0.3
402.tiff,human neuroendocrine tumor,hem_bbox,tm_score,50,50,18,10,0.36,18,10,0.36
402.tiff,human neuroendocrine tumor,hem_bbox,chromatin_od,10,10,7,1,0.7,7,1,0.7
402.tiff,human neuroendocrine tumor,hem_bbox,chromatin_od,20,20,11,2,0.55,11,2,0.55
402.tiff,human neuroendocrine tumor,hem_bbox,chromatin_od,30,30,15,4,0.5,15,4,0.5
402.tiff,human neuroendocrine tumor,hem_bbox,chromatin_od,50,50,27,6,0.54,27,6,0.54
402.tiff,human neuroendocrine tumor,hem_bbox,od_contrast,10,10,4,2,0.4,4,2,0.4
402.tiff,human neuroendocrine tumor,hem_bbox,od_contrast,20,20,11,3,0.55,11,3,0.55
402.tiff,human neuroendocrine tumor,hem_bbox,od_contrast,30,30,17,3,0.5666666666666667,17,3,0.5666666666666667
402.tiff,human neuroendocrine tumor,hem_bbox,od_contrast,50,50,26,6,0.52,26,6,0.52
402.tiff,human neuroendocrine tumor,gray_bbox,tm_score,10,10,4,2,0.4,4,2,0.4
402.tiff,human neuroendocrine tumor,gray_bbox,tm_score,20,20,9,4,0.45,9,4,0.45
402.tiff,human neuroendocrine tumor,gray_bbox,tm_score,30,30,14,4,0.4666666666666667,14,4,0.4666666666666667
402.tiff,human neuroendocrine tumor,gray_bbox,tm_score,50,50,22,9,0.44,22,9,0.44
402.tiff,human neuroendocrine tumor,gray_bbox,chromatin_od,10,10,7,1,0.7,7,1,0.7
402.tiff,human neuroendocrine tumor,gray_bbox,chromatin_od,20,20,12,2,0.6,12,2,0.6
402.tiff,human neuroendocrine tumor,gray_bbox,chromatin_od,30,30,15,4,0.5,15,4,0.5
402.tiff,human neuroendocrine tumor,gray_bbox,chromatin_od,50,50,25,6,0.5,25,6,0.5
402.tiff,human neuroendocrine tumor,gray_bbox,od_contrast,10,10,4,3,0.4,4,3,0.4
402.tiff,human neuroendocrine tumor,gray_bbox,od_contrast,20,20,9,5,0.45,9,5,0.45
402.tiff,human neuroendocrine tumor,gray_bbox,od_contrast,30,30,16,5,0.5333333333333333,16,5,0.5333333333333333
402.tiff,human neuroendocrine tumor,gray_bbox,od_contrast,50,50,26,7,0.52,26,7,0.52
403.tiff,human neuroendocrine tumor,hem_bbox,tm_score,10,10,4,1,0.4,4,1,0.4
403.tiff,human neuroendocrine tumor,hem_bbox,tm_score,20,20,5,1,0.25,5,1,0.25
403.tiff,human neuroendocrine tumor,hem_bbox,tm_score,30,30,8,2,0.26666666666666666,8,2,0.2666666666666666
403.tiff,human neuroendocrine tumor,hem_bbox,tm_score,50,50,14,2,0.28,14,2,0.28
403.tiff,human neuroendocrine tumor,hem_bbox,chromatin_od,10,10,4,1,0.4,4,1,0.4
403.tiff,human neuroendocrine tumor,hem_bbox,chromatin_od,20,20,7,3,0.35,7,3,0.35
403.tiff,human neuroendocrine tumor,hem_bbox,chromatin_od,30,30,10,3,0.3333333333333333,10,3,0.3333333333333333
403.tiff,human neuroendocrine tumor,hem_bbox,chromatin_od,50,50,13,4,0.26,13,4,0.26
403.tiff,human neuroendocrine tumor,hem_bbox,od_contrast,10,10,6,1,0.6,6,1,0.6
403.tiff,human neuroendocrine tumor,hem_bbox,od_contrast,20,20,9,2,0.45,9,2,0.45
403.tiff,human neuroendocrine tumor,hem_bbox,od_contrast,30,30,11,3,0.36666666666666664,11,3,0.3666666666666666
403.tiff,human neuroendocrine tumor,hem_bbox,od_contrast,50,50,12,4,0.24,12,4,0.24
403.tiff,human neuroendocrine tumor,gray_bbox,tm_score,10,10,5,1,0.5,5,1,0.5
403.tiff,human neuroendocrine tumor,gray_bbox,tm_score,20,20,7,1,0.35,7,1,0.35
403.tiff,human neuroendocrine tumor,gray_bbox,tm_score,30,30,8,2,0.26666666666666666,8,2,0.2666666666666666
403.tiff,human neuroendocrine tumor,gray_bbox,tm_score,50,50,15,2,0.3,15,2,0.3
403.tiff,human neuroendocrine tumor,gray_bbox,chromatin_od,10,10,5,1,0.5,5,1,0.5
403.tiff,human neuroendocrine tumor,gray_bbox,chromatin_od,20,20,10,2,0.5,10,2,0.5
403.tiff,human neuroendocrine tumor,gray_bbox,chromatin_od,30,30,14,2,0.4666666666666667,14,2,0.4666666666666667
403.tiff,human neuroendocrine tumor,gray_bbox,chromatin_od,50,50,17,3,0.34,17,3,0.34
403.tiff,human neuroendocrine tumor,gray_bbox,od_contrast,10,10,6,1,0.6,6,1,0.6
403.tiff,human neuroendocrine tumor,gray_bbox,od_contrast,20,20,12,1,0.6,12,1,0.6
403.tiff,human neuroendocrine tumor,gray_bbox,od_contrast,30,30,14,1,0.4666666666666667,14,1,0.4666666666666667
403.tiff,human neuroendocrine tumor,gray_bbox,od_contrast,50,50,18,2,0.36,18,2,0.36
459.tiff,canine soft tissue sarcoma,hem_bbox,tm_score,10,10,4,3,0.4,4,3,0.4
459.tiff,canine soft tissue sarcoma,hem_bbox,tm_score,20,20,9,3,0.45,9,3,0.45
459.tiff,canine soft tissue sarcoma,hem_bbox,tm_score,30,30,15,6,0.5,15,6,0.5
459.tiff,canine soft tissue sarcoma,hem_bbox,tm_score,50,50,23,9,0.46,23,9,0.46
459.tiff,canine soft tissue sarcoma,hem_bbox,chromatin_od,10,10,9,1,0.9,9,1,0.9
459.tiff,canine soft tissue sarcoma,hem_bbox,chromatin_od,20,20,17,2,0.85,17,2,0.85
459.tiff,canine soft tissue sarcoma,hem_bbox,chromatin_od,30,30,25,4,0.8333333333333334,25,4,0.8333333333333334
459.tiff,canine soft tissue sarcoma,hem_bbox,chromatin_od,50,50,31,8,0.62,31,8,0.62
459.tiff,canine soft tissue sarcoma,hem_bbox,od_contrast,10,10,7,2,0.7,7,2,0.7
459.tiff,canine soft tissue sarcoma,hem_bbox,od_contrast,20,20,15,4,0.75,15,4,0.75
459.tiff,canine soft tissue sarcoma,hem_bbox,od_contrast,30,30,21,5,0.7,21,5,0.7
459.tiff,canine soft tissue sarcoma,hem_bbox,od_contrast,50,50,31,8,0.62,31,8,0.62
459.tiff,canine soft tissue sarcoma,gray_bbox,tm_score,10,10,6,3,0.6,6,3,0.6
459.tiff,canine soft tissue sarcoma,gray_bbox,tm_score,20,20,11,4,0.55,11,4,0.55
459.tiff,canine soft tissue sarcoma,gray_bbox,tm_score,30,30,19,4,0.6333333333333333,19,4,0.6333333333333333
459.tiff,canine soft tissue sarcoma,gray_bbox,tm_score,50,50,26,10,0.52,26,10,0.52
459.tiff,canine soft tissue sarcoma,gray_bbox,chromatin_od,10,10,9,1,0.9,9,1,0.9
459.tiff,canine soft tissue sarcoma,gray_bbox,chromatin_od,20,20,17,2,0.85,17,2,0.85
459.tiff,canine soft tissue sarcoma,gray_bbox,chromatin_od,30,30,25,4,0.8333333333333334,25,4,0.8333333333333334
459.tiff,canine soft tissue sarcoma,gray_bbox,chromatin_od,50,50,35,7,0.7,35,7,0.7
459.tiff,canine soft tissue sarcoma,gray_bbox,od_contrast,10,10,7,2,0.7,7,2,0.7
459.tiff,canine soft tissue sarcoma,gray_bbox,od_contrast,20,20,15,4,0.75,15,4,0.75
459.tiff,canine soft tissue sarcoma,gray_bbox,od_contrast,30,30,20,6,0.6666666666666666,20,6,0.6666666666666666
