file_name,tumor_type,image_id,condition,tighten_channel,base_size,tpl_cx,tpl_cy,map_median,mad_scale,mpp,arm,rank_key,seeded,z,z_dependent,floor_limited,n_gt_mitotic,n_gt_lookalike,n_detections,coverage_frac,n_lookalike_in_list,largest_tie_block,nan_rate,full_list_recall,match_radius_px,read_50,read_80,read_90,read_95,read_99,read_100,budget,budget_delivered,tp_at_budget,lookalike_at_budget,recall_at_budget,precision_at_budget
201.tiff,canine lung cancer,201,hem_bbox,hematoxylin_od,29,4092.0,1978.0,-0.00589,0.26301,0.24816562612969095,tm_score,score,True,-1.5,True,False,17,49,97,0.0084,12,1,0.0,0.47058823529411764,30.222,,,,,,,30,30,5,6,0.29411764705882354,0.16666666666666666
201.tiff,canine lung cancer,201,hem_bbox,hematoxylin_od,29,4092.0,1978.0,-0.00589,0.26301,0.24816562612969095,tm_score,score,True,-1.5,True,False,17,49,97,0.0084,12,1,0.0,0.47058823529411764,30.222,,,,,,,50,50,6,7,0.35294117647058826,0.12
201.tiff,canine lung cancer,201,hem_bbox,hematoxylin_od,29,4092.0,1978.0,-0.00589,0.26301,0.24816562612969095,chromatin_od,od51,True,-1.5,True,False,17,49,97,0.0084,12,1,0.0,0.47058823529411764,30.222,,,,,,,10,10,4,1,0.23529411764705882,0.4
201.tiff,canine lung cancer,201,hem_bbox,hematoxylin_od,29,4092.0,1978.0,-0.00589,0.26301,0.24816562612969095,chromatin_od,od51,True,-1.5,True,False,17,49,97,0.0084,12,1,0.0,0.47058823529411764,30.222,,,,,,,20,20,6,4,0.35294117647058826,0.3
201.tiff,canine lung cancer,201,hem_bbox,hematoxylin_od,29,4092.0,1978.0,-0.00589,0.26301,0.24816562612969095,chromatin_od,od51,True,-1.5,True,False,17,49,97,0.0084,12,1,0.0,0.47058823529411764,30.222,,,,,,,30,30,7,7,0.4117647058823529,0.23333333333333334
201.tiff,canine lung cancer,201,hem_bbox,hematoxylin_od,29,4092.0,1978.0,-0.00589,0.26301,0.24816562612969095,chromatin_od,od51,True,-1.5,True,False,17,49,97,0.0084,12,1,0.0,0.47058823529411764,30.222,,,,,,,50,50,7,11,0.4117647058823529,0.14
201.tiff,canine lung cancer,201,hem_bbox,hematoxylin_od,29,4092.0,1978.0,-0.00589,0.26301,0.24816562612969095,od_contrast,od_contrast,True,-1.5,True,False,17,49,97,0.0084,12,1,0.0,0.47058823529411764,30.222,,,,,,,10,10,4,2,0.23529411764705882,0.4
201.tiff,canine lung cancer,201,hem_bbox,hematoxylin_od,29,4092.0,1978.0,-0.00589,0.26301,0.24816562612969095,od_contrast,od_contrast,True,-1.5,True,False,17,49,97,0.0084,12,1,0.0,0.47058823529411764,30.222,,,,,,,20,20,6,5,0.35294117647058826,0.3
201.tiff,canine lung cancer,201,hem_bbox,hematoxylin_od,29,4092.0,1978.0,-0.00589,0.26301,0.24816562612969095,od_contrast,od_contrast,True,-1.5,True,False,17,49,97,0.0084,12,1,0.0,0.47058823529411764,30.222,,,,,,,30,30,6,8,0.35294117647058826,0.2
201.tiff,canine lung cancer,201,hem_bbox,hematoxylin_od,29,4092.0,1978.0,-0.00589,0.26301,0.24816562612969095,od_contrast,od_contrast,True,-1.5,True,False,17,49,97,0.0084,12,1,0.0,0.47058823529411764,30.222,,,,,,,50,50,8,12,0.47058823529411764,0.16
