subset,domain,file_name,condition,n_clicks,tp_at_10,tp_at_20,tp_at_30,precision_at_10,precision_at_20,precision_at_30
original_14,human neuroendocrine tumor,403.tiff,fill_alpha_2,3,15,32,39,0.5,0.5333333333333333,0.43333333333333335
testing_35,human neuroendocrine tumor,353.tiff,default_51,3,27,44,56,0.9,0.7333333333333333,0.6222222222222222
testing_35,human neuroendocrine tumor,353.tiff,fill_alpha_m1,3,19,29,37,0.6333333333333333,0.48333333333333334,0.4111111111111111
testing_35,human neuroendocrine tumor,353.tiff,fill_alpha_0,3,28,42,53,0.9333333333333333,0.7,0.5888888888888889
testing_35,human neuroendocrine tumor,353.tiff,fill_alpha_1,3,27,43,55,0.9,0.7166666666666667,0.6111111111111112
testing_35,human neuroendocrine tumor,353.tiff,fill_alpha_2,3,27,42,54,0.9,0.7,0.6
testing_35,human neuroendocrine tumor,364.tiff,default_51,3,16,16,16,0.5333333333333333,0.26666666666666666,0.17777777777777778
testing_35,human neuroendocrine tumor,364.tiff,fill_alpha_m1,3,9,10,12,0.3,0.16666666666666666,0.13333333333333333
testing_35,human neuroendocrine tumor,364.tiff,fill_alpha_0,3,14,16,17,0.4666666666666667,0.26666666666666666,0.18888888888888888
testing_35,human neuroendocrine tumor,364.tiff,fill_alpha_1,3,15,15,15,0.5,0.25,0.16666666666666666
testing_35,human neuroendocrine tumor,364.tiff,fill_alpha_2,3,15,15,15,0.5,0.25,0.16666666666666666
testing_35,human neuroendocrine tumor,400.tiff,default_51,3,27,51,79,0.9,0.85,0.8777777777777778
