file_name,tumor_type,image_id,seed_ann_id,base_size,map_median,mad_scale,mpp,arm,rank_key,seeded,z,z_dependent,floor_limited,n_gt_mitotic,n_gt_lookalike,n_detections,coverage_frac,n_lookalike_in_list,largest_tie_block,nan_rate,full_list_recall,match_radius_px,read_50,read_80,read_90,read_95,read_99,read_100,budget,budget_delivered,tp_at_budget,lookalike_at_budget,recall_at_budget,precision_at_budget
233.tiff,canine lung cancer,233,5761,25,-0.01583,0.14361,0.24816562612969095,od31,od31,True,-1.5,True,False,17,23,17614,0.9644,22,2,0.0,1.0,30.222,14.0,176.0,207.0,434.0,434.0,434.0,20,20,10,0,0.5882352941176471,0.5
233.tiff,canine lung cancer,233,5761,25,-0.01583,0.14361,0.24816562612969095,od31,od31,True,-1.5,True,False,17,23,17614,0.9644,22,2,0.0,1.0,30.222,14.0,176.0,207.0,434.0,434.0,434.0,30,30,11,1,0.6470588235294118,0.36666666666666664
233.tiff,canine lung cancer,233,5761,25,-0.01583,0.14361,0.24816562612969095,od31,od31,True,-1.5,True,False,17,23,17614,0.9644,22,2,0.0,1.0,30.222,14.0,176.0,207.0,434.0,434.0,434.0,50,50,12,2,0.7058823529411765,0.24
233.tiff,canine lung cancer,233,5761,25,-0.01583,0.14361,0.24816562612969095,od_falloff,od_falloff,True,-1.5,True,False,17,23,17614,0.9644,22,2,0.0,1.0,30.222,47.0,231.0,445.0,514.0,514.0,514.0,10,10,3,0,0.17647058823529413,0.3
233.tiff,canine lung cancer,233,5761,25,-0.01583,0.14361,0.24816562612969095,od_falloff,od_falloff,True,-1.5,True,False,17,23,17614,0.9644,22,2,0.0,1.0,30.222,47.0,231.0,445.0,514.0,514.0,514.0,20,20,4,1,0.23529411764705882,0.2
233.tiff,canine lung cancer,233,5761,25,-0.01583,0.14361,0.24816562612969095,od_falloff,od_falloff,True,-1.5,True,False,17,23,17614,0.9644,22,2,0.0,1.0,30.222,47.0,231.0,445.0,514.0,514.0,514.0,30,30,6,4,0.35294117647058826,0.2
233.tiff,canine lung cancer,233,5761,25,-0.01583,0.14361,0.24816562612969095,od_falloff,od_falloff,True,-1.5,True,False,17,23,17614,0.9644,22,2,0.0,1.0,30.222,47.0,231.0,445.0,514.0,514.0,514.0,50,50,10,4,0.5882352941176471,0.2
233.tiff,canine lung cancer,233,5761,25,-0.01583,0.14361,0.24816562612969095,mask_od_mean,mask_od_mean,True,-1.5,True,False,17,23,17614,0.9644,22,2,0.0,1.0,30.222,18.0,89.0,134.0,333.0,333.0,333.0,10,10,6,0,0.35294117647058826,0.6
233.tiff,canine lung cancer,233,5761,25,-0.01583,0.14361,0.24816562612969095,mask_od_mean,mask_od_mean,True,-1.5,True,False,17,23,17614,0.9644,22,2,0.0,1.0,30.222,18.0,89.0,134.0,333.0,333.0,333.0,20,20,10,1,0.5882352941176471,0.5
233.tiff,canine lung cancer,233,5761,25,-0.01583,0.14361,0.24816562612969095,mask_od_mean,mask_od_mean,True,-1.5,True,False,17,23,17614,0.9644,22,2,0.0,1.0,30.222,18.0,89.0,134.0,333.0,333.0,333.0,30,30,11,2,0.6470588235294118,0.36666666666666664
233.tiff,canine lung cancer,233,5761,25,-0.01583,0.14361,0.24816562612969095,mask_od_mean,mask_od_mean,True,-1.5,True,False,17,23,17614,0.9644,22,2,0.0,1.0,30.222,18.0,89.0,134.0,333.0,333.0,333.0,50,50,12,4,0.7058823529411765,0.24
233.tiff,canine lung cancer,233,5761,25,-0.01583,0.14361,0.24816562612969095,od_contrast,od_contrast,True,-1.5,True,False,17,23,17614,0.9644,22,2,0.0,1.0,30.222,11.0,155.0,373.0,1528.0,1528.0,1528.0,10,10,8,0,0.47058823529411764,0.8
233.tiff,canine lung cancer,233,5761,25,-0.01583,0.14361,0.24816562612969095,od_contrast,od_contrast,True,-1.5,True,False,17,23,17614,0.9644,22,2,0.0,1.0,30.222,11.0,155.0,373.0,1528.0,1528.0,1528.0,20,20,10,0,0.5882352941176471,0.5
233.tiff,canine lung cancer,233,5761,25,-0.01583,0.14361,0.24816562612969095,od_contrast,od_contrast,True,-1.5,True,False,17,23,17614,0.9644,22,2,0.0,1.0,30.222,11.0,155.0,373.0,1528.0,1528.0,1528.0,30,30,10,1,0.5882352941176471,0.3333333333333333
233.tiff,canine lung cancer,233,5761,25,-0.01583,0.14361,0.24816562612969095,od_contrast,od_contrast,True,-1.5,True,False,17,23,17614,0.9644,22,2,0.0,1.0,30.222,11.0,155.0,373.0,1528.0,1528.0,1528.0,50,50,12,2,0.7058823529411765,0.24
245.tiff,canine lymphosarcoma,245,6274,47,-0.00651,0.2141,0.24816562612969095,tm_score,score,True,-1.5,True,False,89,70,17552,0.9661,67,2,0.0,0.9775280898876404,30.222,2889.0,6784.0,9761.0,10318.0,,,10,10,1,0,0.011235955056179775,0.1
245.tiff,canine lymphosarcoma,245,6274,47,-0.00651,0.2141,0.24816562612969095,tm_score,score,True,-1.5,True,False,89,70,17552,0.9661,67,2,0.0,0.9775280898876404,30.222,2889.0,6784.0,9761.0,10318.0,,,20,20,1,1,0.011235955056179775,0.05
245.tiff,canine lymphosarcoma,245,6274,47,-0.00651,0.2141,0.24816562612969095,tm_score,score,True,-1.5,True,False,89,70,17552,0.9661,67,2,0.0,0.9775280898876404,30.222,2889.0,6784.0,9761.0,10318.0,,,30,30,1,1,0.011235955056179775,0.03333333333333333
245.tiff,canine lymphosarcoma,245,6274,47,-0.00651,0.2141,0.24816562612969095,tm_score,score,True,-1.5,True,False,89,70,17552,0.9661,67,2,0.0,0.9775280898876404,30.222,2889.0,6784.0,9761.0,10318.0,,,50,50,4,2,0.0449438202247191,0.08
245.tiff,canine lymphosarcoma,245,6274,47,-0.00651,0.2141,0.24816562612969095,chromatin_od,od51,True,-1.5,True,False,89,70,17552,0.9661,67,2,0.0,0.9775280898876404,30.222,701.0,3574.0,8421.0,9894.0,,,10,10,1,0,0.011235955056179775,0.1
245.tiff,canine lymphosarcoma,245,6274,47,-0.00651,0.2141,0.24816562612969095,chromatin_od,od51,True,-1.5,True,False,89,70,17552,0.9661,67,2,0.0,0.9775280898876404,30.222,701.0,3574.0,8421.0,9894.0,,,20,20,2,2,0.02247191011235955,0.1
245.tiff,canine lymphosarcoma,245,6274,47,-0.00651,0.2141,0.24816562612969095,chromatin_od,od51,True,-1.5,True,False,89,70,17552,0.9661,67,2,0.0,0.9775280898876404,30.222,701.0,3574.0,8421.0,9894.0,,,30,30,3,3,0.033707865168539325,0.1
245.tiff,canine lymphosarcoma,245,6274,47,-0.00651,0.2141,0.24816562612969095,chromatin_od,od51,True,-1.5,True,False,89,70,17552,0.9661,67,2,0.0,0.9775280898876404,30.222,701.0,3574.0,8421.0,9894.0,,,50,50,7,4,0.07865168539325842,0.14
245.tiff,canine lymphosarcoma,245,6274,47,-0.00651,0.2141,0.24816562612969095,od31,od31,True,-1.5,True,False,89,70,17552,0.9661,67,2,0.0,0.9775280898876404,30.222,326.0,2481.0,5688.0,8081.0,,,10,10,0,1,0.0,0.0
245.tiff,canine lymphosarcoma,245,6274,47,-0.00651,0.2141,0.24816562612969095,od31,od31,True,-1.5,True,False,89,70,17552,0.9661,67,2,0.0,0.9775280898876404,30.222,326.0,2481.0,5688.0,8081.0,,,20,20,1,1,0.011235955056179775,0.05
245.tiff,canine lymphosarcoma,245,6274,47,-0.00651,0.2141,0.24816562612969095,od31,od31,True,-1.5,True,False,89,70,17552,0.9661,67,2,0.0,0.9775280898876404,30.222,326.0,2481.0,5688.0,8081.0,,,30,30,4,2,0.0449438202247191,0.13333333333333333
245.tiff,canine lymphosarcoma,245,6274,47,-0.00651,0.2141,0.24816562612969095,od31,od31,True,-1.5,True,False,89,70,17552,0.9661,67,2,0.0,0.9775280898876404,30.222,326.0,2481.0,5688.0,8081.0,,,50,50,10,6,0.11235955056179775,0.2
245.tiff,canine lymphosarcoma,245,6274,47,-0.00651,0.2141,0.24816562612969095,od_falloff,od_falloff,True,-1.5,True,False,89,70,17552,0.9661,67,2,0.0,0.9775280898876404,30.222,439.0,3123.0,6308.0,7432.0,,,10,10,0,1,0.0,0.0
245.tiff,canine lymphosarcoma,245,6274,47,-0.00651,0.2141,0.24816562612969095,od_falloff,od_falloff,True,-1.5,True,False,89,70,17552,0.9661,67,2,0.0,0.9775280898876404,30.222,439.0,3123.0,6308.0,7432.0,,,20,20,1,2,0.011235955056179775,0.05
245.tiff,canine lymphosarcoma,245,6274,47,-0.00651,0.2141,0.24816562612969095,od_falloff,od_falloff,True,-1.5,True,False,89,70,17552,0.9661,67,2,0.0,0.9775280898876404,30.222,439.0,3123.0,6308.0,7432.0,,,30,30,2,3,0.02247191011235955,0.06666666666666667
245.tiff,canine lymphosarcoma,245,6274,47,-0.00651,0.2141,0.24816562612969095,od_falloff,od_falloff,True,-1.5,True,False,89,70,17552,0.9661,67,2,0.0,0.9775280898876404,30.222,439.0,3123.0,6308.0,7432.0,,,50,50,6,5,0.06741573033707865,0.12
