file_name,seed,seed_ann_id,ranker,quantile,depth,n_found,n_gt_mitotic,ceiling,frac_of_pool
202.tiff,4,4509,od51_onesided,0.95,5408,15,15,1.0,0.4024
202.tiff,4,4509,od51_onesided,0.98,5408,15,15,1.0,0.4024
202.tiff,4,4509,od51_onesided,0.99,5408,15,15,1.0,0.4024
202.tiff,4,4509,od51_onesided,1.0,5408,15,15,1.0,0.4024
202.tiff,4,4509,feat_sim,0.5,519,15,15,1.0,0.0386
202.tiff,4,4509,feat_sim,0.9,1328,15,15,1.0,0.0988
202.tiff,4,4509,feat_sim,0.95,7835,15,15,1.0,0.583
202.tiff,4,4509,feat_sim,0.98,7835,15,15,1.0,0.583
202.tiff,4,4509,feat_sim,0.99,7835,15,15,1.0,0.583
202.tiff,4,4509,feat_sim,1.0,7835,15,15,1.0,0.583
245.tiff,0,6317,blob_abs,0.5,884,89,89,1.0,0.0253
245.tiff,0,6317,blob_abs,0.9,10182,89,89,1.0,0.2917
245.tiff,0,6317,blob_abs,0.95,13480,89,89,1.0,0.3861
245.tiff,0,6317,blob_abs,0.98,15958,89,89,1.0,0.4571
245.tiff,0,6317,blob_abs,0.99,17472,89,89,1.0,0.5005
245.tiff,0,6317,blob_abs,1.0,17472,89,89,1.0,0.5005
245.tiff,0,6317,od51_abs,0.5,742,89,89,1.0,0.0213
245.tiff,0,6317,od51_abs,0.9,12725,89,89,1.0,0.3645
245.tiff,0,6317,od51_abs,0.95,15457,89,89,1.0,0.4428
245.tiff,0,6317,od51_abs,0.98,19913,89,89,1.0,0.5704
245.tiff,0,6317,od51_abs,0.99,22844,89,89,1.0,0.6544
245.tiff,0,6317,od51_abs,1.0,22844,89,89,1.0,0.6544
245.tiff,0,6317,od51_sim,0.5,10655,89,89,1.0,0.3052
245.tiff,0,6317,od51_sim,0.9,31584,89,89,1.0,0.9048
245.tiff,0,6317,od51_sim,0.95,32184,89,89,1.0,0.9219
245.tiff,0,6317,od51_sim,0.98,33531,89,89,1.0,0.9605
245.tiff,0,6317,od51_sim,0.99,33901,89,89,1.0,0.9711
245.tiff,0,6317,od51_sim,1.0,33901,89,89,1.0,0.9711
245.tiff,0,6317,od51_onesided,0.5,742,89,89,1.0,0.0213
245.tiff,0,6317,od51_onesided,0.9,12725,89,89,1.0,0.3645
245.tiff,0,6317,od51_onesided,0.95,15457,89,89,1.0,0.4428
245.tiff,0,6317,od51_onesided,0.98,19913,89,89,1.0,0.5704
