file_name,tumor_type,arm,budget,n_detections,n_gt_mitotic,budget_delivered,tp_at_budget,precision_at_budget,recall_at_budget
529.tiff,human melanoma,tm_score,20,49,19,20,4,0.2,0.21052631578947367
529.tiff,human melanoma,chromatin_od,30,49,19,30,6,0.2,0.3157894736842105
529.tiff,human melanoma,od_contrast,30,49,19,30,6,0.2,0.3157894736842105
529.tiff,human melanoma,tm_score,30,49,19,30,4,0.13333333333333333,0.21052631578947367
548.tiff,human melanoma,chromatin_od,10,49,238,10,8,0.8,0.03361344537815126
548.tiff,human melanoma,od_contrast,10,49,238,10,8,0.8,0.03361344537815126
548.tiff,human melanoma,tm_score,10,49,238,10,5,0.5,0.02100840336134454
548.tiff,human melanoma,chromatin_od,20,49,238,20,12,0.6,0.05042016806722689
548.tiff,human melanoma,od_contrast,20,49,238,20,14,0.7,0.058823529411764705
548.tiff,human melanoma,tm_score,20,49,238,20,10,0.5,0.04201680672268908
548.tiff,human melanoma,chromatin_od,30,49,238,30,20,0.6666666666666666,0.08403361344537816
548.tiff,human melanoma,od_contrast,30,49,238,30,20,0.6666666666666666,0.08403361344537816
548.tiff,human melanoma,tm_score,30,49,238,30,16,0.5333333333333333,0.06722689075630252
